datetime,BND_fnf,ORO_fnf,YRS_fnf,FOL_fnf,NML_fnf,TLG_fnf,MRC_fnf,MIL_fnf,SHA_in,SHA_out,SHA_storage,SHA_evap,SHA_tocs_obs,SHA_precip,SHA_in_fix,ORO_in,ORO_out,ORO_storage,ORO_evap,ORO_tocs_obs,ORO_precip,ORO_in_fix,FOL_in,FOL_out,FOL_storage,FOL_evap,FOL_tocs_obs,FOL_precip,FOL_in_fix,DeltaOut,SNL_storage,HRO_pump,TRP_pump,FMD_storage,UNV_storage,HHL_storage,WY,DeltaIn,netgains,SR_WYI,SR_WYT,SR_WYT_rolling,SJR_WYT,8RI,SHA_fci,ORO_fci,FOL_fci
1999-10-01,6183.0,1199.0,1676.0,1183.0,777.0,,11.0,138.0,4015.0,4871.0,3325.561,121.0,,0.0,,1916.0,4438.0,2422.221,164.0,,0.0,,2236.0,2494.0,720.941,84.0,,0.0,,4796.0,706.497,6503.0,4169.0,92.345,149.155,136.278,2000,15468.0,4210.0,8.79525589097,AN,AN,AN,0.630684296459,100000.0,0.0,195.377
1999-10-02,4164.0,799.0,820.0,1137.0,833.0,477.0,56.0,300.0,2454.0,5379.0,3319.505,128.0,,0.0,2453.76666153,1173.0,2168.0,2419.924,162.0,,0.0,1171.92916472,1680.0,2786.0,718.613,68.0,,0.0,1680.29999802,4407.0,710.416,6670.0,4131.0,91.772,148.166,136.448,2000,15208.0,4210.0,8.79525589097,AN,AN,AN,0.630684296459,97453.7666615,0.0,195.78
1999-10-03,3551.0,1168.0,799.0,370.0,616.0,317.5,0.0,462.0,2022.0,5543.0,3312.238,142.0,,0.0,2021.22082716,1752.0,2522.0,2418.111,83.0,,0.0,1690.94583179,718.0,2773.0,714.453,42.0,,0.0,717.666663135,4157.0,718.547,6627.0,4129.0,91.772,147.181,136.448,2000,14913.0,4210.0,8.79525589097,AN,AN,AN,0.630684296459,94602.2991556,0.0,195.78
1999-10-04,5683.0,915.0,778.0,275.0,422.0,158.0,81.0,380.5,4385.0,5861.0,3309.099,107.0,,0.0,4385.42083067,1168.0,3576.0,2413.161,87.0,,0.0,1167.3749958,1098.0,2750.0,711.081,48.0,,0.0,1097.94999714,4307.0,726.892,6627.0,4196.0,91.772,146.314,136.355,2000,15130.0,4210.0,8.79525589097,AN,AN,AN,0.630684296459,94257.6050285,0.0,195.873
1999-10-05,5485.0,201.0,128.0,530.0,784.0,258.0,0.0,299.0,4237.0,6153.0,3305.002,149.0,,0.0,4236.42916319,512.0,3940.0,2406.291,96.0,,0.0,572.374994167,1315.0,2769.0,708.094,51.0,,0.0,1314.05416413,4576.0,735.092,6604.0,4181.0,91.772,145.732,136.263,2000,15361.0,4210.0,8.79525589097,AN,AN,AN,0.630684296459,93781.1539403,0.0,195.965
1999-10-06,7686.0,1648.0,850.0,785.0,887.0,358.0,0.0,218.0,5373.0,4809.0,3305.966,78.0,,0.22,5373.01666749,1019.0,5270.0,2397.632,52.0,,0.0,956.420825982,1495.0,2756.0,705.499,48.0,,0.0,1495.6874978,3812.0,743.146,6285.0,4275.0,91.772,144.48,136.263,2000,14372.0,4210.0,8.79525589097,AN,AN,AN,0.630684296459,94465.1129107,0.0,195.965
1999-10-07,6664.0,1310.0,5021.0,848.0,870.0,458.0,68.0,267.0,4304.0,4904.0,3304.761,36.0,,0.01,4332.47916564,1422.0,5577.0,2389.234,78.0,,0.0,1421.0083262,1306.0,2766.0,702.532,35.0,,0.01,1305.13749748,3925.0,746.761,6561.0,4312.0,91.658,143.07,136.171,2000,14798.0,3087.0,8.79525589097,AN,AN,AN,0.630684296459,94074.3364308,0.0,196.171
1999-10-08,5856.0,1272.0,710.0,512.0,834.0,314.0,59.0,635.333333333,4525.0,5427.0,3302.352,192.0,,0.0,4404.46249795,1014.0,8352.0,2374.528,134.0,,0.0,1071.72498751,1317.0,2633.0,699.852,35.0,,0.01,1316.83333106,4134.0,750.663,6574.0,4251.0,91.544,142.056,136.263,2000,14959.0,2710.0,8.79525589097,AN,AN,AN,0.630684296459,93775.0821073,0.0,196.193
1999-10-09,6456.0,704.0,365.0,552.0,647.0,102.0,19.0,1003.66666667,4933.0,5398.0,3301.148,142.0,,0.0,4932.98333231,562.0,2296.0,2370.832,129.0,,0.0,561.599996862,1328.0,2616.0,697.172,63.0,,0.0,1327.83333106,4199.0,754.755,6555.0,4230.0,90.8,140.937,136.911,2000,14984.0,1220.0,8.79525589097,AN,AN,AN,0.630684296459,94019.3113342,0.0,195.689
1999-10-10,5848.0,1395.0,817.0,686.0,585.0,265.0,98.0,1372.0,4221.0,5280.0,3298.737,156.0,,0.0,4220.45416462,1189.0,4280.0,2364.139,150.0,,0.0,1055.61249432,1393.0,2612.0,694.603,76.0,,0.0,1392.79583115,4320.0,762.869,6555.0,4227.0,90.065,139.662,137.468,2000,15102.0,756.0,8.79525589097,AN,AN,AN,0.630684296459,93538.7999321,0.0,195.132
