datetime,access1-0_rcp45_r1i1p1,access1-0_rcp85_r1i1p1,bcc-csm1-1-m_rcp45_r1i1p1,bcc-csm1-1-m_rcp85_r1i1p1,bcc-csm1-1_rcp26_r1i1p1,bcc-csm1-1_rcp45_r1i1p1,bcc-csm1-1_rcp60_r1i1p1,bcc-csm1-1_rcp85_r1i1p1,canesm2_rcp26_r1i1p1,canesm2_rcp45_r1i1p1,canesm2_rcp85_r1i1p1,ccsm4_rcp26_r1i1p1,ccsm4_rcp45_r1i1p1,ccsm4_rcp60_r1i1p1,ccsm4_rcp85_r1i1p1,cesm1-bgc_rcp45_r1i1p1,cesm1-bgc_rcp85_r1i1p1,cesm1-cam5_rcp26_r1i1p1,cesm1-cam5_rcp45_r1i1p1,cesm1-cam5_rcp60_r1i1p1,cesm1-cam5_rcp85_r1i1p1,cmcc-cm_rcp45_r1i1p1,cmcc-cm_rcp85_r1i1p1,cnrm-cm5_rcp45_r1i1p1,cnrm-cm5_rcp85_r1i1p1,csiro-mk3-6-0_rcp26_r1i1p1,csiro-mk3-6-0_rcp45_r1i1p1,csiro-mk3-6-0_rcp60_r1i1p1,csiro-mk3-6-0_rcp85_r1i1p1,fgoals-g2_rcp26_r1i1p1,fgoals-g2_rcp45_r1i1p1,fgoals-g2_rcp85_r1i1p1,fio-esm_rcp26_r1i1p1,fio-esm_rcp45_r1i1p1,fio-esm_rcp60_r1i1p1,fio-esm_rcp85_r1i1p1,gfdl-cm3_rcp26_r1i1p1,gfdl-cm3_rcp45_r1i1p1,gfdl-cm3_rcp60_r1i1p1,gfdl-cm3_rcp85_r1i1p1,gfdl-esm2g_rcp26_r1i1p1,gfdl-esm2g_rcp45_r1i1p1,gfdl-esm2g_rcp60_r1i1p1,gfdl-esm2g_rcp85_r1i1p1,gfdl-esm2m_rcp26_r1i1p1,gfdl-esm2m_rcp45_r1i1p1,gfdl-esm2m_rcp60_r1i1p1,gfdl-esm2m_rcp85_r1i1p1,giss-e2-h-cc_rcp45_r1i1p1,giss-e2-r-cc_rcp45_r1i1p1,giss-e2-r_rcp26_r1i1p1,giss-e2-r_rcp45_r1i1p1,giss-e2-r_rcp60_r1i1p1,giss-e2-r_rcp85_r1i1p1,hadgem2-ao_rcp26_r1i1p1,hadgem2-ao_rcp45_r1i1p1,hadgem2-ao_rcp60_r1i1p1,hadgem2-ao_rcp85_r1i1p1,hadgem2-cc_rcp45_r1i1p1,hadgem2-cc_rcp85_r1i1p1,hadgem2-es_rcp26_r1i1p1,hadgem2-es_rcp45_r1i1p1,hadgem2-es_rcp60_r1i1p1,hadgem2-es_rcp85_r1i1p1,inmcm4_rcp45_r1i1p1,inmcm4_rcp85_r1i1p1,ipsl-cm5a-mr_rcp26_r1i1p1,ipsl-cm5a-mr_rcp45_r1i1p1,ipsl-cm5a-mr_rcp60_r1i1p1,ipsl-cm5a-mr_rcp85_r1i1p1,ipsl-cm5b-lr_rcp45_r1i1p1,ipsl-cm5b-lr_rcp85_r1i1p1,miroc-esm-chem_rcp26_r1i1p1,miroc-esm-chem_rcp45_r1i1p1,miroc-esm-chem_rcp60_r1i1p1,miroc-esm-chem_rcp85_r1i1p1,miroc-esm_rcp26_r1i1p1,miroc-esm_rcp45_r1i1p1,miroc-esm_rcp60_r1i1p1,miroc-esm_rcp85_r1i1p1,miroc5_rcp26_r1i1p1,miroc5_rcp45_r1i1p1,miroc5_rcp60_r1i1p1,miroc5_rcp85_r1i1p1,mpi-esm-lr_rcp26_r1i1p1,mpi-esm-lr_rcp45_r1i1p1,mpi-esm-lr_rcp85_r1i1p1,mpi-esm-mr_rcp26_r1i1p1,mpi-esm-mr_rcp45_r1i1p1,mpi-esm-mr_rcp85_r1i1p1,mri-cgcm3_rcp26_r1i1p1,mri-cgcm3_rcp45_r1i1p1,mri-cgcm3_rcp85_r1i1p1,noresm1-m_rcp26_r1i1p1,noresm1-m_rcp45_r1i1p1,noresm1-m_rcp60_r1i1p1,noresm1-m_rcp85_r1i1p1
1951-10-01,4930.402330627149,4427.03470857895,6194.233923185673,6556.300720650763,5345.048541732336,5174.684480488198,4722.899249692219,4679.387590367068,4293.0647486237585,4989.281886611348,5024.979491866687,4308.834171664659,4286.291418329357,4294.452247097419,3929.7861302545325,4565.995361957102,3732.0115380487573,5904.354374360778,6110.407982972221,6103.723243669708,5759.498321679428,4754.07239551778,6132.82694038794,2683.884897585142,3734.6315493994007,5219.102582023843,5708.033535426425,5970.775542191086,5563.855682151322,4866.501101604338,5574.37284517188,5228.662557948715,5890.103077231387,5824.261371291712,6334.577568200417,6310.181835632034,3659.686416152379,3920.606005142966,3310.2399948382817,2073.0807271974545,4676.2920124691755,4676.592492286976,4742.027593546059,5169.453223683516,7186.405287800312,7575.021687554119,7398.765900972669,6906.209814793541,5073.23382921841,4879.069253627894,5834.930731666579,5298.006005576041,4592.241912360874,5441.450759033767,4391.454897479644,4458.1472946496215,4364.342840049213,4246.198480226488,4569.9415258995305,4546.883301768832,5675.625302180528,6403.672307804611,5507.682114164169,6725.604708212393,3861.0858653240125,3591.2876329707187,4012.880027504143,4314.482298609411,4365.532647140929,4352.7320955749565,5108.357076727727,5091.1768417358635,5610.368431426976,5278.996793640892,6100.18851375596,5050.630080167931,5307.795627795405,4916.109754587814,5869.741781891909,6301.717571402136,5216.972363681847,5979.355151354259,5909.9272421297765,6183.144745673074,4453.994615077514,4456.533356251686,4052.2139532501096,4875.346114037259,4695.713971618147,4770.516275980963,6283.357507959579,5842.245764470503,5735.0854137993065,3697.0742957015905,4697.496183676223,3511.6813987999217,3286.9558882237893
1952-10-01,4064.1783626467195,3700.302172624277,2916.2992270194495,2910.6727922926084,5028.618918859646,5903.109206910855,5005.182325665715,4922.005310115956,6415.4311580506255,6238.3447677549275,5695.8255959524195,4178.044478917336,3926.3407623099224,4274.471881592915,5080.5640999991465,6381.33181695275,6085.0663576979805,4806.49844641375,4590.2708110414005,4928.610143158613,4526.263937572979,6557.638247840789,6366.8278141886985,4786.513964042868,4425.588015954685,3787.687552068972,4072.89429384064,5457.068821159375,4638.796646073166,2931.6587894840213,3481.446913911778,3052.160779464911,5221.36721094846,4630.071286502432,4960.537950354078,5443.0359043125745,3683.8320787951457,3753.392216621358,3876.1430170753706,3330.1092338985604,6897.683820928312,5913.353725160636,4528.972056115787,6767.703970139746,6018.870169531124,5686.3694776647735,5904.255730150217,5184.360286854977,5453.854447292295,3748.4403003402763,4299.914049935422,4061.000281167715,4147.488906465352,3325.7874181028956,5618.356939466945,6045.287302217494,5625.75258528846,5015.96348096681,4079.9870117825412,3544.2278733119037,4916.412298680269,4067.50381529485,5638.151880694213,3544.06497051521,5073.74676139582,5035.744049381768,5519.652382697536,4816.144070071496,4914.6082359521,5221.179507188317,5295.2161290257945,5418.045895608146,5467.334634778918,5572.2903320407095,5495.0873472602825,5355.282156024623,4908.231963454494,5734.962863066583,5522.906465529775,4434.995923291998,3656.992672719316,3648.82484898399,2985.565834952752,3192.2708209985226,7085.339004013167,6629.370740552301,6457.175818260259,4336.879645538305,4652.821331836314,4259.791230353017,5402.106904939072,4991.818843444827,5524.441269824892,4046.6061225919657,4287.98402715701,3395.92951387537,3809.9423084925006
1953-10-01,3592.3565764400973,5621.154307993944,4413.0563801506105,4468.204275677811,4498.960870791114,3706.310040679689,4417.202593731363,5212.664558386862,6156.660598267163,6184.200590735862,6429.052780832803,3311.4854898064686,3260.772364947904,3482.995618814861,3976.828845176922,4207.126149482558,4547.226100634192,3999.4797582667043,4249.048307359194,4757.203359414077,4339.623066335995,5272.905556477311,4958.7608097013,5563.861882805088,4991.079313605884,5198.967178053186,5927.385824393825,6072.536349099589,5637.663556415573,3781.5217990921647,3924.7949965595735,3719.859800555193,3191.460130509188,3158.944697123902,3202.8641320610823,3220.171010651451,4778.193063542823,4000.3339729330273,4180.6485808936095,4199.424418332181,3493.389991454321,4877.531438506863,5002.340300219487,4844.719160133757,3303.429481401942,3368.75572363592,3465.050588896359,3068.7660551368585,4832.109480369998,7055.345667303854,3212.9941367935603,3203.9026774046297,3209.5050788186427,2905.42636259212,3777.68130297366,3455.4049050602525,3975.367594112927,4267.35786066144,4219.292248699738,5551.208847574801,6358.455004108065,6505.188136119017,6814.101791845458,7053.211628757807,4464.877420933963,4240.548778572301,5308.413734660752,6104.608718632555,4240.191138137798,4754.144969386447,5633.601102754916,5527.730367274088,6054.053848756501,6036.944384016686,6406.270183910308,6382.215657122939,3617.3516846137354,3826.4420475561565,3530.7645408272147,3235.7490423517124,5134.255307959003,4516.395918732994,5141.038415249252,4596.040102030207,4777.588621956678,4773.089070232703,4357.690323079298,3701.9964848032505,3907.073916821415,4073.157705066361,7075.771081883844,7187.701771123973,7309.449386005686,4558.412942337539,4523.456064031118,4042.2109066174,3831.951403198539
1954-10-01,5414.62410516445,5860.306271171101,4771.13572354902,5035.342813758178,3823.7231959064566,3966.7410096700937,3427.5376272132,3839.083351647696,5456.016691940966,5049.7234580277955,5779.495427685606,3903.8110336175887,4056.4307035425263,4074.6089815921287,4214.374197802927,4719.91027066197,4736.223087246074,2890.2261264359613,3102.0353643091403,3348.7789116265303,3096.138442461377,5486.127555365112,5563.93726224561,5440.521073968735,4570.553665230199,2726.4887021662807,3059.2944713557195,3162.916682733996,2988.721964223566,4067.23756701574,3790.261229303148,3592.241601512341,5157.8516928238405,4196.100479976013,5140.963537946299,4745.848728480997,5027.540445337844,4389.0836850104015,4436.703542360023,4673.734980915141,1719.370992639842,2587.804274589489,2695.630741639502,2572.911146663745,6884.514896758856,6771.73360399994,6993.453724195662,6885.169696102497,4524.243819079498,3977.6374454228862,3245.206740403591,3401.447999922372,3291.4152400256953,3197.578869506042,4320.538124451063,4419.7471741389745,4716.391640707183,4599.935376906964,5134.622562205266,4685.774075462478,5920.889974354382,5724.1673406560885,6480.155427086097,6084.09015236205,2104.0342985547095,1810.5265024786986,4092.6316513751553,3792.1123185486795,4656.416354123283,3389.03561388011,4470.233550364495,3781.9959956139865,3483.542832092915,3602.5358858771297,4003.3344604919066,3650.933569401762,4434.912336706219,4693.819167398039,4292.056674992506,4930.382806605199,4258.00073954524,3853.6551876686044,4554.666785617388,3994.957198099969,4778.583761123966,5497.330444406836,4442.8438140226845,3905.9412000594903,3630.2536359736855,3918.8146881706707,4609.796906151326,4967.196321577055,4493.167342648468,3561.2125462473064,3496.5645006930968,3236.7223342303455,3133.050150060426
1955-10-01,5892.900992008944,6386.895101801545,2863.0119713303447,2722.992046657616,5682.23190776124,5212.809718073678,4985.994655864397,5591.895196404973,5799.6238405665945,5248.741432401841,6274.336278991592,4603.943357113194,4873.020485423338,4947.272505841108,4658.296831949529,4457.192594240577,5014.143478465449,4257.525996395878,4363.909206217629,4499.769724147714,4083.4451619371,5734.742713187325,5837.436479683054,4289.754854943778,4879.939756836353,4169.401432287097,4418.228132757313,4147.688189605682,4239.498055117594,1493.1284869625838,1493.2614309819996,1493.1313224428993,7203.72887273269,6920.36674274249,7717.039752683415,7301.156022705931,3993.572602478748,4088.6918324791777,5028.353482178027,4302.550706443628,3388.30298657555,3248.811980378284,3257.755983918554,3888.342749450636,5439.080240410015,6091.732753265815,4825.7255365230885,5424.016200468717,7247.251105094742,6047.681943742187,2526.745226186063,2584.9012212350317,2453.170708352639,2580.7955864227038,5843.564546312029,5134.260080981958,5728.6427801513655,5710.5965493221065,4598.6784783078365,3844.1095665300027,5243.496215864035,4928.300951602165,4546.28033142809,5129.219494246483,6119.871141397644,5540.628793134594,3722.75009409408,2898.5478255736866,3614.6849928698643,3088.259375792679,4805.118677557032,4609.543278815271,5101.56735525018,5477.07473293829,5931.235842640734,5837.794811730336,3083.17944769976,3361.275430119259,3420.648808539764,3262.50873038344,5403.172271224906,4968.354060383244,5642.845733455796,5085.681908822474,6009.963895798184,6154.755285990112,6231.363663674871,5289.198518422183,5545.840016458495,6032.185612536965,3898.125731044077,4210.319122321766,4806.133013916227,5746.873054103158,5441.541791652233,4305.975006338669,4707.022031282208
1956-10-01,3018.96671727155,2883.3901177859375,5888.985706453064,5606.0395738376355,3529.8985590303073,4523.484382702426,3905.936278555154,2969.402577214096,4999.817619150952,4794.645710190824,5103.163964697312,5841.472236129901,5869.600705398103,5871.520518991506,5659.476736257237,2933.7646910947515,3162.904067871624,4005.6572311800874,3767.0434030216065,3413.3784093023396,4320.831635476291,3969.3331612222946,3683.6299403072867,6275.451010757164,5478.153694418033,5688.34125874064,4230.77132444167,4696.631804695527,4836.803569426576,1491.7586269717983,1491.8016983911402,1491.7681047303777,3227.242454311886,2986.1671549024677,2996.7090407663945,3173.072005226081,5396.629280250541,4923.704324928576,5653.845639322471,4885.601161260218,1825.2768845916412,2258.6494044981464,2985.1020310138592,1681.366285733431,4700.201102809075,4967.433002892977,4415.439072200793,3494.6005579555003,5345.680268643723,7116.67485571022,5002.710474906091,4803.347851792672,4723.607046172147,4776.716723336129,4023.424170954647,3240.3014393123367,4275.090966070717,3974.8761944280573,5414.475365225244,4831.68767605643,5675.601444396223,6517.873386085217,6749.313204212108,6741.941969513035,5867.250102355763,4405.803360625118,3237.9192035709475,3190.0790941236583,3329.1453865089343,3294.2906817888243,5092.950507038329,5189.946739953668,4759.0448969763465,5579.997367088661,4876.171049060743,5472.756800867903,4807.769445915662,5250.96968329057,4661.687346760397,4206.746741369387,4334.5334202831655,4191.123070807185,4362.860784189682,4234.6911738040535,6829.0867828791115,7007.857861446211,6854.170930643504,3755.297454167658,4265.564280704644,4014.3276131826324,5055.629077690504,5222.525381026518,4791.508307382995,6137.6970667019905,6318.1569876225585,6145.239492611281,6233.868267280336
1957-10-01,4427.622179534695,4431.56825812639,4535.694123458436,4639.176516346558,1737.5741170201932,1629.0545020385562,1588.3882604197015,1655.2263253353565,5450.8780104985435,6050.5917556789755,6248.408248514009,4540.1776272634925,4346.0129742713425,3822.9708256083304,4393.683500870637,7259.988091272483,7207.758604630744,6976.30802289476,6875.342665178351,7027.973112520396,7055.143954217705,4860.077373035199,4402.563210085668,5179.957760107561,5348.742027753758,6518.093503580501,6103.741009910746,5452.672915644271,5634.929859452616,6349.02426559332,5816.945766023186,6155.9361056901525,3564.2235154819537,3326.7257260895967,3631.783774174106,3690.0465902192336,4758.014439561383,5338.294607302069,4616.091568156995,5307.855493016174,7838.816693609422,7977.685306549842,7555.057930246712,8001.122327776055,3767.167096636194,3611.3623303619047,3224.751214574875,4619.430483979878,4752.780185005181,3403.1855099174345,4274.063946157919,3872.933759706688,4596.558714085944,4739.953679018013,5264.057225228065,6112.0244846612495,5800.081881008699,5527.251992488464,5396.842686999121,5968.814081886114,4337.504944748762,4237.977761050942,4807.098390587848,4736.693156979725,4465.839631607099,3983.3489993987578,6895.553953128285,5614.527622720796,7120.668701084987,7119.17201099705,6339.90079735717,5609.904647343384,5008.771898868088,4995.011315890773,4679.272145271541,5849.432187630853,6044.45565370045,5853.152845211255,6002.764995660804,6198.713047521914,3399.6619386762454,4799.032480283809,2616.339953557097,4084.0007253196736,6677.909093211654,6450.291725018396,6355.808755155398,7383.125216214285,7312.966198607671,7226.68016536148,5118.919702349889,4538.106389437244,3913.5027893158504,5111.599502985158,5207.337410689703,5342.290857051787,5342.7263449198135
1958-10-01,4492.155630447932,4830.456260647135,3751.1040974143857,3274.101409473604,1889.4471973898176,1778.9396845663994,1688.376315620716,1674.82999672399,4176.840439685647,5035.858184207131,5034.516559552179,4069.0226102174443,4079.606687682208,4259.925718316203,4732.611115964285,4347.321439827024,4763.897556278763,4953.92327236004,4678.452730411524,4607.500732665148,4493.50473434489,6902.1823252327695,6769.93980631964,4903.693307508702,4758.818945757693,4350.773583175151,4496.426148533627,3973.3893420049662,4129.673275952118,4728.133423759085,5088.628651495546,4180.33979168382,5798.555724443761,6444.341819887957,6186.579231419377,6239.74474827664,3848.025618684968,4378.9786914197675,3990.694802922812,4823.114147326855,4782.167158678357,3898.2198595428717,4485.89461194438,4439.892765173898,2034.0426330208638,1948.5450652494728,2160.6780479151416,2158.070418931577,4438.414914608041,4860.798201814668,5043.155763605868,6200.632762754652,5244.056394248054,4955.659628082507,5092.492476595637,5674.154140624627,6068.883120415101,6092.317669728836,6445.0321945484775,6388.046292160532,5532.293912391779,5934.120803171766,5283.479871201109,5963.359711358777,5576.735701832686,6388.316631478397,6785.506147779877,7069.437827383689,6925.325973840807,6996.772055107518,3005.4307744798234,2786.544638632789,5260.481114189393,5010.07080672109,5455.955951124102,4994.566406258904,6185.120143851696,6521.1745842283035,6326.826995282787,6414.8631799982195,2242.9997909871,3105.9936982379604,2483.04912921849,2629.040534089635,3211.5142198401627,3169.0839343268126,3281.262061002345,6895.179081144015,6824.615052260895,6927.452699525655,4133.406629221917,4717.736802694547,4913.334114721088,4890.469891717741,5293.347196077793,5130.022911872495,4830.68612866548
1959-10-01,6057.797536683987,6339.52685913263,5482.604026008709,4817.943628219755,4445.062676529908,6176.2139182295905,4687.2279512077475,4282.864665694621,5041.785575824602,5194.122810338332,5857.697796616554,5883.278559563154,4927.270314965347,5939.722617030147,5553.681778628941,5114.297592370402,4938.552757751308,4816.125973917015,4550.159369688301,5242.8275453271835,5228.327437452226,4924.998224116695,5339.263389293343,5024.3084267622935,4348.101722894984,6521.895714502334,6221.283897294024,6431.79575780129,6587.9103866888,2351.187684080519,2336.0556915225675,1706.7767991650676,5481.1313140867005,6080.061567377216,5076.747384410322,5024.744288824659,6698.18826732267,6632.4239815518395,7076.238524783586,6889.12590698655,3870.151262303413,3370.6073753747883,3455.8868976955873,3782.69162158626,7869.088458306367,7877.543184936231,7707.86128026214,7376.437907955098,5282.139228545049,5999.426798795277,2295.5635711754953,2775.826166637149,2657.910041856835,2390.9075768469065,6952.157794221552,7038.523516425044,6157.056545763812,7190.651266327203,3283.8324889148075,3332.160805104816,3630.2483654254306,2992.768541783588,3298.7783562113113,2473.7732613045564,4313.07510668413,4520.9410466810805,6082.384353875414,4872.187743633019,5955.894171331769,5382.286692119469,3025.8605316973553,3053.3744701963205,3828.264091520022,4411.095793226236,3664.9847958337123,4232.35286008758,5813.03462512113,6501.015321672585,5885.130826553234,6002.590797035864,4667.716011361513,4411.327834683677,4535.4643787857585,3242.2947500371038,5568.200046219426,5515.874470855011,4575.2108880404985,3985.057184945711,3928.7644749619685,4510.479707314,4488.70623885927,4921.41960484656,5173.592329303978,4866.6142590162535,4560.047304474988,4867.2337812624,5003.613698859637
1960-10-01,4189.237802477051,3493.336959690229,5477.290396020996,4774.42042515267,4298.990433991875,4005.7758630127355,3645.82721348849,3856.5469694967887,5633.151421244304,5284.592636542621,5742.188228512612,4887.483514601969,4609.235679680598,4646.162151724717,4975.211121642086,5087.474647522729,5867.342245431536,4004.2779110688175,3940.1989561219934,3780.783150672364,4284.301445405508,3777.1750956706283,3916.588488954171,4636.145562068936,5446.084249365202,3640.7257130536736,3939.0259674281388,5355.356202100638,6585.204258117696,4468.900180221499,4934.972730775602,4156.644938463661,6195.5636169490535,6352.512633826171,6177.933574076029,5416.970285491259,2338.8061953058823,3718.9428470842695,2690.6370717546924,3665.6598778141615,4424.698521858496,4518.838699145552,4229.5077126662445,3667.3564326029964,7370.738924574898,6891.4961106858855,7536.080629175299,6616.691652306521,3017.4989414062575,6435.064123401293,3980.3436668778822,3810.094155140484,3691.3665211781163,3307.6720754975668,4585.2304272095735,1771.0875286930077,3639.3797298512036,3074.6901283065263,6960.690867209141,7128.681933401631,2901.374827950361,2601.400711503635,2633.705776462556,2344.8441946203993,4211.559970253995,4070.0297893705824,4391.596754388693,3547.327038777322,2821.563801781081,3391.026207830183,4817.099243359306,4819.809659819259,2926.0693872077077,3015.562664580232,2969.033933940973,3145.718473818044,3160.637236456798,3395.3874429417333,3138.8026522080954,3512.521162134304,6521.171010957933,4422.861722298766,5127.068301703934,4432.550596166519,5577.317453881525,4862.776995523981,4777.890136847561,2514.1338345434115,2541.8256360258492,4963.279051233884,4490.237742153326,5176.641392659326,5877.187257843958,4922.50492337067,5579.48016089325,5972.873911617713,6464.771572310461
