datetime,access1-0_rcp45_r1i1p1,access1-0_rcp85_r1i1p1,bcc-csm1-1-m_rcp45_r1i1p1,bcc-csm1-1-m_rcp85_r1i1p1,bcc-csm1-1_rcp26_r1i1p1,bcc-csm1-1_rcp45_r1i1p1,bcc-csm1-1_rcp60_r1i1p1,bcc-csm1-1_rcp85_r1i1p1,canesm2_rcp26_r1i1p1,canesm2_rcp45_r1i1p1,canesm2_rcp85_r1i1p1,ccsm4_rcp26_r1i1p1,ccsm4_rcp45_r1i1p1,ccsm4_rcp60_r1i1p1,ccsm4_rcp85_r1i1p1,cesm1-bgc_rcp45_r1i1p1,cesm1-bgc_rcp85_r1i1p1,cesm1-cam5_rcp26_r1i1p1,cesm1-cam5_rcp45_r1i1p1,cesm1-cam5_rcp60_r1i1p1,cesm1-cam5_rcp85_r1i1p1,cmcc-cm_rcp45_r1i1p1,cmcc-cm_rcp85_r1i1p1,cnrm-cm5_rcp45_r1i1p1,cnrm-cm5_rcp85_r1i1p1,csiro-mk3-6-0_rcp26_r1i1p1,csiro-mk3-6-0_rcp45_r1i1p1,csiro-mk3-6-0_rcp60_r1i1p1,csiro-mk3-6-0_rcp85_r1i1p1,fgoals-g2_rcp26_r1i1p1,fgoals-g2_rcp45_r1i1p1,fgoals-g2_rcp85_r1i1p1,fio-esm_rcp26_r1i1p1,fio-esm_rcp45_r1i1p1,fio-esm_rcp60_r1i1p1,fio-esm_rcp85_r1i1p1,gfdl-cm3_rcp26_r1i1p1,gfdl-cm3_rcp45_r1i1p1,gfdl-cm3_rcp60_r1i1p1,gfdl-cm3_rcp85_r1i1p1,gfdl-esm2g_rcp26_r1i1p1,gfdl-esm2g_rcp45_r1i1p1,gfdl-esm2g_rcp60_r1i1p1,gfdl-esm2g_rcp85_r1i1p1,gfdl-esm2m_rcp26_r1i1p1,gfdl-esm2m_rcp45_r1i1p1,gfdl-esm2m_rcp60_r1i1p1,gfdl-esm2m_rcp85_r1i1p1,giss-e2-h-cc_rcp45_r1i1p1,giss-e2-r-cc_rcp45_r1i1p1,giss-e2-r_rcp26_r1i1p1,giss-e2-r_rcp45_r1i1p1,giss-e2-r_rcp60_r1i1p1,giss-e2-r_rcp85_r1i1p1,hadgem2-ao_rcp26_r1i1p1,hadgem2-ao_rcp45_r1i1p1,hadgem2-ao_rcp60_r1i1p1,hadgem2-ao_rcp85_r1i1p1,hadgem2-cc_rcp45_r1i1p1,hadgem2-cc_rcp85_r1i1p1,hadgem2-es_rcp26_r1i1p1,hadgem2-es_rcp45_r1i1p1,hadgem2-es_rcp60_r1i1p1,hadgem2-es_rcp85_r1i1p1,inmcm4_rcp45_r1i1p1,inmcm4_rcp85_r1i1p1,ipsl-cm5a-mr_rcp26_r1i1p1,ipsl-cm5a-mr_rcp45_r1i1p1,ipsl-cm5a-mr_rcp60_r1i1p1,ipsl-cm5a-mr_rcp85_r1i1p1,ipsl-cm5b-lr_rcp45_r1i1p1,ipsl-cm5b-lr_rcp85_r1i1p1,miroc-esm-chem_rcp26_r1i1p1,miroc-esm-chem_rcp45_r1i1p1,miroc-esm-chem_rcp60_r1i1p1,miroc-esm-chem_rcp85_r1i1p1,miroc-esm_rcp26_r1i1p1,miroc-esm_rcp45_r1i1p1,miroc-esm_rcp60_r1i1p1,miroc-esm_rcp85_r1i1p1,miroc5_rcp26_r1i1p1,miroc5_rcp45_r1i1p1,miroc5_rcp60_r1i1p1,miroc5_rcp85_r1i1p1,mpi-esm-lr_rcp26_r1i1p1,mpi-esm-lr_rcp45_r1i1p1,mpi-esm-lr_rcp85_r1i1p1,mpi-esm-mr_rcp26_r1i1p1,mpi-esm-mr_rcp45_r1i1p1,mpi-esm-mr_rcp85_r1i1p1,mri-cgcm3_rcp26_r1i1p1,mri-cgcm3_rcp45_r1i1p1,mri-cgcm3_rcp85_r1i1p1,noresm1-m_rcp26_r1i1p1,noresm1-m_rcp45_r1i1p1,noresm1-m_rcp60_r1i1p1,noresm1-m_rcp85_r1i1p1
1951-10-01,8288.593877575702,8335.589414248912,16447.451070954896,15480.869238703002,7389.239632994548,7126.9080831758,6706.760471772323,6872.624592434931,12577.70818592287,13609.29454146582,14334.954824802544,5848.647540043223,5696.367395684723,6695.997451622068,5562.963869901227,14673.71225582985,15578.647928101806,16464.685867178425,16833.88801115944,15503.535446379996,15793.577372182459,29332.883910828703,27773.776630973607,22351.2681137218,21025.706700175455,23242.67856062699,24827.514375868363,22433.495587705373,23923.074718721997,29369.920931451208,30752.75269938472,31080.616274780274,19285.909252531885,20411.22529136467,18855.278707621717,19101.282469508118,23941.518285996917,23656.81098798849,22334.253580174354,22317.281755629796,10885.29755591676,11120.676944857825,11572.015615480577,10424.770792412797,33380.78126498733,35848.120045094685,37288.234629319224,33471.849544649835,44999.973079420975,23537.719800512394,13487.23616146275,14916.246914488778,15415.622453681804,14934.602520338587,13704.72167793033,13649.540397487734,14121.954529895442,14421.497209564539,22533.603766615008,23044.12691064155,35438.08346984984,34336.421087899704,35367.537566216146,34927.720993111994,33922.1516358368,35497.902809369065,5397.423624860657,5584.131265980259,5516.459080603398,5666.662116300457,19296.462703950507,18980.885880002334,35692.893994913225,38171.33018676601,36815.149907521336,35513.77624030715,16487.54178862126,16454.003012675188,14457.607083334768,14097.02460844556,38477.031274384615,37549.58159140416,41778.799158070586,44100.92827183706,9863.89425456045,8482.541302615895,8893.2027666269,17128.944256145987,17415.28633177429,17103.88937490755,22535.178130401237,22837.11526117912,21738.188879184647,5096.171586401719,5013.587568682076,4968.396757215647,4794.041796668501
1952-10-01,6183.550449281476,5494.640284717235,3965.80817986437,4157.294391868374,10094.349439622261,8312.24443913688,8123.168041583902,7953.37890273494,27364.096384027012,25319.966659777503,24729.604475533157,39379.75482069759,36609.14357854395,40206.35683119306,35330.37912135077,31764.687070581433,32076.788894883462,25398.54910726346,25115.176091057478,27137.673977109527,27354.39080722849,37416.34760780698,40578.66272498895,37383.1326055885,36167.362887751515,39244.19045008285,38564.928923861065,42858.40015950349,39746.29686106803,4182.975628807302,4401.206893615496,4305.173674250855,22843.41606856851,23260.096099237606,23814.477689179927,22708.175601938812,9534.67239352894,10335.272782104,11777.072315836607,9883.211980243239,46236.34632790452,40564.75262169221,43647.8104448,43918.17839615043,18723.082707445446,20100.316007593516,18611.09253336585,17619.960392953097,17373.834503146118,21228.200693405757,39897.88596597561,37771.21328400517,40816.05207624564,41165.62648378336,32049.928529033674,28615.99388464125,30192.430865725342,28107.001442049346,22945.657842524717,23831.004033292327,25437.666250009723,24119.643053059237,25958.74235731409,26769.49458837107,14081.706985891376,13965.48823657774,26955.72769642136,27876.90762963188,27290.56016249337,26235.134692747346,14821.329113825657,14106.712911977595,12607.37204525179,11749.283527672902,14482.881855720354,12443.715649946287,24001.220288439228,21663.989165020528,22759.505596039933,25083.33542669824,21084.188270971856,18396.66995520013,21394.566652350328,19142.018475058296,32470.538268578315,33034.01423236571,33661.085404475416,10704.02151082211,9296.766841728117,9536.486929680277,14614.93103577415,14933.244166530254,13537.69339035987,13464.56403211814,15482.903692802593,13753.691774125942,12446.787359904372
1953-10-01,31474.870851715554,30989.107722384066,13009.11041921627,13424.729413435762,34334.5679479349,32375.4987769815,33576.445249164484,32052.061609546377,27030.852043263392,25628.480861794862,27133.124521916372,8926.509425788805,8663.445523759072,7793.007310681833,8035.178579240359,23362.451791208165,23475.439227616953,6906.763812976852,7414.029184165279,7796.902499020635,6574.1406367378895,17290.415302213834,16545.600349933866,14995.286847343616,13704.97026352247,13931.025918369387,14364.754805430663,14688.601311537042,14212.555588059944,8845.745296592986,8456.616677183427,8975.19439804556,4442.035953464282,4999.809057360499,4804.816896819607,4742.494799394776,15235.511987256068,14233.41338478795,15829.363491920029,13800.180490578887,19704.622543410136,18989.891330137056,19344.210843538636,20023.128017529336,5643.619666575825,5442.801987099245,6105.606640823219,5730.060623502393,13136.958226537448,38946.79469374642,8174.938008274812,8423.819279018511,9155.429569832506,8808.351653543095,24972.055437946383,25652.896030733664,23230.089828604097,23585.410106897572,29884.50666257195,27997.402836152967,54786.1978178315,48052.33359157724,50956.324997969125,50505.08502341311,30377.03588226665,26915.20099804502,29436.357493294618,29164.840345664696,28792.098636274193,28904.083815581573,41525.67540328274,40053.94804190587,14431.881094142924,16383.12133192197,16270.710940113964,17097.325947681125,6695.00127074733,7931.378377094485,7613.907767587965,6774.224204703414,13343.224117471824,16516.282220278987,14618.028625266536,17555.198722866222,8124.7184609985925,8249.182309516204,6760.530479792868,5550.172928920935,6278.5904422989115,6361.13987803238,28023.955518952996,27268.941649147455,29874.582060097106,6718.594305418435,7306.564595548847,7065.194248373385,6606.818610285039
1954-10-01,23392.007724386123,26937.864834212414,16696.837726636328,13896.266460665947,16320.75968068207,16001.858241756381,17255.193158689024,15416.358935907961,9165.259907223652,8199.957356058187,9899.526912866926,8889.73561281554,8890.718387529478,9145.999361169535,7640.80599560659,14625.747236688669,14457.00283339379,7160.910847557117,8160.776584981514,6611.7958027603445,6548.316260641852,26979.681687679615,25960.037119370434,10694.6575871958,8221.34035698261,4027.7744667599045,4027.8333641837007,4699.645902375322,4224.588299547436,10528.628133565646,10319.327366052526,10294.628193189163,7889.742753673939,8314.856852225874,8678.560585088117,8766.872020278592,9039.383327749512,8677.419948367697,8812.716530295505,9617.802729172376,4564.869585458347,4558.487271978099,4897.217896761948,5438.723254722271,41277.73244678646,36662.771131216265,37580.47488655308,39345.828408363326,8583.978040207077,18163.67306018586,6308.403908467267,6397.511126303345,6380.588617323087,5844.852203912778,11357.808717868198,11288.62422033476,12284.043690352282,11974.314381676053,28235.103364294846,25995.220785894737,38227.54284179131,43551.96463930577,39637.73840299367,38147.37451104359,3514.9064322056015,3553.285401291162,23926.25971946707,25424.5696719185,22979.82103998442,23964.003776849793,9169.933559312236,11449.118823390421,7105.400540608817,6295.082979307714,7520.846300303906,6201.239088045438,22817.384321508627,21311.39412706937,21645.477704275312,22785.432422766356,5938.6322060653565,7285.21039375333,7347.807043931724,7038.085264228438,14093.402747093343,15014.539886811168,15968.575056175543,19601.901410142826,21489.685660993684,23302.347024945728,8816.263635944415,8635.840532423874,9699.767595567566,6562.843514501684,6914.125327162704,6102.713035723092,6550.566852214715
1955-10-01,31463.546463699302,30719.972873133225,22369.491350868557,22316.663638109054,32686.64041559302,32175.028556252862,31327.843390824928,33677.060438862834,27994.617763219005,27561.960724065673,24656.279378354666,11065.275048346815,14653.034666758298,14522.842914089877,13665.520299915966,7922.257429050497,8371.312752018526,8406.24068136047,9271.333174534671,9741.045650930067,9034.078363995799,13830.332956983166,13374.018583955663,9455.889932879512,9577.968042989414,8595.424749227444,7737.930620978518,9161.26934288237,9075.660870409672,2816.8893460438885,2694.978612259986,2498.2617718279184,26031.636943758556,25682.738918808234,24045.4079449592,22033.9311261129,28104.599193542184,29978.78986948471,30288.139516388397,30128.098662517335,21567.334561394982,22994.57705718464,24016.036752859196,24118.462280320182,33971.300058017216,33792.74985240352,31197.312032911606,32894.95145836687,48907.833519982574,31401.643183946533,3863.2857205441687,3864.756746289463,3821.338720487545,3805.766764682039,38286.41173126313,43346.42239873186,41330.93766456372,41862.070777898196,12090.403428019,12887.749885353152,15454.524072779363,16797.6999448501,15715.630683231055,15650.787502291347,42205.87169009477,43312.47269858842,9516.634742510152,8528.738416236094,10643.077640116655,10217.014167733438,22696.08561419516,20382.609871512865,12175.043574688338,8719.13271821118,9915.050578763457,10408.999128938609,4765.667784803468,5052.552138754534,4427.197642712539,4908.593458033314,15720.88704703455,16937.60374631235,18655.435046309434,18233.78652636678,15465.999800867914,18516.426599276612,18220.32117502245,23293.29049509796,21217.2632255395,22159.964583146386,19254.331319641962,17652.656019275346,20224.079100858584,12486.038240429218,13254.12044038138,12227.088895835272,13402.415147218464
1956-10-01,4163.912384379982,4327.563292226868,26703.47973025572,26227.813550453808,20614.680844668354,18677.293555360964,18065.108661462666,20945.358590103544,13822.091097867842,14889.394827380527,15785.434858247336,17170.80409947503,18152.54568634205,14148.749513740202,15958.594289701834,5423.477125688621,5905.758255292469,23087.822265003273,22227.67756793589,22984.996271978853,21089.059477095976,13742.43543504861,14004.896672690247,18996.04136344986,18846.316947854244,30139.793198549367,31649.460443698725,27515.905867320536,32556.526821782838,3751.8920839895836,3293.071536698782,3396.339681730072,3875.394062700519,3844.6567579142206,3920.4343900244594,3899.62615844681,16723.296206396357,15002.394779657487,16486.446419121054,15238.971900929835,31885.922021378145,31171.589072933024,32782.96406665164,33111.62899914979,13452.54890088265,16837.07516825359,17476.263334924366,17881.935668035778,10261.60746505227,31092.405900822498,16997.441672765766,15647.793879775048,15655.643936595914,13779.322362031513,7767.231920461941,6769.484552789384,7502.510569111869,7047.270999307131,11488.445524638688,10439.510993466416,25284.985065180783,25253.810778715862,22713.235790347095,25030.357894232005,17292.0667983602,16428.965056954556,5982.279339205584,6196.982255030035,6390.504322711786,6388.182848619431,14801.597286240853,16028.736035104639,8917.81969853774,9008.735857084048,9000.17956524816,8822.75016355517,10397.619768671002,9126.771495264124,10516.564259811541,9325.142632434143,6903.119893997246,7316.142271334636,6696.407503698562,6230.117917265032,27134.354489425765,26400.244613367886,32080.27109126155,16183.333776393452,17888.620681085293,15379.598464763567,15771.32569064241,15736.375075961441,16956.80574945152,13942.444422529758,14446.265054174819,13107.824704886165,14634.478474968046
1957-10-01,18725.792409220343,19018.081221834203,30841.330389350493,34589.66673329754,3577.5308107736255,3407.9071402182517,3177.669142925635,2956.1964568590925,46755.88060741213,47181.85389495202,50523.820652986695,11883.046895512833,12842.117281631818,12152.410563100497,10235.295282793166,35999.37303224002,35737.28494847536,42369.717085814795,45982.23629559123,50205.37668979894,43515.88517430945,11896.137331098713,11671.680163392606,15335.64091071825,14421.883379458535,32911.93157941522,30572.604130936314,30703.821377462693,34479.25171488424,18854.686171863003,21959.298953305264,21029.946008859548,6370.302931507906,6325.3882436709155,6266.247440090451,6215.2798811834355,12302.750380160682,13590.899444019597,15444.111546041933,13916.408908731608,43573.562977598085,42069.60572816488,42978.2438966002,46512.3323536007,20244.080951743985,19724.62676948426,20854.98047629946,21934.934384916687,5882.008904345151,5076.2510568588295,13678.446541247758,12896.95314095339,12217.621361302869,14353.007873673227,12646.42386866044,9988.39103886492,14334.135293870011,12801.978133889816,15070.176825770051,14678.327210533273,8562.299983145302,8945.950781680844,9413.544307254884,9901.259578233625,9942.076726183428,8621.071726605547,43642.22489159465,42105.894081770355,39452.32578921829,43217.655799826796,27960.561201588313,29686.581398545775,20930.423644756436,22597.660252422014,22217.9627012862,22989.927194581513,17703.854623678908,20011.259076979513,18500.983603192413,19120.06831012308,31398.869342858452,33337.036223462455,32399.624554416616,31916.25128138129,23452.472220009055,24089.41466599771,24366.53233881483,22848.574377497884,21933.560778665462,24222.628237894347,7210.5415899713325,7365.684269735727,5882.012791041964,19375.60360745353,18898.085422598844,19007.829996513337,18597.78778612329
1958-10-01,11894.384188029313,10118.499372060565,7287.554928351219,6525.96662885303,4410.3845797260865,4193.53726276987,3992.1792759161212,3910.6731531391624,8295.621966706303,7552.427721215464,8785.90392742071,8742.64171397331,10851.640187827896,9815.890443378952,9435.335373204663,12822.297109496058,12509.122475419963,8810.27763260307,7716.107288431667,9135.619711101166,7554.87129918552,26678.14458782938,23331.39553819654,11327.400857982315,8362.788314519075,7384.197780230425,7903.221460376822,6781.270801214606,7398.105341635027,17168.44699261858,16935.670450572114,17970.361970230188,18463.753454208865,18883.73372881579,16922.77829034656,19901.083349261524,6930.21511491017,6217.387400794643,6117.597924276018,5393.647231918514,13989.116348778554,13787.052922195207,13628.48887264033,14868.12010292859,22983.020333239732,24568.5716888816,25047.205044274288,26315.53161704551,7983.479624031211,9287.558013946278,21560.917410617843,24117.01426107864,22147.726255297912,21523.707480680234,37259.56929457231,35669.3742416493,36148.36320898961,35449.304721331864,30361.056308444608,32201.202796591333,12780.452244294294,11589.541865366295,10719.946352296616,11926.355529281776,18666.900684261644,12847.430578633155,32880.55001626645,25484.295954812726,28575.443514473754,27729.730955222676,4168.588676290323,4928.691618898594,38748.69539842928,33465.15789577504,35001.93929537434,34681.065628030185,23453.92682008027,22311.770088271052,23519.20357742898,21669.6772219902,4704.653872718874,5301.666155847536,4624.0726716739,4935.640248177299,4134.595032105572,4617.413501907699,4415.578271553534,21529.326142093185,21875.61340870295,20821.2852631401,7247.10375280706,7103.916378624935,7445.690091036506,7782.046454134859,7791.0019054629465,7287.60971736713,7028.452554705389
1959-10-01,27338.79284878768,27909.93182722774,13536.954256885956,13611.873416595756,28251.140768413687,25636.014752334053,26739.63671018398,27302.270454219208,17653.192403370776,18952.634876704917,18434.608181760617,34981.9442002093,38095.745049860416,32799.63086951252,38600.03662108865,23321.24970007899,22481.969477595114,16332.966799572663,15209.858857296636,16092.173112801413,17994.57491550027,6716.589274578008,7424.57775037754,33598.02412996722,35249.31955539609,25967.74695878638,27501.16802747063,24318.477764290466,23162.00123066143,6390.574495651753,6371.76199521319,6155.337107159185,6838.549150522135,6120.396599122074,7349.836177436578,6994.520206567353,28985.168683733642,31924.20433924079,30202.923762250095,31432.682678665937,7967.182614383123,6600.767566247029,7030.806791288761,7721.101253119785,59088.78262962463,60393.32524285412,59180.674759987254,59134.23480541472,32655.765001991953,13869.990449848963,3866.956861518717,5019.893661422964,3974.9011684332454,4112.818288273172,26877.33643138684,24910.294245264216,28420.340703901315,27933.354285773232,5474.517654193131,4522.388831319438,18671.349217720177,20652.729445571134,21543.5009583432,20030.119654173344,19895.868504778442,20658.88679775745,16458.91679337678,15878.967826311005,15473.566829424875,17142.36275488016,6765.736233319221,6408.948399097111,36129.73195284042,35783.01180587794,34420.94847890503,35753.660933194544,27339.052851840876,25595.13904622234,27886.90412033318,24646.71334863259,34742.44787248916,31685.00220258226,33999.505335164846,33603.14894556637,23348.04095218419,23884.283253275386,27367.186325320414,18833.2292090395,17270.95658178526,16998.43770739411,15972.08750889171,15272.805575773502,12888.499445114365,32170.161923805714,34508.692954363425,31969.407775884054,34628.70306793966
1960-10-01,21306.20678692969,27560.101305419037,9128.410010901443,10611.850429839431,22648.523627520957,25425.56302820856,23380.606736288446,24814.682890131564,13982.792895299108,15816.12211558011,15056.829862920078,33022.42561993323,34211.18510609583,34359.673699893145,35912.6600343191,23896.03450968728,20052.991228430114,17439.924328494897,17085.93459067042,17011.36839119143,18102.927869443454,5835.224744774776,5527.64385106579,19676.30521273419,23266.238858747543,50189.75457326078,50520.50734970146,49944.353856962516,49963.97193987838,8843.361342531858,10570.129553434048,8423.085999358233,22353.386745963882,22637.159317688973,23488.81356499659,24017.57118847472,25218.58147072908,23376.061405279463,24790.403239915275,21081.864065890048,25158.08013547818,26488.264547550934,27972.05990037579,26596.88396174143,27657.21566635105,27353.188313740393,28777.147330185366,27695.489688929858,5220.987918244725,11465.198873568761,16053.869513778309,14883.320902666275,15690.167558350267,15776.316758389637,27508.482731398937,28096.438222193967,31993.645271131198,30511.47294803148,21608.06936763903,22684.854264106314,5877.293747121322,5717.4044544094795,5863.325781993374,5376.046309320632,8457.75736655028,8256.241258107724,26338.594974828404,22915.745728951748,24678.665992692087,24820.72966205161,16801.48891862829,15402.2177001094,5563.745610891356,5441.113494069077,6131.49623044279,5656.92285681465,4501.7417412740215,4667.548007853149,4757.3824226342385,5780.256940385852,30521.23662359757,29563.521214996443,31171.956129418446,29118.830487992178,5911.712983281209,6426.30570029029,5626.5043901023155,27321.086134660167,29472.227566312304,27685.23068112614,39074.89057144884,40657.18051623315,36384.14574331467,39775.31873927476,39825.02929611016,39728.630532281335,40186.497182386556
