datetime,access1-0_rcp45_r1i1p1,access1-0_rcp85_r1i1p1,bcc-csm1-1-m_rcp45_r1i1p1,bcc-csm1-1-m_rcp85_r1i1p1,bcc-csm1-1_rcp26_r1i1p1,bcc-csm1-1_rcp45_r1i1p1,bcc-csm1-1_rcp60_r1i1p1,bcc-csm1-1_rcp85_r1i1p1,canesm2_rcp26_r1i1p1,canesm2_rcp45_r1i1p1,canesm2_rcp85_r1i1p1,ccsm4_rcp26_r1i1p1,ccsm4_rcp45_r1i1p1,ccsm4_rcp60_r1i1p1,ccsm4_rcp85_r1i1p1,cesm1-bgc_rcp45_r1i1p1,cesm1-bgc_rcp85_r1i1p1,cesm1-cam5_rcp26_r1i1p1,cesm1-cam5_rcp45_r1i1p1,cesm1-cam5_rcp60_r1i1p1,cesm1-cam5_rcp85_r1i1p1,cmcc-cm_rcp45_r1i1p1,cmcc-cm_rcp85_r1i1p1,cnrm-cm5_rcp45_r1i1p1,cnrm-cm5_rcp85_r1i1p1,csiro-mk3-6-0_rcp26_r1i1p1,csiro-mk3-6-0_rcp45_r1i1p1,csiro-mk3-6-0_rcp60_r1i1p1,csiro-mk3-6-0_rcp85_r1i1p1,fgoals-g2_rcp26_r1i1p1,fgoals-g2_rcp45_r1i1p1,fgoals-g2_rcp85_r1i1p1,fio-esm_rcp26_r1i1p1,fio-esm_rcp45_r1i1p1,fio-esm_rcp60_r1i1p1,fio-esm_rcp85_r1i1p1,gfdl-cm3_rcp26_r1i1p1,gfdl-cm3_rcp45_r1i1p1,gfdl-cm3_rcp60_r1i1p1,gfdl-cm3_rcp85_r1i1p1,gfdl-esm2g_rcp26_r1i1p1,gfdl-esm2g_rcp45_r1i1p1,gfdl-esm2g_rcp60_r1i1p1,gfdl-esm2g_rcp85_r1i1p1,gfdl-esm2m_rcp26_r1i1p1,gfdl-esm2m_rcp45_r1i1p1,gfdl-esm2m_rcp60_r1i1p1,gfdl-esm2m_rcp85_r1i1p1,giss-e2-h-cc_rcp45_r1i1p1,giss-e2-r-cc_rcp45_r1i1p1,giss-e2-r_rcp26_r1i1p1,giss-e2-r_rcp45_r1i1p1,giss-e2-r_rcp60_r1i1p1,giss-e2-r_rcp85_r1i1p1,hadgem2-ao_rcp26_r1i1p1,hadgem2-ao_rcp45_r1i1p1,hadgem2-ao_rcp60_r1i1p1,hadgem2-ao_rcp85_r1i1p1,hadgem2-cc_rcp45_r1i1p1,hadgem2-cc_rcp85_r1i1p1,hadgem2-es_rcp26_r1i1p1,hadgem2-es_rcp45_r1i1p1,hadgem2-es_rcp60_r1i1p1,hadgem2-es_rcp85_r1i1p1,inmcm4_rcp45_r1i1p1,inmcm4_rcp85_r1i1p1,ipsl-cm5a-mr_rcp26_r1i1p1,ipsl-cm5a-mr_rcp45_r1i1p1,ipsl-cm5a-mr_rcp60_r1i1p1,ipsl-cm5a-mr_rcp85_r1i1p1,ipsl-cm5b-lr_rcp45_r1i1p1,ipsl-cm5b-lr_rcp85_r1i1p1,miroc-esm-chem_rcp26_r1i1p1,miroc-esm-chem_rcp45_r1i1p1,miroc-esm-chem_rcp60_r1i1p1,miroc-esm-chem_rcp85_r1i1p1,miroc-esm_rcp26_r1i1p1,miroc-esm_rcp45_r1i1p1,miroc-esm_rcp60_r1i1p1,miroc-esm_rcp85_r1i1p1,miroc5_rcp26_r1i1p1,miroc5_rcp45_r1i1p1,miroc5_rcp60_r1i1p1,miroc5_rcp85_r1i1p1,mpi-esm-lr_rcp26_r1i1p1,mpi-esm-lr_rcp45_r1i1p1,mpi-esm-lr_rcp85_r1i1p1,mpi-esm-mr_rcp26_r1i1p1,mpi-esm-mr_rcp45_r1i1p1,mpi-esm-mr_rcp85_r1i1p1,mri-cgcm3_rcp26_r1i1p1,mri-cgcm3_rcp45_r1i1p1,mri-cgcm3_rcp85_r1i1p1,noresm1-m_rcp26_r1i1p1,noresm1-m_rcp45_r1i1p1,noresm1-m_rcp60_r1i1p1,noresm1-m_rcp85_r1i1p1
1951-10-01,3189.03916937108,3371.4721154163667,3889.344260039066,3773.083580038096,2799.5287356115714,2639.968334807691,3063.899018446141,3198.5494170399834,3881.901331710265,3712.864012501084,3671.943303721351,2644.080730635131,2605.894860475579,2852.6538610994808,2510.6527531552806,3854.0954507207703,3553.384326019125,4479.79796653075,4156.684421363648,4036.0746262852604,3990.679470506996,5235.479344424138,4321.554666429974,5097.677860759284,4992.673773506207,4590.099392023025,4219.433500558044,4808.541239429255,4685.502761679806,4612.729027526567,4785.69181709947,4857.8940846279975,4608.160061585148,4169.7277874940355,3952.1235015556877,3993.36397155589,4754.302459298636,4783.752864405702,5075.3651819569395,4612.098354727072,3271.113216395213,3127.2194721774035,3352.00250157919,3025.9203445554135,4734.995068013468,5010.035755812959,4979.791314062565,5276.200583636432,6786.078734547574,4270.903441109939,4311.394397541043,4150.532254829199,3866.2755202584694,4046.464027130025,3708.1677159299365,3621.501157322287,3741.6777120969327,3824.5929106151298,4769.189136117464,4580.710219837138,5694.203501346813,6024.081726644112,5717.1932462681325,5301.762369610363,5263.860976377876,5648.785908344019,2513.078117122569,2652.2087106378845,2518.3260111012123,2361.0662146315044,4317.2173350928315,4133.922300225323,5899.390361585102,6207.10465698919,5498.117410568413,6277.476019066874,3773.6142436966234,4086.2271911028597,3664.0162060915313,3310.1361016160045,5073.108776983389,4529.668940644685,5167.603295095854,4718.8996632492035,3499.331224863345,3575.1103176357074,3270.8036746224852,4063.047384438929,4032.495654166136,3817.866557130169,4957.647702948738,4816.942032958685,4597.745616299454,2471.8805332000506,2242.894705197961,2826.933663899963,2473.221001854602
1952-10-01,2419.3809058873135,2277.1173693640267,2135.7151100453066,2201.790442853816,2852.6022204934966,2499.4125124112684,2839.4398313388365,2797.8011071530245,3839.561409939211,4098.706151467621,4246.374159437785,5148.352753912269,5379.101296616295,5206.984609637923,4853.672246019524,5075.631983884993,4806.9150232520105,4833.577400826475,4807.070580045518,4425.800295453111,4370.292875058684,5260.827717191993,5274.011773334288,5282.840546866114,5554.2679937476605,5960.345020457523,5758.214609357892,6294.45907671918,5994.142561169776,2065.3672406556207,2087.8478494934047,1954.7333488318086,5585.816751284101,5231.709610371316,4779.949698007122,4382.173346791942,2442.7980594797,2490.349401103803,2472.459877821232,1892.9928128865527,5662.268773828582,5519.575932356495,5356.7861951119485,5507.864443952561,3962.578336418913,3956.2196115831825,3695.6329482484434,4282.296507893694,3411.7074547026764,4952.492707688472,6330.0674547130975,5620.578787845419,5254.129708135555,5754.74538807441,4547.860191725152,4063.360613559952,4431.601466395417,4288.836481550071,4123.818294151995,4099.015529435458,4862.825781742045,5305.578162522834,4530.436760643171,5111.364491271561,3193.663948709891,3388.447258597299,4965.2509219537405,5394.667610152975,4617.582596254112,4638.942922923954,3893.0570467234165,3876.291626690221,3609.446683564925,3728.678773010198,3572.511644560148,3468.050809288003,4389.825834367945,4639.696268753982,4959.828004815018,4603.949573200388,4035.2160481396113,4476.176342073506,4816.044945106565,4322.545976075424,4661.990955266582,5426.350136723602,4561.955415255891,3166.830365100511,3110.0988171440345,3149.2666588128545,3768.0829559616577,3481.689741694283,3424.8140528549698,2682.694772671689,3169.977376946302,3149.2473104236146,2637.730463160665
1953-10-01,5476.227836780279,4783.370951962582,2636.558078833774,2585.5816821396143,4728.269961247139,5130.559276854727,5079.383696176095,5199.579333092352,5651.015894323416,5388.842990332023,5089.6337541264575,2553.705231007421,2417.932889385371,2650.473700434496,2705.546082649894,5123.030440922059,4605.219089507947,2829.7994862254077,2340.482874899025,2336.288562359675,2273.9204848386917,4801.266292418591,4179.102618953677,3017.2839726623133,2802.2069175048264,3530.699870925864,3326.2538942906417,4130.527793407404,3648.8472681834623,2078.832692308687,2035.921541983672,2053.9193061322503,2481.5999764611065,2059.225911406532,2093.115843397274,2262.379743602494,2845.452575073949,2991.071065339942,3038.7733302150214,2735.3292543097423,4263.143366213169,3763.468286734413,3646.7101513583984,4303.496910156707,2271.4198197349374,2261.860717339451,2238.747080885967,2090.140082840975,3224.7599597781336,4579.005363788451,2625.065176575243,2384.4604161909783,2124.312890436217,2134.9111132892285,4717.630588737299,4931.79162539246,4387.132443336659,4288.788306137727,4945.304591130298,4319.738488132615,6181.245566646403,6169.902164958334,6265.288628585747,5682.736480932511,4708.093253919376,4698.723890594067,4766.396577947745,4767.331969105021,4366.066630671781,4863.570787929965,5667.97758640587,5383.147974549704,2618.980348629239,3219.014048866141,2515.8262492843787,2666.8583487295473,2349.845852039233,2921.1430014260523,2783.3191524510844,2257.470101525345,3622.3794988618743,3646.729742146248,3419.0377104915124,3505.6202997794926,3459.7054349917557,3398.8526721868793,2895.6955147043273,2456.1082845917963,2548.7445739849068,2417.47468817739,4829.953123769929,4794.717790487255,4610.866707567442,2263.8825807704075,2435.4785760253576,2369.9533022548917,2313.5230912548896
1954-10-01,4800.282611699076,5222.264853869287,3741.3098619085367,3692.1800834077444,3655.2278081046534,3794.545076461309,4134.963331595963,4566.590439331898,2828.7023953880853,2779.429580600155,2686.5489954972004,2714.977334204325,2716.758506963889,2683.310389399861,2755.4306195116314,3270.442468686592,3149.6625156270843,2200.6914862122426,2070.24929263579,2173.6530454831536,1952.4276765878456,5264.040302707324,4625.567901381029,3079.4898153059967,2827.708995642255,1987.7759591972972,2119.3872324297677,2348.7100956888157,2008.5516218682744,2442.62176517863,2354.1517103731057,2172.119010879533,2259.0938666662732,2497.26236775932,2025.012871256736,2318.0435604808813,2856.5179216387833,2716.8473617069476,2789.6224316395483,2707.7006682505926,1505.1816165724672,1721.596610741973,1916.4309850059274,1783.245697904299,4390.346872144213,4404.924250502909,4573.69394726245,4428.112889057277,3243.918418479613,3989.778495394212,2135.0787639736154,2067.1998971617368,1877.7271651363349,1975.7536321377204,3110.801321835636,2908.3006526484,2985.3018336325877,3030.122855077258,4032.6221169430255,4251.903989917017,6401.840022943761,6631.412256613912,5782.041649740569,6346.178739431466,1767.5907254405038,1774.4942003491715,5012.714259854762,5574.25060483822,4333.992302780755,4748.153186287511,3025.4118219974916,3082.3202853709104,2276.347101494992,2525.2746656000577,2350.5457259935642,2400.283514559356,3705.528652981172,4168.041285693751,4064.406799548916,3571.1056535542507,2448.3275164378824,2169.7113031309304,2451.3960997301556,2224.2665058132557,3336.914188295153,3466.365857942865,2987.448891051959,4531.92542250706,4320.13177027526,4561.853831921109,3241.5229753974327,2991.339051398656,3069.7003350161217,2235.4428972535297,2256.6873950442023,2300.013596208439,2026.0919680120937
1955-10-01,5093.172267377335,4882.841225847245,4170.5122636959095,4443.124500564673,4859.712860257374,5209.498745267123,5295.313607691418,5390.279157183784,4313.652413435214,4434.478356865237,4230.020281247779,2785.1470279985315,2860.0369313716196,2850.776381988711,2896.6866576950288,3162.264068888882,2736.2869023621297,2441.0777401783353,2360.401043310506,2362.372766483981,2383.698969313914,3784.532386510231,3461.602567990921,2724.7753610183636,2382.295031701233,2690.8147615708244,2423.4134030409814,2834.4592897058164,2647.2693628772217,1258.9074921906026,1101.3843336187097,1044.4475716815762,4560.536699578144,3994.1047756498274,3839.3399181301247,3705.211277729958,4766.252604963965,4594.047149545246,4904.412843153529,4996.816415478157,3874.094592004345,4174.232135768178,4182.912985447895,4044.029052921162,5516.48351908584,5570.176416318836,5518.61444967532,5881.914435981246,6086.724216241933,3815.8854699104663,1697.8044355101285,1776.2024248223279,1551.9928656626314,1655.4267201553005,5049.0084319445195,5019.09401372898,5011.436921028435,5058.424095628625,3948.233479787199,3753.8743755630353,4056.2599392985376,4584.657854036838,4372.090025503387,4331.587393906429,4471.517590005989,4873.968633722547,2681.582712333445,2848.5503021744094,2684.0986315148966,2354.2725845273417,4288.382877698309,4118.519320204618,2691.042617802986,2675.224049292318,2587.973485405036,2491.0990356227626,2113.7577673992837,2461.1719763889623,2214.530298148524,2267.706551221739,3967.740794332132,3480.344174321115,3705.454932344525,3439.175942691316,3566.950263669631,4115.175096398951,3272.845866421967,3778.18306151733,3309.8915509336484,3654.0014458732435,4400.928007266189,4061.068962063938,3704.728536596562,2505.3688594885352,2716.102103468117,3086.4210652653915,2488.4974331972217
1956-10-01,2196.404537177206,2342.174617245496,3509.468905002792,3726.9534300457035,4124.926721747074,3833.031068479925,4305.839996740946,4440.210251187825,4326.419384975978,4171.310984485448,4340.851551264651,3488.3982091224807,3635.114378427964,3360.7343057880353,3334.0859561836323,1983.1270030120793,1911.4898483888162,4561.902983495835,4528.980911931776,4199.982333218711,3996.706693366549,3830.353437141349,3610.716178491241,3802.27669741342,3795.3805834369114,4800.7882442199,5146.820825016299,5489.159710213649,5149.85390401835,1017.8661588418144,904.7516345380667,922.7354411798161,2652.208700345062,2321.362234755113,2408.1162943039576,2261.8286603129977,3490.4291108921266,3533.0799865293257,3717.891645768895,3494.787762712908,4902.846091530001,4827.92699875689,4984.5736692792425,4736.078723148142,3641.5583762704646,3719.8639819957607,3284.4296402639948,3790.3503092164174,3688.2689450022835,4655.140797314382,3575.1973914322516,3317.309480525937,3106.694542107877,3300.0543981474257,3468.853836829786,3075.8397088269776,3227.7782603463284,3138.7268269773267,2693.233300173413,2431.833699048782,4487.005235373046,4161.918669799651,3549.750378896279,3835.777537971927,3501.1165248309626,3731.459970658856,2222.780307738221,2165.2305742362023,2165.422172041651,1960.4539227014272,3240.0878144615817,3193.841067600451,3015.5086247788195,3040.4593634100183,3107.9183399836525,2928.1814625160855,2378.1998216659804,2619.2775313533148,2831.5606560185743,2731.2514709414913,2822.1122247809753,2457.211545067299,2648.2404288021976,2450.4150904400294,5143.679156076108,5493.095099690406,4535.4434528665015,4075.6117248984133,3928.7451966027083,4164.171328410461,3154.452137407494,3182.346698004607,3114.417905067664,3590.804250788954,3435.7274736529926,3187.718935133058,3172.9270768822053
1957-10-01,3705.971290315933,3523.1729709836864,4433.151367778902,4495.110131556256,1585.4464694438054,1711.3245090485784,1678.7251044733343,1539.1217711809315,6540.946203441758,6356.804651539695,6171.092328445631,3393.848956771648,3457.123451503099,3453.9115549838248,3169.561200210505,3789.6807490698534,3913.0098173552365,6215.128781184174,5651.868228034654,5221.1619628607605,5653.086721586378,2983.340243852186,2800.5582120436484,4090.641576733432,3348.235588998937,4819.192873942791,4235.450233906799,4593.52877576195,4719.791760924698,3182.4713315653526,3529.086796230339,3201.6671029604986,2368.1576752649025,1957.993118690366,1791.9476930103451,1813.8401366212734,4343.86750431873,4084.346267813564,4559.65185246862,3866.316907103145,4956.361630477031,4825.54757608637,5106.082553462561,4439.611662018818,3909.9092661957156,4073.2416069832752,3620.6164321065544,3256.299200947021,2546.8519090426926,2697.327110106113,4295.981481574552,3896.745726045198,3508.5956090020013,3797.236026808889,3761.209349552841,2748.1980200301773,3351.500503063053,3323.3121470436513,3632.982605258211,3000.659915122732,2937.061449089608,3282.8141267284805,3007.558911622359,3117.0690160068175,3065.5619419955715,2696.6776012323244,5426.080220713842,6118.482142308278,4623.412079427074,5095.975648183028,4204.9301111886,4123.967638151701,4244.671830940751,4988.103354411985,4720.629610509218,4396.5328017917755,3895.3537151041655,4165.532515355757,3751.415963130684,3501.413017545153,5332.923082574607,4860.009911718062,5357.662442718211,4931.760726750936,5011.456598033152,5179.658484023102,4580.755991715813,3413.9081350487836,3695.010890106629,3721.722131404049,3063.501633655562,3268.390455014838,2924.24716937954,4147.07776732345,4313.994551238018,4869.501154128022,4254.404467999361
1958-10-01,3057.525288598153,2995.6515994650717,2411.2955989997954,2663.539001963702,1173.0723473623832,1141.897915789204,1205.5745996949147,1255.6859888733288,3021.7826678226584,2948.5945933261446,3121.6881996610364,2342.4335292549317,2298.1492334255067,1994.7763656461066,2032.2215642040626,3671.4149756912657,3370.113361644193,3675.8280320946833,3475.2186132398274,3409.173923131931,3487.3043850062854,4624.3305318592475,3845.7839285238488,3174.802012045885,3134.319656613255,2775.0199601068175,2473.663410012357,2520.1202734395065,2409.2486640211177,4745.651297485124,4261.121215899526,4737.227048352091,4596.4164261488095,3932.9967878094126,4159.967192167031,3867.7856267567986,2673.8992980754692,2677.2907684674615,2517.080870523906,2351.208341164552,3826.8925572468424,3634.449852935193,3920.9546554959775,3738.1465891999815,4341.607302678047,4982.590425305575,4392.953787794722,4905.79428737813,2582.9535415302644,2529.745215212828,5055.625986147842,4269.8753693246945,4323.629844490499,4958.657590481247,5341.754469829753,5178.371019397079,5287.705797076587,5064.78406700341,4359.510451562535,4596.0917585537645,3174.027711441442,3267.0995933302333,3289.4341381612066,3277.076973395527,3266.956325017999,2834.9388860379822,4784.733639411033,4474.152595561306,4285.849227341701,4535.711285669873,2304.42173580586,2141.1407868903248,5415.63851597022,5480.208487572881,4993.012505396425,5487.854097052805,4583.1295697569885,4715.4925259628435,4548.287366430824,4283.3178197964635,1827.015264668982,2000.0567647370426,1621.5281649939147,1910.3644077085544,2332.1119282647965,2490.3394860851577,2222.5221961394996,4165.417964776893,4112.9898684427535,3978.0375301236836,3171.74877623901,3123.1717333645597,2762.4104104174785,2827.2969889826627,2812.782183496025,2932.110636291561,2838.13538942896
1959-10-01,4341.863195196852,4187.10353310492,2629.8955394022637,2561.805053600441,4146.751087531086,3642.2859287653328,4186.217887153717,4355.2406332157025,3564.102810564688,4025.8010550226977,3736.521784761787,5093.146709732103,5427.007427509166,4951.80195168479,4916.516308187084,3992.3242522465384,3650.5864259941864,4756.141044331309,4663.667505188937,4482.55675862711,4266.132049092089,3469.957435634585,2924.6440046668886,5112.665075026408,4713.45832656778,4546.214658121382,4284.685240982927,4405.1818681459645,4061.9948827186527,1739.752410507509,1784.8665743967522,1538.6854524244445,2638.9297855975774,2330.6943358279977,2456.1353836930516,2732.7379530659764,4749.857979571681,5185.269745971497,4559.54237083593,4909.907001892322,2251.847714797399,1960.7733943606659,2172.9613550198624,2193.788824980692,5391.82243381302,5759.980151577164,5465.928905050305,5631.501773627055,5002.38180468081,2868.7315354583616,2178.4178494188714,2286.5659239563975,1843.1310091320297,1873.6550779737852,4354.758699788638,4376.886016745326,4493.634581926002,4310.448919503495,2498.6624609734513,2586.006800123198,5260.895832160342,5562.415165850242,5136.195498535591,4985.73776850845,3428.5888294747647,3742.0885341142975,4020.4842968956737,3912.929948010769,3702.113360534894,3762.787160711011,1640.656172033916,1610.652144506261,5390.138543097122,5931.747736705485,5467.2517280162965,5357.567673762909,5344.400642267906,5695.7741822005455,5591.6584794900045,5274.964595156055,4613.173136679101,4244.124094277234,4878.4998638842635,4700.097873439564,3558.0215557706606,4018.259424129144,3854.2416703149056,4417.146487752585,4459.367959346869,4231.755785363586,3452.9034544398723,3358.36262540771,3277.0261113028664,4736.836461407772,5079.084665077554,5325.675903711211,4534.977524099657
1960-10-01,5167.874362009499,5281.056992435101,2773.4454855214613,2779.7583363747462,4507.344956590531,4728.301036813434,4908.627075230169,4872.979704757665,4141.0241191226905,3775.783519054855,3975.79477392658,5255.632217401336,4540.976681779289,5012.5364448212995,4625.664065713143,4769.495472854263,3972.0285620261448,3991.415353960582,3516.6438419196493,3678.7310487946083,3578.381642353218,2264.461740865187,2171.866136643315,5000.923962449314,4687.667730623323,5928.484164214015,5797.606453300102,6443.26278258124,5865.367949214411,2635.6770399130287,2407.3950015320092,2408.5671486306383,5071.227702198892,4510.206838101819,3799.4113629885182,4236.615667046588,3795.8410119644645,4005.71033838373,4247.175996396559,4056.9139583291094,4158.508844173547,4266.184955792719,4364.692713065182,4205.471267210415,5363.164969552135,5716.366736467915,5091.7795471383015,5435.09462527577,2384.6542651488217,3782.9871264623503,4057.645977918479,3838.1335003708277,3643.8803499225,3954.2693461923964,5581.068573424783,5389.529879157441,4986.450096228691,5412.763196570986,3852.050129174989,3887.4618560202684,1776.235410213098,1675.5804344479911,1620.109033251185,1430.137929515493,2448.355854706995,2631.516069907726,5106.961606008559,4783.043338365758,4654.130293320072,4660.15785553754,2715.519244279728,2690.5997512385475,1756.6707194415328,2160.010698906178,1717.8035095113055,1885.5833658939484,2316.112784595724,2697.438760505091,2402.4735063010194,2379.072575227669,4354.268435636083,4472.37165822508,4543.191573856839,4083.4843765751134,2230.40307108571,2840.8504957551313,2129.4202305160843,4323.398560949916,4438.834726903622,3891.8801375009516,5550.6005137158045,5206.915398730497,4803.211040454835,4650.088689781646,4792.0110341606905,5305.23150522504,4895.1898681533
