datetime,access1-0_rcp45_r1i1p1,access1-0_rcp85_r1i1p1,bcc-csm1-1-m_rcp45_r1i1p1,bcc-csm1-1-m_rcp85_r1i1p1,bcc-csm1-1_rcp26_r1i1p1,bcc-csm1-1_rcp45_r1i1p1,bcc-csm1-1_rcp60_r1i1p1,bcc-csm1-1_rcp85_r1i1p1,canesm2_rcp26_r1i1p1,canesm2_rcp45_r1i1p1,canesm2_rcp85_r1i1p1,ccsm4_rcp26_r1i1p1,ccsm4_rcp45_r1i1p1,ccsm4_rcp60_r1i1p1,ccsm4_rcp85_r1i1p1,cesm1-bgc_rcp45_r1i1p1,cesm1-bgc_rcp85_r1i1p1,cesm1-cam5_rcp26_r1i1p1,cesm1-cam5_rcp45_r1i1p1,cesm1-cam5_rcp60_r1i1p1,cesm1-cam5_rcp85_r1i1p1,cmcc-cm_rcp45_r1i1p1,cmcc-cm_rcp85_r1i1p1,cnrm-cm5_rcp45_r1i1p1,cnrm-cm5_rcp85_r1i1p1,csiro-mk3-6-0_rcp26_r1i1p1,csiro-mk3-6-0_rcp45_r1i1p1,csiro-mk3-6-0_rcp60_r1i1p1,csiro-mk3-6-0_rcp85_r1i1p1,fgoals-g2_rcp26_r1i1p1,fgoals-g2_rcp45_r1i1p1,fgoals-g2_rcp85_r1i1p1,fio-esm_rcp26_r1i1p1,fio-esm_rcp45_r1i1p1,fio-esm_rcp60_r1i1p1,fio-esm_rcp85_r1i1p1,gfdl-cm3_rcp26_r1i1p1,gfdl-cm3_rcp45_r1i1p1,gfdl-cm3_rcp60_r1i1p1,gfdl-cm3_rcp85_r1i1p1,gfdl-esm2g_rcp26_r1i1p1,gfdl-esm2g_rcp45_r1i1p1,gfdl-esm2g_rcp60_r1i1p1,gfdl-esm2g_rcp85_r1i1p1,gfdl-esm2m_rcp26_r1i1p1,gfdl-esm2m_rcp45_r1i1p1,gfdl-esm2m_rcp60_r1i1p1,gfdl-esm2m_rcp85_r1i1p1,giss-e2-h-cc_rcp45_r1i1p1,giss-e2-r-cc_rcp45_r1i1p1,giss-e2-r_rcp26_r1i1p1,giss-e2-r_rcp45_r1i1p1,giss-e2-r_rcp60_r1i1p1,giss-e2-r_rcp85_r1i1p1,hadgem2-ao_rcp26_r1i1p1,hadgem2-ao_rcp45_r1i1p1,hadgem2-ao_rcp60_r1i1p1,hadgem2-ao_rcp85_r1i1p1,hadgem2-cc_rcp45_r1i1p1,hadgem2-cc_rcp85_r1i1p1,hadgem2-es_rcp26_r1i1p1,hadgem2-es_rcp45_r1i1p1,hadgem2-es_rcp60_r1i1p1,hadgem2-es_rcp85_r1i1p1,inmcm4_rcp45_r1i1p1,inmcm4_rcp85_r1i1p1,ipsl-cm5a-mr_rcp26_r1i1p1,ipsl-cm5a-mr_rcp45_r1i1p1,ipsl-cm5a-mr_rcp60_r1i1p1,ipsl-cm5a-mr_rcp85_r1i1p1,ipsl-cm5b-lr_rcp45_r1i1p1,ipsl-cm5b-lr_rcp85_r1i1p1,miroc-esm-chem_rcp26_r1i1p1,miroc-esm-chem_rcp45_r1i1p1,miroc-esm-chem_rcp60_r1i1p1,miroc-esm-chem_rcp85_r1i1p1,miroc-esm_rcp26_r1i1p1,miroc-esm_rcp45_r1i1p1,miroc-esm_rcp60_r1i1p1,miroc-esm_rcp85_r1i1p1,miroc5_rcp26_r1i1p1,miroc5_rcp45_r1i1p1,miroc5_rcp60_r1i1p1,miroc5_rcp85_r1i1p1,mpi-esm-lr_rcp26_r1i1p1,mpi-esm-lr_rcp45_r1i1p1,mpi-esm-lr_rcp85_r1i1p1,mpi-esm-mr_rcp26_r1i1p1,mpi-esm-mr_rcp45_r1i1p1,mpi-esm-mr_rcp85_r1i1p1,mri-cgcm3_rcp26_r1i1p1,mri-cgcm3_rcp45_r1i1p1,mri-cgcm3_rcp85_r1i1p1,noresm1-m_rcp26_r1i1p1,noresm1-m_rcp45_r1i1p1,noresm1-m_rcp60_r1i1p1,noresm1-m_rcp85_r1i1p1
1951-10-01,4000.1798666641985,4018.5690014054026,5046.965039539411,5305.881421659891,3270.264661963068,3248.4892420787864,3122.672372186362,3186.3153763046735,4146.413593220866,4230.395153351339,4174.459663766126,2971.5087119726286,2954.791703518018,3764.3571189527675,2771.672032032262,3976.4958159118232,3799.7887963295134,4899.7766127923405,4811.047623873758,4892.250202905072,4846.926565339247,5175.453850108639,5264.374410710196,4904.451738505291,5206.042737309292,5119.696955702279,5291.223771354638,5376.942310758961,5401.17387632011,5251.4981391131105,5466.928304430345,5492.353323024701,5229.606155913693,5054.819081750757,5165.99715219881,5279.737051199772,5020.362111081091,5086.904070838311,5119.361385193039,5084.81774892902,3680.6366462925926,3757.64034006937,3776.9864399637004,3906.3345146952315,5128.133856790517,5483.4397624531775,5615.010701680752,5418.830339459419,5478.824258967785,4849.677499916731,5182.853627721519,4951.194181989416,5119.994068729651,5102.579732943692,3831.724380029639,4014.291972495209,3899.569684333664,4071.123569229878,5036.403137702187,5020.737675162685,5538.99280532316,5527.322778694967,5694.977578882403,5711.394668725896,4837.431415607411,5090.23723919769,2891.008691495129,2773.193340148292,2876.148719574707,2981.9713142512946,5093.639140266169,5244.630312268133,5508.767166327665,5407.196966084841,5521.5576705611,5541.432007930782,4628.5519563990565,4616.288096318236,4627.778407318661,4806.281388718768,5295.696407878698,5452.243183974299,5334.527633295636,5622.169480193563,3638.258371848268,3482.995038465623,3506.5780663158284,4023.1983798790543,4116.759087669176,4117.830320781031,5232.264558181593,5344.801765699807,5195.94067985057,2959.618953279709,2487.649707234308,2850.688244504874,2986.0613176995657
1952-10-01,2941.229301408265,2859.0780248684496,2425.904278667758,2395.713367007208,4062.854791557468,3388.511555783578,4129.78119999165,3082.9436273357387,5499.835100402888,5419.732302000137,5619.551804707107,5273.382538127274,5305.0923458589,5396.9862092741005,5578.404000863697,5131.683588261078,5121.206443144689,4951.479293222573,5015.8280759970485,4818.83421013077,4796.229549562498,5391.472250208728,5560.304551732899,5313.657814187597,5424.562816711903,5207.881778378903,5257.8322272661735,5431.6516230932175,5349.29216671211,2486.8983943149115,2714.8949762491075,2788.853368790308,5017.133371623537,5075.9865431951785,5056.641536321378,5110.441172827626,3742.6479802124695,3843.9187613569384,3886.5733467034033,3349.4891611236044,5787.9618606491495,5389.140775537684,5430.321567578954,5609.522321289727,5130.035475638868,5088.464231157411,5079.4135465445615,4867.780793248295,4912.189856660401,4738.603903691341,5189.967009416212,5192.582023292995,4999.028479471968,4992.997693807112,5239.384535721434,4999.583361981901,5109.643373764656,5040.627358290433,4687.677786411998,4485.449255142385,5169.26708039358,5469.625472893196,5278.508784881169,5266.451821262817,4914.287372072951,4849.331657702527,5106.8059167199035,5510.373162995007,5306.52629917631,5184.944668943799,4649.481027068061,4758.855740273314,3946.2699187312123,3978.572511302301,4014.7553277449024,3975.3674732354366,4806.0259459434565,4908.778577132266,4880.416966511037,4977.434838393483,3710.6175153924023,4586.483017717259,4057.5737771488903,4859.272677148216,5213.757779600073,5320.060050515924,5234.523078607385,3748.3319416315107,3859.201127890548,3981.6251355555332,4160.009586951441,4064.3223628240103,4141.673351889434,3313.527864512778,3943.5840472270156,3619.896025424613,3671.0524381084297
1953-10-01,5147.619462075423,5305.109355335172,3619.38112010225,3762.6582034236585,5369.653132630408,5029.642386252119,5286.544237124968,5310.814370067706,5667.922205421075,5657.32940239326,5789.5233449610205,3038.6169422666458,2944.6944780194444,3090.3063579460204,3580.7700520508547,5168.146623380708,5342.340594497643,3767.663769315034,3292.5234844754523,3181.248509665139,3290.656172682235,4884.886539665839,4743.93476468906,4208.038920960027,4184.09536850871,4921.700341878937,4701.441359104905,4736.527161949603,4768.835687111676,3138.6328968509456,3148.6495975491844,3171.0741598008017,2564.2713694348195,2636.7483311104625,2890.9969772320464,2588.654461800337,3793.3046970309515,3660.5571779026527,3705.1917295134026,3651.0752886005776,4610.463166571841,4724.9103879752765,4647.182567411283,4666.986708778217,2878.413401108014,2862.749923963669,2945.339573351098,2676.60113810081,3656.7530000986253,5447.1803098110095,3288.1176359281208,3043.9277228259016,3207.296229046886,3010.2081652585325,4887.319328437177,4985.771809677581,4879.371402769649,4927.727680902713,5195.675354086756,5298.027261661051,5572.394523238165,5566.981144971694,5688.965744851248,5629.646246812976,5148.776705646405,5267.654927093953,5551.751147052864,5682.453083654631,5383.743983259338,5445.375415912988,5599.5829932483175,5626.659998982445,4196.108839535018,4371.959246565405,4202.788032680776,4293.406997912785,3054.7541741230643,3852.623116435656,3595.634198955943,3177.835551137919,4633.6618420342875,4419.550129444051,4618.11133012133,4276.958826419332,3597.606762124357,3646.8685483091394,3649.283657694783,2900.807562082113,2888.3145823782525,2942.0058324847178,5277.857433284926,5230.534557931446,5369.596909937551,2698.909752999478,2753.879176738713,2689.5147794093673,2740.7975970661755
1954-10-01,5152.828981495382,5508.906732227446,4060.301954674276,4022.4161166798203,4625.7662494828055,4655.663085501629,4798.7496881125635,4761.892486055014,4009.8170786716037,3925.162886059173,4065.401538365095,3707.965658372491,3634.047087952703,3946.7731366199237,3878.592892104335,3651.285873362185,3704.5775102567804,2494.422370931543,2522.0545629615062,2975.7501917281743,2527.887773589755,5242.934625423595,5230.468441221507,3820.2923859716966,3581.161324471819,2247.775661114516,2618.4788664123753,2825.941042850507,2780.6372669693096,3163.418930546423,3143.7046831086086,2991.234647614898,2936.786633589056,3517.5516534444614,3012.7039229689353,3564.818307504398,3512.499511120799,3501.237106229265,3581.868397163548,3633.8915239870867,2023.751577498354,2385.6661744552503,2563.5746763475518,2439.491879017218,5394.122283576062,5419.818716977433,5587.813239250668,5650.229466156452,3476.1789337803307,4196.149870534527,2484.6987801311207,2587.5389036465604,2521.28968051951,2543.883301353699,4066.6174156762954,4081.02815427549,4112.7804545920635,4055.5776498195582,5594.120411740318,5589.38555496087,5581.810113941442,5695.209887270159,5656.968949543603,5830.6738101301235,1517.393420167326,1387.5374937577305,5431.630025533347,5472.422612462373,5401.536903128432,5524.136798241388,4007.4973752071746,3694.2823090817496,2758.5351198532617,2733.3567634560322,3045.042785436021,2938.1256300253326,3849.3150770853267,3925.112957044077,3850.243226804098,3936.156357470907,3065.628250431492,3151.20412245047,3306.337542288912,3105.96240715517,3641.691435644374,3927.4084574899507,3566.5587440201543,4590.819626498685,4501.982455653746,4652.227830847559,3727.6992559658675,3810.7933166218904,3802.8563671084194,3065.806945609409,2921.6890511012734,2762.3444129416202,2652.855747741316
1955-10-01,5535.3043059528045,5534.200912125951,4910.7972634847665,4967.001420981215,5479.696106041109,5556.426530211289,5401.725258965041,5605.390322107341,5150.380401374367,5104.849525350261,5290.715857653562,3424.13168696163,3809.870029668702,3795.804408955384,3586.80041977613,4046.6205683961175,4009.475542619427,3048.1429647957725,3141.120136987729,3096.481970934724,3136.7633810547795,4928.682439848872,4874.886530378399,2942.4888834954913,3073.4428398471355,3750.5433989581534,3050.4294904416515,3758.8987247097493,3629.392199692168,906.8630307412577,979.3195522797512,858.8758929607027,5142.579688114689,5004.761401585905,5186.0098452504835,5003.841414070113,5084.191223234844,5134.066720947668,5292.045996196608,4986.3805203296615,3762.816552830466,3957.897340717145,3821.4196420697745,4002.076545339824,5335.4246365005565,5651.55554658564,5365.040005321174,5482.897008729513,5670.447648554766,5073.655401693667,1724.6196621512022,1908.4036501467976,1899.4813719963377,1759.7890085494998,5521.897090049179,5640.487221978232,5643.463477583999,5469.8800725259935,4755.752519056827,4676.461245087313,5076.494046052127,4911.28215719437,4950.955552312918,5019.642701884769,5043.768709153473,4910.741630926223,3967.8261005212935,3657.377323696114,3788.1886019240983,3840.070136207465,4638.001449751779,4559.99282143892,3535.6435264797547,3718.513533091783,3790.9895576839126,3838.1744570433943,2620.902830332532,2970.372781814829,2880.2825394773554,2695.8017134164334,3800.9122646271444,3846.850437156258,3963.728554338497,3866.1662169498068,4195.325635702446,4386.019206118659,4355.680481779345,4735.856178479907,4650.986011775041,4912.035184939416,3970.1503223551845,4135.645089513265,4211.178577748736,4179.276654339493,4089.6907677194795,4049.7733791205073,4142.361631390209
1956-10-01,2362.962619732518,2466.545238158662,5074.3305899123425,5036.383955042631,4943.345736326016,4854.937697869405,4886.952648592282,4940.886601953291,4774.562558864862,4724.285494534392,5045.511643737763,4301.3137481205,4316.7666811082745,4268.982847246687,4318.4719117692,2709.4904189793288,2873.6493452284694,4352.524730794574,4292.164320969673,4313.687230058989,4378.780118532731,3456.668760266469,3737.533078342057,4677.190944828875,4614.509317415686,5156.622796455618,5298.430785031529,5236.139954058543,5251.832282298175,876.0525193803751,835.8776081909118,792.0209464164975,2391.6527202269017,2286.8501791722488,2245.098854369771,2588.2921268190994,4683.204437715964,4579.105976959536,4820.3321310622505,4596.584018714408,4528.620395219192,4698.16383459393,4365.661753266255,4437.895698409764,4653.489027499969,4391.591183712721,4607.5056914622255,4581.5969332208115,3942.9956598514636,5742.485010854043,3976.9176844990006,3921.7450757767847,3826.754657360299,3784.1530215351017,3899.804431468476,3496.7868945025302,4147.192742073703,3839.25824979659,3892.9019514203883,3867.7185525942723,5092.067979751606,5452.652839051334,5413.396744133923,5202.234809115964,4975.966195323766,4638.473244685909,2621.8053110492324,2495.9553080399082,2619.7963310737696,2645.187590947894,3756.7904172637336,3847.7643464410235,3741.7927841154024,3256.3164709803395,3101.6464604291823,3242.780905656361,3310.690409310475,3449.180609134203,4266.915478059842,3860.708769024025,2644.067103422921,2650.802872373618,2683.6059873245104,2663.1369236816818,5423.7790849574185,5298.192137364755,5489.257801124109,4559.594872814296,4302.518867452156,5037.907077140979,3801.6348797249084,3792.3912532286636,3733.2661838144295,4133.996970415316,4165.107307368986,4180.869627439288,4217.380340007407
1957-10-01,3817.6363906965225,3897.026599978218,5376.540010655483,5392.3376613878845,1437.2339574311818,1456.385287589526,1270.052211886671,1209.5985068649456,5376.977341181519,5706.642764973605,5458.42067626045,3657.489318847998,3734.0793618409466,3724.9583563090846,3556.722638449264,5360.102048458745,5574.043351528506,5181.1016743132295,5305.089104735114,5300.016773721778,5214.94914814983,3950.120330823258,3937.4133731252323,4102.892649830992,4069.9055712303916,5494.388690876315,5576.648911649531,5486.084996526881,5469.455547678273,4619.307251069754,3840.029531908049,3801.7854327725554,2432.1594168547963,2345.324185372795,2407.836529707299,2462.576642774553,4522.3613668928665,4400.075600283179,4622.436341596898,4549.411269145732,5224.845018628579,5727.3338606283705,5751.087979302952,5379.636479349376,4877.777818944825,3953.490560972281,3862.240592330779,3975.274554923296,2916.454319741024,2718.2200463040185,4199.444522565317,4181.571282932335,4350.603043476967,4276.15149688597,4693.332685082143,4100.625425229908,4297.426061028822,4652.38777236021,4188.829425989109,4083.3511110271747,3761.067816303711,3799.9648762418265,3867.528300726751,3803.1012265180734,3867.116660859826,3952.389677013247,5651.446769828484,5387.079540523385,5486.778708869471,5473.88064167998,5019.083927527645,5081.458900661034,5011.894042421428,5034.148172484338,5063.475038287454,5253.588806772179,4976.627353576239,4381.272042338243,4288.285812272695,4966.766365513422,5218.079420363208,5204.169234416173,5181.320758079131,5226.170751169019,5581.4771801887255,5625.8410686519555,5712.6445149856,5288.405012755771,5291.513655885734,5460.406186622731,3921.0479896050065,4041.528276429379,3603.718576749185,4766.161081563644,4944.80425579342,5010.035174708817,4934.195505685362
1958-10-01,3823.1210351233767,3987.4531724577473,3350.4713801281932,3135.2806061270685,1688.9341617346922,1517.917809266424,1497.322482689885,1531.1139989890112,3378.7132776593658,3552.6841066073384,3508.860892554133,3283.8985146917694,3511.227408176307,3050.730497153243,3136.9155840941526,3928.862184626465,3860.1792777265073,3972.187308974344,3960.63439673817,3802.2759836012324,3845.228533515104,5545.4089511925795,5244.419488328154,3761.9993760000334,3672.5546669015503,3512.41373852766,3688.9081639033957,3594.629251747462,3647.951649775008,4954.650983311014,4990.478247408349,5047.216945763287,5016.441894996266,5137.260211070303,5133.623551305196,5010.32801930035,3936.5652182932245,4080.2830094757373,3737.7497674243605,3211.0468322275137,4224.423239802288,3989.7437124669846,3961.4645359432743,4082.5115826704123,4733.68438767431,4301.85789672799,4320.1940601550305,4570.33404239037,2807.9841696958065,3067.2355148073225,5115.181075519306,5040.070871612512,4965.547022887123,5043.807405651289,5404.7538192421125,5497.283277380755,5663.996222531406,5575.582450697769,5070.856837864889,5284.722063060677,4031.5775625911474,3988.7147697922,4012.6869233391835,4124.238305154838,4384.51857526661,4335.6227000331355,5579.003294430375,5352.834150241117,5507.943162970079,5552.378387204062,2673.6555614841154,2617.0019862082995,5391.1923920051,5419.465655589325,5156.808059277239,5384.422632709866,5394.857292998041,5318.106117327442,5188.765772348515,4959.697367947121,2309.853481579813,2970.356550868714,2608.7479041290267,2715.0884675657185,2696.174279330022,2504.3097835885856,2702.4644989894928,5441.614994087412,5281.872663682052,5321.246169540933,3610.282902690131,3471.9725496628657,3849.664871666598,3737.446006023618,3778.03525598654,3811.8876114015666,3751.321853844858
1959-10-01,5285.978388595531,5402.962210994527,4193.637688587658,4154.075555579295,4202.18326239564,4423.6570100132885,4249.157918436206,4018.069306822588,3892.404863362307,4511.687804111506,4646.092183738379,5241.985472038714,5358.673457975532,5410.987298341025,5410.8664280657595,4039.9517465168583,4906.108304481016,4841.772504613884,4696.087569445786,4945.513407894594,4819.927680238779,3919.184588736427,3919.3247469626303,5249.797835376508,4957.85607122036,5783.456127574615,5714.177682692029,5515.776139091985,5694.736090168122,2184.6878083849024,2217.0443005951074,1942.9794279978776,3007.8698607959277,2862.180470982033,2661.687424684503,3537.7066380368406,5307.40177734358,5524.212909981088,5193.140936461371,5349.936290185344,3074.9216057764443,2923.1207832552946,2969.071916824237,3039.861437299058,5692.811719688892,5659.793833463298,5727.309364956203,5626.773884428951,5387.576093264981,4165.31763407291,1915.6995211423964,2416.810306592043,2098.7834888904817,1986.6135061927723,4898.384106838599,5200.863693862474,5361.812385328931,5249.409507152211,2764.4591240061627,2875.500055718892,4929.063971902483,5091.359840288349,4932.500734526095,4950.659345004227,4020.3660605288833,3997.1506334076544,4919.776085854167,3980.7244235938133,4192.5216762104355,4188.36504486315,2730.256049712769,2492.7692810315025,5419.626992412361,5794.3474111314545,5750.251919519494,5620.610488143311,5344.764631971078,5442.60399033799,5399.299872993475,5444.925252805091,5574.5810435296535,5460.883630941372,5523.704464992155,5497.2786475664525,4322.039811990126,4333.583014411191,3729.070636683484,4653.8973143415315,4399.201941374497,4530.328654505337,3976.156477611882,4043.200837121186,4174.238874300346,5397.271969478452,5498.065816040128,5473.132016446867,5502.41839329683
1960-10-01,5060.210180504078,5395.369071480469,4280.922887440956,4431.50367418825,4985.051780713801,5180.374419958363,5034.944160334549,4898.591345580335,4579.887285730922,4976.427268397657,5043.230663414517,5437.223349754933,5328.724351516203,5444.901543997237,5311.221033244481,4800.805509575141,5042.634506000857,3940.5389111557647,3864.4268281852947,3984.087529050392,3941.5842622907194,2832.4737977619807,2997.757559182165,5178.561112518938,5187.452661182464,5325.589947102668,5327.186759995304,5486.873795916577,5248.439455921074,3484.546830830104,3822.0074779299302,3006.345690661965,4969.420190164977,5075.483817463892,5053.668995469233,4923.4865907510875,4905.364610514561,5004.025345156085,4907.5943081269415,4926.062542395888,4840.547362726618,5036.269893619961,4858.223388853606,4797.075507857662,5749.226297221594,5781.2958333236365,5727.110104528814,5810.104222609965,2509.422039735313,4226.132388651549,3684.4530724347633,3584.812585797852,3470.659191991671,3650.8817985936057,5797.747462376293,5564.105952826405,5844.639115653934,5756.634694568516,5340.264837791026,5444.060673065045,2388.400729236468,2069.50298497528,2185.1721807280933,1944.5798171517706,3753.1210594861323,3452.587004880589,4886.687597122176,4620.899427761624,4891.28781797103,4774.02234109737,3368.4502145970073,3420.4223505033106,2424.9900111861243,2566.0495145684913,2413.538377039468,2686.6006230839757,2715.7940231195093,2942.6424782748873,2568.682983441783,2911.37763879296,6105.211956034952,5788.150454874736,5875.514034204694,5739.387717744952,3454.4707910383713,4053.469353176137,3260.002846688046,4904.579875733014,4988.1376949176165,5160.380154311191,5141.851630098502,5387.780126941699,5532.675768133731,5350.215727645944,5045.741431402619,5222.519102693449,5426.593097263794
