,SWE,FNF,WYC,LP3,RCP
access1-0_rcp45_r1i1p1,14.134057693030869,16.69640733957911,136.76,177.7884828699955,45
access1-0_rcp85_r1i1p1,7.40126443291742,12.192530274403303,130.44,215.17042042957624,85
bcc-csm1-1-m_rcp45_r1i1p1,17.51142018676745,16.11496738787729,146.02,212.78937139536288,45
bcc-csm1-1-m_rcp85_r1i1p1,12.064993555433155,18.224571284562725,141.74,224.30130357686807,85
bcc-csm1-1_rcp26_r1i1p1,16.01257906485733,12.996006487073402,161.68,215.4728852784645,26
bcc-csm1-1_rcp45_r1i1p1,11.222562796182524,13.824374207807356,148.0,183.46803195231664,45
bcc-csm1-1_rcp60_r1i1p1,14.106235523345896,15.573174013285518,144.56,189.53386573910424,60
bcc-csm1-1_rcp85_r1i1p1,7.470317830675054,15.279883192853813,145.56,257.1128746035035,85
canesm2_rcp26_r1i1p1,15.389568339558087,18.35597513166043,143.1,221.43230098612935,26
canesm2_rcp45_r1i1p1,15.763468433365084,22.008040894561592,139.78,318.44637080825004,45
canesm2_rcp85_r1i1p1,9.96497380264161,25.253572351714308,130.98,383.722202877323,85
ccsm4_rcp26_r1i1p1,21.404049887619593,16.691514391891488,145.76,214.2578647244572,26
ccsm4_rcp45_r1i1p1,19.66531496123066,17.612984765506663,139.36,189.80364900511591,45
ccsm4_rcp60_r1i1p1,17.260196468304446,20.35805738785918,137.88,235.64405545502404,60
ccsm4_rcp85_r1i1p1,14.020089826911063,16.362123189061055,140.78,244.33941941422495,85
cesm1-bgc_rcp45_r1i1p1,21.285229164033417,19.723941450593145,147.66,261.3854304075197,45
cesm1-bgc_rcp85_r1i1p1,9.443764000784924,20.170911272121444,140.64,224.80046984782402,85
cesm1-cam5_rcp26_r1i1p1,21.599074758694847,18.007860222388818,149.22,251.21198932412238,26
cesm1-cam5_rcp45_r1i1p1,11.118881580820252,15.817753048880256,143.46,225.43790835193585,45
cesm1-cam5_rcp60_r1i1p1,16.194884462799056,19.483029700519495,142.28,250.21785863275733,60
cesm1-cam5_rcp85_r1i1p1,5.915448608771553,17.135359029167194,140.1,278.98931404998154,85
cmcc-cm_rcp45_r1i1p1,13.04594447875585,15.27608994956101,140.36,196.65137562529677,45
cmcc-cm_rcp85_r1i1p1,12.498570940555444,15.58034692568336,139.64,199.54514404521387,85
cnrm-cm5_rcp45_r1i1p1,16.471279689270677,22.252282018328806,136.72,327.3639328175209,45
cnrm-cm5_rcp85_r1i1p1,6.187351275085827,24.128559830507992,128.74,307.9209064753305,85
csiro-mk3-6-0_rcp26_r1i1p1,16.911699246327696,16.6883322019266,144.8,242.11967734957105,26
csiro-mk3-6-0_rcp45_r1i1p1,10.30610009469386,14.194471829432052,140.64,258.4929959675144,45
csiro-mk3-6-0_rcp60_r1i1p1,15.229336284840192,16.708638726335376,147.26,254.36534833794465,60
csiro-mk3-6-0_rcp85_r1i1p1,8.986419752158021,15.857388923061444,139.78,248.5359890594171,85
fgoals-g2_rcp26_r1i1p1,18.822262661100357,16.949547649466886,149.06,194.53926942279423,26
fgoals-g2_rcp45_r1i1p1,17.67829067162641,17.593889626874365,146.1,167.57344616995698,45
