         7588802 function calls (7357347 primitive calls) in 5.749 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    95244    0.321    0.000    1.774    0.000 base.py:2454(get_value)
        2    0.316    0.158    0.318    0.159 {method 'read' of 'pandas._libs.parsers.TextReader' objects}
    23811    0.304    0.000    1.488    0.000 reservoir.py:74(step)
    95244    0.205    0.000    0.205    0.000 {method 'get_value' of 'pandas._libs.index.IndexEngine' objects}
     1427    0.143    0.000    0.143    0.000 {built-in method marshal.loads}
    23899    0.141    0.000    0.141    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    95247    0.129    0.000    0.529    0.000 datetimelike.py:597(_convert_scalar_indexer)
619816/619687    0.124    0.000    0.176    0.000 {built-in method builtins.isinstance}
    37340    0.121    0.000    0.121    0.000 {built-in method numpy.core.multiarray.interp}
    95244    0.115    0.000    2.128    0.000 series.py:598(__getitem__)
 1669/392    0.115    0.000    0.228    0.001 sre_parse.py:470(_parse)
   133828    0.113    0.000    0.113    0.000 {built-in method numpy.core.multiarray.array}
    95244    0.112    0.000    1.962    0.000 datetimes.py:1358(get_value)
321142/321126    0.110    0.000    0.234    0.000 {built-in method builtins.getattr}
    23811    0.109    0.000    1.134    0.000 reservoir.py:122(find_available_storage)
      331    0.107    0.000    0.107    0.000 {method 'astype' of 'numpy.ndarray' objects}
  140/102    0.100    0.001    0.155    0.002 {built-in method _imp.create_dynamic}
        2    0.100    0.050    0.100    0.050 {pandas._libs.lib.write_csv_rows}
460448/267778    0.094    0.000    0.147    0.000 {built-in method builtins.len}
    95247    0.090    0.000    0.371    0.000 numeric.py:134(_convert_scalar_indexer)
   190502    0.085    0.000    0.286    0.000 {pandas._libs.lib.values_from_object}
        1    0.078    0.078    3.492    3.492 model.py:26(simulate)
   177031    0.075    0.000    0.075    0.000 {built-in method builtins.max}
    95247    0.073    0.000    0.247    0.000 base.py:1303(_convert_scalar_indexer)
    37340    0.073    0.000    0.335    0.000 function_base.py:1934(interp)
    95244    0.070    0.000    0.171    0.000 internals.py:4224(get_values)
     9575    0.067    0.000    0.067    0.000 {built-in method posix.stat}
4378/4303    0.058    0.000    0.286    0.000 {built-in method builtins.__build_class__}
    23811    0.057    0.000    0.206    0.000 fromnumeric.py:2174(amax)
    23811    0.056    0.000    0.056    0.000 reservoir.py:67(current_tocs)
    95272    0.054    0.000    0.086    0.000 internals.py:4221(internal_values)
     7937    0.053    0.000    0.273    0.000 delta.py:93(step)
   191185    0.053    0.000    0.074    0.000 base.py:528(__len__)
    95244    0.050    0.000    0.086    0.000 internals.py:4194(dtype)
   285796    0.045    0.000    0.045    0.000 internals.py:4124(_block)
     7937    0.043    0.000    0.214    0.000 delta.py:48(calc_flow_bounds)
   1868/1    0.042    0.000    5.751    5.751 {built-in method builtins.exec}
    63535    0.041    0.000    0.048    0.000 base.py:1672(__getitem__)
    31779    0.040    0.000    0.040    0.000 datetimes.py:545(<lambda>)
   127108    0.038    0.000    0.038    0.000 sre_parse.py:232(__next)
    95244    0.037    0.000    0.124    0.000 series.py:331(dtype)
    95272    0.035    0.000    0.121    0.000 series.py:384(_values)
    95244    0.033    0.000    0.066    0.000 internals.py:169(to_dense)
    95612    0.033    0.000    0.033    0.000 {method 'view' of 'numpy.ndarray' objects}
    95244    0.032    0.000    0.048    0.000 common.py:158(_maybe_box)
   123401    0.030    0.000    0.067    0.000 sre_parse.py:253(get)
    95244    0.030    0.000    0.201    0.000 series.py:389(get_values)
    96543    0.030    0.000    0.050    0.000 generic.py:7(_check)
     1427    0.029    0.000    0.044    0.000 <frozen importlib._bootstrap_external>:830(get_data)
   254149    0.029    0.000    0.029    0.000 {built-in method pandas._libs.lib.isscalar}
        2    0.028    0.014    0.028    0.014 {pandas._libs.tslib.format_array_from_datetime}
    95317    0.028    0.000    0.038    0.000 common.py:435(_apply_if_callable)
    95269    0.026    0.000    0.034    0.000 base.py:3360(_maybe_cast_indexer)
   285760    0.025    0.000    0.025    0.000 {built-in method pandas._libs.lib.is_float}
    14843    0.025    0.000    0.041    0.000 <frozen importlib._bootstrap_external>:57(_path_join)
     1047    0.024    0.000    0.028    0.000 sre_compile.py:250(_optimize_charset)
    82341    0.022    0.000    0.023    0.000 {built-in method builtins.min}
    95376    0.022    0.000    0.022    0.000 internals.py:303(dtype)
    95244    0.021    0.000    0.021    0.000 {built-in method pandas._libs.tslib.get_value_box}
    37340    0.020    0.000    0.027    0.000 type_check.py:251(iscomplexobj)
     2749    0.019    0.000    0.106    0.000 <frozen importlib._bootstrap_external>:1233(find_spec)
     1061    0.017    0.000    0.018    0.000 {built-in method io.open}
 8948/199    0.017    0.000    0.064    0.000 pyparsing.py:1347(_parseNoCache)
      286    0.017    0.000    0.044    0.000 doccer.py:12(docformat)
    31748    0.017    0.000    0.017    0.000 util.py:6(water_day)
   214489    0.015    0.000    0.015    0.000 {method 'append' of 'list' objects}
      570    0.015    0.000    0.015    0.000 {built-in method posix.listdir}
     1427    0.014    0.000    0.014    0.000 {method 'read' of '_io.FileIO' objects}
    95272    0.014    0.000    0.014    0.000 internals.py:154(internal_values)
     2267    0.013    0.000    0.013    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
   105628    0.012    0.000    0.013    0.000 sre_parse.py:248(match)
 3042/353    0.012    0.000    0.061    0.000 sre_compile.py:64(_compile)
     8831    0.012    0.000    0.012    0.000 {built-in method __new__ of type object at 0x10e3b7d78}
    37848    0.012    0.000    0.101    0.000 numeric.py:463(asarray)
25596/25518    0.011    0.000    0.016    0.000 {built-in method builtins.hasattr}
    95249    0.011    0.000    0.011    0.000 datetimes.py:1654(inferred_type)
     8339    0.011    0.000    0.011    0.000 {method 'splitlines' of 'str' objects}
     1427    0.011    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:430(_validate_bytecode_header)
     1180    0.011    0.000    0.017    0.000 version.py:131(_legacy_cmpkey)
    98543    0.011    0.000    0.011    0.000 {built-in method builtins.callable}
     1804    0.010    0.000    0.133    0.000 <frozen importlib._bootstrap>:870(_find_spec)
    95289    0.010    0.000    0.010    0.000 {built-in method pandas._libs.lib.is_integer}
    23811    0.009    0.000    0.149    0.000 _methods.py:25(_amax)
        2    0.009    0.004    0.009    0.004 {method 'close' of '_io.TextIOWrapper' objects}
     2355    0.009    0.000    0.022    0.000 version.py:198(__init__)
29298/28750    0.009    0.000    0.091    0.000 {method 'join' of 'str' objects}
      360    0.009    0.000    0.009    0.000 {method 'read' of '_io.BufferedReader' objects}
     9145    0.009    0.000    0.023    0.000 enum.py:801(__and__)
        4    0.008    0.002    0.008    0.002 {method 'get_indexer' of 'pandas._libs.index.IndexEngine' objects}
        4    0.008    0.002    0.008    0.002 {built-in method posix.read}
     1427    0.008    0.000    0.255    0.000 <frozen importlib._bootstrap_external>:743(get_code)
   1928/4    0.008    0.000    1.603    0.401 <frozen importlib._bootstrap>:966(_find_and_load)
    19922    0.008    0.000    0.008    0.000 enum.py:515(__new__)
    14843    0.008    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:59(<listcomp>)
43429/43149    0.008    0.000    0.010    0.000 {built-in method builtins.issubclass}
     2854    0.008    0.000    0.033    0.000 <frozen importlib._bootstrap_external>:263(cache_from_source)
      771    0.007    0.000    0.007    0.000 {method 'findall' of '_sre.SRE_Pattern' objects}
5943/5567    0.007    0.000    0.012    0.000 pyparsing.py:349(__init__)
    50690    0.007    0.000    0.007    0.000 {method 'startswith' of 'str' objects}
   102727    0.007    0.000    0.007    0.000 {built-in method builtins.ord}
     3378    0.007    0.000    0.322    0.000 re.py:286(_compile)
    19936    0.007    0.000    0.018    0.000 enum.py:265(__call__)
     1003    0.006    0.000    0.015    0.000 inspect.py:2092(_signature_from_function)
     3002    0.006    0.000    0.011    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      283    0.006    0.000    0.011    0.000 doccer.py:128(indentcount_lines)
     1572    0.006    0.000    0.028    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
        4    0.006    0.002    0.046    0.012 {pandas._libs.lib.map_infer}
    37340    0.006    0.000    0.006    0.000 {method 'item' of 'numpy.ndarray' objects}
   1928/4    0.006    0.000    1.603    0.401 <frozen importlib._bootstrap>:936(_find_and_load_unlocked)
4658/2034    0.006    0.000    0.007    0.000 sre_parse.py:173(getwidth)
   1589/4    0.006    0.000    1.603    0.401 <frozen importlib._bootstrap>:651(_load_unlocked)
     2884    0.005    0.000    0.005    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
     1799    0.005    0.000    0.113    0.000 <frozen importlib._bootstrap_external>:1117(_get_spec)
        3    0.005    0.002    0.062    0.021 reservoir.py:10(__init__)
       73    0.005    0.000    0.005    0.000 {method 'read' of '_io.TextIOWrapper' objects}
     3002    0.005    0.000    0.005    0.000 <frozen importlib._bootstrap>:78(acquire)
     2476    0.005    0.000    0.008    0.000 posixpath.py:73(join)
 2246/188    0.005    0.000    0.060    0.000 pyparsing.py:3356(parseImpl)
    33806    0.005    0.000    0.005    0.000 {method 'rstrip' of 'str' objects}
     3002    0.005    0.000    0.005    0.000 <frozen importlib._bootstrap>:103(release)
      411    0.005    0.000    0.005    0.000 {built-in method posix.getcwd}
        6    0.005    0.001    0.006    0.001 internals.py:4473(_stack_arrays)
     7405    0.004    0.000    0.004    0.000 {method 'expandtabs' of 'str' objects}
    12181    0.004    0.000    0.006    0.000 sre_parse.py:163(__getitem__)
      133    0.004    0.000    0.004    0.000 {built-in method builtins.dir}
    14253    0.004    0.000    0.004    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
7173/3753    0.004    0.000    0.808    0.000 <frozen importlib._bootstrap>:997(_handle_fromlist)
     1366    0.004    0.000    0.006    0.000 inspect.py:2710(__init__)
      129    0.004    0.000    0.004    0.000 {built-in method builtins.compile}
     1829    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:524(spec_from_file_location)
    25412    0.004    0.000    0.004    0.000 {method 'get' of 'dict' objects}
     7689    0.004    0.000    0.057    0.000 <frozen importlib._bootstrap_external>:75(_path_stat)
      633    0.004    0.000    0.015    0.000 inspect.py:1079(getfullargspec)
     4273    0.004    0.000    0.004    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
     1175    0.003    0.000    0.004    0.000 version.py:343(_cmpkey)
1327/1003    0.003    0.000    0.023    0.000 inspect.py:2173(_signature_from_callable)
 1123/355    0.003    0.000    0.229    0.001 sre_parse.py:407(_parse_sub)
    14173    0.003    0.000    0.003    0.000 {method 'rpartition' of 'str' objects}
   1427/4    0.003    0.000    1.603    0.401 <frozen importlib._bootstrap_external>:672(exec_module)
     5234    0.003    0.000    0.005    0.000 version.py:114(_parse_version_parts)
3697/2548    0.003    0.000    0.013    0.000 __init__.py:2340(yield_lines)
     3181    0.003    0.000    0.003    0.000 {method 'format' of 'str' objects}
       26    0.003    0.000    0.013    0.001 __init__.py:937(_rc_params_in_file)
        6    0.003    0.000    0.003    0.000 {built-in method pandas._libs.tslib.array_to_datetime}
      354    0.003    0.000    0.012    0.000 __init__.py:1594(_get)
     7748    0.003    0.000    0.003    0.000 {built-in method builtins.setattr}
     5943    0.003    0.000    0.005    0.000 pyparsing.py:340(__new__)
     1427    0.003    0.000    0.149    0.000 <frozen importlib._bootstrap_external>:485(_compile_bytecode)
     4519    0.003    0.000    0.007    0.000 {built-in method builtins.any}
     1572    0.003    0.000    0.006    0.000 <frozen importlib._bootstrap>:318(__exit__)
     1496    0.003    0.000    0.004    0.000 pyparsing.py:397(__setitem__)
     3513    0.003    0.000    0.030    0.000 <frozen importlib._bootstrap_external>:85(_path_is_mode_type)
     8331    0.003    0.000    0.003    0.000 {method 'split' of 'str' objects}
      768    0.003    0.000    0.022    0.000 textwrap.py:414(dedent)
     2859    0.003    0.000    0.003    0.000 inspect.py:2431(__init__)
     2127    0.002    0.000    0.039    0.000 __init__.py:2683(_get_metadata)
       10    0.002    0.000    0.002    0.000 {pandas._libs.tslib.get_date_field}
      597    0.002    0.000    0.002    0.000 {method 'close' of '_io.BufferedReader' objects}
        4    0.002    0.001    0.002    0.001 {built-in method _posixsubprocess.fork_exec}
        8    0.002    0.000    0.003    0.000 {method 'readlines' of '_io._IOBase' objects}
1572/1439    0.002    0.000    0.185    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
     1254    0.002    0.000    0.004    0.000 posixpath.py:152(dirname)
     1829    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1228(_get_spec)
     1148    0.002    0.000    0.006    0.000 pyparsing.py:640(__iadd__)
     2854    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:63(_path_split)
      804    0.002    0.000    0.074    0.000 __init__.py:2108(distributions_from_metadata)
      988    0.002    0.000    0.002    0.000 _weakrefset.py:36(__init__)
     1567    0.002    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:361(_get_cached)
      288    0.002    0.000    0.012    0.000 abc.py:132(__new__)
      402    0.002    0.000    0.058    0.000 __init__.py:2538(from_location)
       95    0.002    0.000    0.065    0.001 _distn_infrastructure.py:1484(__init__)
    13003    0.002    0.000    0.002    0.000 {method 'group' of '_sre.SRE_Match' objects}
     1914    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:176(cb)
     1262    0.002    0.000    0.002    0.000 {method 'split' of '_sre.SRE_Pattern' objects}
     2083    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:369(__init__)
    10713    0.002    0.000    0.003    0.000 mathtext.py:2764(<genexpr>)
     6051    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:843(__enter__)
     1914    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:58(__init__)
     2676    0.002    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1080(_path_importer_cache)
        2    0.002    0.001    0.002    0.001 parsers.py:3195(<listcomp>)
     2994    0.002    0.000    0.015    0.000 <frozen importlib._bootstrap>:403(cached)
     1047    0.002    0.000    0.031    0.000 sre_compile.py:223(_compile_charset)
      114    0.002    0.000    0.036    0.000 __init__.py:357(namedtuple)
       11    0.002    0.000    0.013    0.001 artist.py:1102(_get_setters_and_targets)
      594    0.002    0.000    0.019    0.000 __init__.py:74(open_resource)
     9910    0.002    0.000    0.002    0.000 {built-in method posix.fspath}
     1427    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:393(_check_name_wrapper)
     1427    0.002    0.000    0.002    0.000 {built-in method _imp._fix_co_filename}
    11171    0.002    0.000    0.002    0.000 {built-in method _imp.release_lock}
    16268    0.002    0.000    0.002    0.000 {method 'lstrip' of 'str' objects}
      216    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1067(_path_hooks)
     6051    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:847(__exit__)
  580/382    0.002    0.000    0.032    0.000 pyparsing.py:3506(parseImpl)
     3039    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:416(parent)
       48    0.002    0.000    0.007    0.000 traitlets.py:224(getmembers)
     1129    0.002    0.000    0.002    0.000 {method 'replace' of 'str' objects}
     3173    0.002    0.000    0.002    0.000 pyparsing.py:1328(preParse)
        6    0.002    0.000    0.003    0.001 internals.py:4530(_merge_blocks)
     3295    0.002    0.000    0.030    0.000 <frozen importlib._bootstrap_external>:94(_path_isfile)
1506/1492    0.002    0.000    0.018    0.000 pyparsing.py:3696(parseImpl)
     6826    0.002    0.000    0.002    0.000 {method 'endswith' of 'str' objects}
     1928    0.002    0.000    0.014    0.000 <frozen importlib._bootstrap>:147(__enter__)
     4373    0.002    0.000    0.002    0.000 {method 'update' of 'dict' objects}
