Timestep       Daily        Weekly       Monthly      Water Year   
DEL_HRO_pump   0.227        0.267        0.326        0.804        
DEL_TRP_pump   0.346        0.407        0.490        0.772        
None           0.437        0.493        0.595        0.858        
SHA_storage    0.808        0.808        0.808        0.736        
SHA_out        0.621        0.701        0.807        0.945        
FOL_storage    0.732        0.733        0.735        0.685        
FOL_out        0.820        0.868        0.913        0.991        
ORO_storage    0.909        0.909        0.911        0.918        
ORO_out        0.641        0.724        0.841        0.977        
DEL_in         0.953        0.963        0.982        0.999        
DEL_out        0.950        0.961        0.983        0.997        
