Timestep       Daily        Weekly       Monthly      Water Year   
DEL_HRO_pump   0.386        0.407        0.433        0.630        
DEL_TRP_pump   0.269        0.296        0.317        0.739        
None           0.418        0.434        0.446        0.715        
SHA_storage    0.831        0.831        0.832        0.873        
SHA_out        0.587        0.678        0.720        0.773        
FOL_storage    0.756        0.756        0.760        0.824        
FOL_out        0.709        0.769        0.824        0.973        
ORO_storage    0.827        0.828        0.829        0.870        
ORO_out        0.331        0.414        0.517        0.891        
DEL_in         0.941        0.948        0.957        0.993        
DEL_out        0.854        0.872        0.891        0.987        
