Timestep       Daily        Weekly       Monthly      Water Year   
DEL_HRO_pump   0.319        0.371        0.454        0.817        
DEL_TRP_pump   0.322        0.377        0.456        0.738        
None           0.480        0.534        0.618        0.847        
SHA_storage    0.846        0.846        0.846        0.795        
SHA_out        0.648        0.744        0.807        0.885        
FOL_storage    0.753        0.753        0.758        0.718        
FOL_out        0.697        0.755        0.815        0.984        
ORO_storage    0.880        0.880        0.881        0.877        
ORO_out        0.574        0.674        0.709        0.959        
DEL_in         0.951        0.961        0.973        0.996        
DEL_out        0.946        0.958        0.973        0.991        
