,FOL_fnf,ORO_fnf,TRR_fnf,ISB_fnf,PNF_fnf,MRC_fnf,MIL_fnf,NML_fnf,TUL_fnf,DPN_fnf,SHA_fnf,YRS_fnf
2039-10-01,8.923071,89.01803,8.041443,13.24034,14.1548195,16.963392,12.903894,15.830194,1.7362311,9.747192,419.05518,21.198608
2039-10-02,9.245121,71.28573,8.033001,13.322136,14.152546,16.982147,12.968546,15.845367,1.7079881,9.7747,209.92476,19.734236
2039-10-03,8.789076,60.07341,8.034807,13.314948,14.159382,16.986814,12.981973,15.848875,1.7079409,9.781968,168.41188,18.080414
2039-10-04,8.62252,54.191673,8.066425,13.304733,14.320169,17.109037,13.095403,15.946308,1.7078313,10.033388,150.68156,17.134941
2039-10-05,15.282024,70.15233,8.163248,13.640225,14.870613,22.590252,16.188969,19.47871,1.8258128,18.358936,152.33038,22.252922
2039-10-06,12.945732,67.315956,9.466821,14.147054,27.988619,20.948292,28.14809,17.806099,2.25982,15.520773,147.68732,21.187622
2039-10-07,16.313156,69.156044,13.166591,15.447347,35.06249,21.031181,27.108763,17.05673,5.67334,15.722706,142.33731,23.477116
2039-10-08,11.017683,59.29622,9.864835,21.812222,25.74907,19.70847,23.259653,16.47093,2.297986,13.124537,134.3635,19.43469
2039-10-09,12.531609,55.04135,12.387837,26.685314,31.617268,19.122135,22.162867,16.954342,4.088674,13.003143,129.18706,18.969316
2039-10-10,22.211205,77.42222,29.397667,52.811382,41.663273,21.651161,23.42904,17.51947,11.35051,16.449211,140.04193,40.13365
2039-10-11,71.73579,88.024536,103.5158,51.830338,113.429054,34.804596,39.46614,23.423042,89.25317,32.960445,192.46405,67.607315
2039-10-12,41.083694,77.23762,38.966034,43.82957,69.20199,27.663763,34.835167,18.950329,30.193241,21.879791,167.09634,47.804554
2039-10-13,24.900457,64.538704,23.07355,37.511086,44.507206,22.875973,27.773375,18.035145,15.358643,17.7691,149.7585,31.908527
2039-10-14,19.578259,58.067863,17.505934,31.047398,35.566463,21.226337,23.819445,17.549791,9.67234,15.698125,139.96204,26.380875
2039-10-15,16.55118,53.93474,14.80482,25.63771,30.455465,20.292816,21.486021,17.234087,7.081835,14.444453,133.33228,23.234825
2039-10-16,14.632082,51.102264,13.293477,24.820362,30.875519,19.655403,19.893915,17.001833,5.6454554,13.579079,128.55855,21.377695
2039-10-17,13.3062725,49.03624,12.819324,23.688309,29.739042,19.232279,18.85877,16.827656,5.0574784,12.9924345,125.16948,20.13908
2039-10-18,12.424278,47.597725,12.127967,22.070469,26.0541,18.923717,18.089062,16.697361,4.5254874,12.569093,128.52866,19.5341
2039-10-19,68.407104,86.07068,11.501307,20.575514,23.832895,22.52957,17.962042,29.402039,4.0676403,30.593994,333.35614,64.38504
2039-10-20,139.11258,188.13031,14.375621,20.667572,28.899038,33.95599,31.36939,25.394547,5.9520054,47.93841,278.49768,206.39792
2039-10-21,59.125458,94.92876,13.391566,19.47697,26.499706,25.158222,27.086702,21.328743,5.6498775,22.917332,191.82538,60.621193
2039-10-22,80.569664,133.67249,12.826995,19.109905,30.216396,23.631159,25.785475,22.427301,4.9763107,24.169819,258.11914,85.79466
2039-10-23,69.92278,115.62574,12.990195,18.820072,33.964622,23.709497,26.55892,21.715841,4.515114,23.613482,223.90222,72.9084
2039-10-24,245.40288,213.41647,12.697913,18.960186,43.31362,35.791534,33.93158,45.289417,4.32771,54.964428,322.10553,208.77731
2039-10-25,111.97285,122.90571,12.348714,18.258762,34.46006,31.089521,35.407715,33.456177,4.391486,43.45927,225.5699,91.13553
2039-10-26,134.50308,120.35803,11.714004,17.818682,30.922388,26.092175,29.02307,28.844725,4.1038013,38.186325,223.68877,129.56851
2039-10-27,121.99991,135.70282,11.182451,17.371666,27.324148,24.544943,25.69085,26.524502,3.7294729,33.21126,225.78839,111.67081
2039-10-28,109.42532,121.79315,12.501083,17.047613,28.263918,26.63212,26.7534,27.830574,3.6775239,37.257397,212.8902,102.803696
2039-10-29,86.137085,105.11209,12.612367,16.787159,27.680647,25.316162,26.686144,25.672434,3.7443438,32.68975,193.09271,79.4621
2039-10-30,59.170563,86.74486,11.808327,16.522259,25.588636,23.75058,24.318176,23.19061,3.578126,27.383316,174.85966,56.81158
2039-10-31,46.19739,76.28296,11.180982,16.251175,23.788279,22.423489,22.348883,21.633963,3.3381453,23.130558,163.56366,46.36114
2039-11-01,38.900406,69.705864,10.705989,15.994828,22.385592,21.479925,20.883368,20.583132,3.1094642,20.475435,154.383,40.61676
2039-11-02,34.09169,65.20375,10.360261,15.76595,21.320993,20.815592,19.790663,19.842533,2.933846,18.717113,148.93643,36.86842
2039-11-03,30.300812,61.665337,10.086339,15.56348,20.459467,20.303766,18.920254,19.266884,2.797714,17.376236,144.0063,33.885887
2039-11-04,27.544386,59.06505,9.857422,15.3856535,19.75748,19.887058,18.229446,18.807156,2.6801043,16.329235,139.84164,31.814316
2039-11-05,26.261602,57.322968,9.686354,15.226877,19.192976,19.577528,17.682055,18.472366,2.5877905,15.567575,137.49237,30.97021
2039-11-06,25.311127,55.991375,9.56228,15.086949,18.746016,19.351171,17.24717,18.228416,2.518214,15.009663,136.1684,30.33397
2039-11-07,120.49987,214.7751,9.454556,14.964664,18.412737,22.205452,17.688158,26.809937,2.4592197,25.377144,449.07727,146.28636
2039-11-08,2297.6836,1576.6449,153.27461,148.7402,545.5488,446.34296,530.0883,620.91583,39.523556,925.7194,1168.1487,1577.101
2039-11-09,650.7526,620.56,145.279,188.32942,290.73718,177.34998,257.22882,212.63908,67.61533,323.606,607.3619,425.4562
2039-11-10,290.62573,286.7859,35.69967,64.05788,85.33468,73.0597,91.71358,84.67974,17.21398,125.79841,389.00018,199.44829
2039-11-11,775.8573,671.3766,27.256702,44.639908,74.50622,56.742393,68.936005,79.05667,11.431883,97.00836,873.8739,735.51117
2039-11-12,1139.3947,1557.1948,23.716217,37.967842,62.67127,87.7403,88.3477,155.78041,9.538902,194.98074,1625.927,1138.4268
2039-11-13,333.3169,396.99127,23.61712,34.57159,59.759144,62.031387,75.18326,78.32064,9.250817,109.33738,496.9065,294.7783
2039-11-14,218.23134,260.28238,20.257484,31.428936,53.973305,46.25346,57.854866,54.39157,7.8626127,74.48387,388.28534,204.85324
2039-11-15,232.26973,254.77681,18.058157,29.986404,44.134388,45.188614,59.58265,51.369713,6.6323004,64.065056,720.0182,214.33118
2039-11-16,329.94717,271.96384,28.689495,40.490337,64.02479,77.09974,69.64458,83.978485,15.011702,121.07459,433.33234,246.02234
2039-11-17,359.33664,301.24646,37.233994,50.40476,76.382675,92.51899,84.844925,83.87625,30.101759,130.01518,433.65186,293.9799
2039-11-18,573.101,428.4274,37.077778,52.427994,75.2714,98.34672,85.95012,107.05811,30.207846,164.16724,461.19537,475.39966
2039-11-19,985.14886,458.01715,51.665424,79.08873,131.16264,290.17557,223.3504,237.07057,44.407074,460.49783,460.86108,588.4965
2039-11-20,635.46515,410.0861,62.881435,121.57158,124.96856,137.08589,166.22025,131.61182,67.49331,232.43307,426.0641,446.0842
2039-11-21,372.9789,274.49472,32.339622,62.799896,66.53489,72.7626,83.86891,70.28316,25.557524,112.02225,354.25623,280.04538
2039-11-22,329.39688,253.7944,28.159904,56.894093,60.727985,64.89017,71.82236,66.43785,24.163063,100.063385,356.98315,250.733
2039-11-23,290.80655,262.5479,26.474028,60.600693,56.76274,67.3637,75.26675,62.32213,19.506575,93.121346,353.42462,221.2204
2039-11-24,251.22214,254.38623,27.978378,59.5278,60.240276,62.58819,75.38771,58.80854,16.348675,94.06801,339.1244,196.34387
2039-11-25,243.66954,249.50586,28.467957,54.448833,65.2967,61.9738,74.5618,61.50801,12.3903055,86.54628,311.42545,188.39328
2039-11-26,261.56815,285.13397,27.559837,48.06845,70.263054,60.797203,76.74832,63.155426,11.941154,91.585106,343.28912,221.98328
2039-11-27,270.1182,278.8491,39.30812,52.798077,80.271904,65.06157,84.41142,59.20926,37.393974,93.1866,335.115,225.1016
2039-11-28,207.19763,217.52345,31.5238,44.397427,61.876583,55.453445,64.73237,51.092133,28.65538,77.84343,293.82034,166.52158
2039-11-29,227.24794,240.64041,25.903978,49.28322,53.831127,56.38057,58.02675,55.586178,22.13156,85.25137,367.41962,178.23901
2039-11-30,260.54245,258.0014,28.168182,51.34719,56.72657,58.92018,61.27884,58.180824,19.803808,84.37465,366.20337,208.72787
2039-12-01,247.50914,226.51355,26.406452,43.687244,53.61198,56.326782,59.41385,57.92003,14.60479,76.73856,401.15607,192.07239
2039-12-02,214.53452,200.48949,24.725708,41.231903,50.56549,56.706764,60.995224,57.359318,13.249029,72.26704,344.75928,162.13336
2039-12-03,197.9782,184.0932,23.39194,42.364216,52.2339,57.469246,64.962944,58.41349,11.798098,73.26294,306.58868,156.62672
2039-12-04,185.4337,164.91599,22.291323,43.04272,57.554306,55.17473,70.382355,55.114227,9.508832,74.80898,279.51498,149.53493
2039-12-05,178.01962,153.20085,20.809553,38.57081,57.22866,55.24534,62.343124,51.61062,8.228838,66.61607,262.7275,137.24355
2039-12-06,163.99004,146.34554,19.525045,34.10664,52.408443,49.178177,55.484665,49.176643,7.390789,61.930702,252.49884,127.455505
2039-12-07,160.67241,141.12297,19.147766,31.304283,53.432953,47.79384,54.38856,50.52244,6.8183565,63.557373,245.9265,124.26697
2039-12-08,165.07715,138.9861,19.725548,30.315933,59.804146,50.159798,62.524323,55.63082,6.3451824,69.75441,242.49068,131.31244
2039-12-09,167.26726,136.08757,20.393448,30.088768,60.822777,50.53441,60.128517,58.2281,5.9468784,69.81966,236.1751,140.56206
2039-12-10,174.95732,141.30048,19.565697,29.16679,54.50401,47.118282,53.818176,53.563114,5.6886454,62.258102,251.37286,150.87543
2039-12-11,148.55104,132.09798,18.934393,27.687016,51.091404,44.936787,48.263924,49.703228,5.5481167,57.401047,232.96698,123.32611
2039-12-12,143.51022,124.9976,18.502518,26.720387,48.346046,45.0773,47.191616,48.932457,5.345991,57.62802,223.03984,115.893616
2039-12-13,147.54292,159.71642,17.177551,25.778355,44.39625,43.150154,43.976852,44.734573,5.1770124,54.1124,297.90057,135.30467
2039-12-14,171.73781,302.75018,16.603338,25.229115,42.036762,42.726486,41.851227,43.97261,5.1947393,53.43604,435.88287,202.86342
2039-12-15,2980.1907,2571.4766,28.9174,26.498722,92.33204,199.79495,149.74072,309.6006,6.6243477,433.14963,1576.9615,2655.808
2039-12-16,664.53937,635.9221,35.81929,28.202484,119.83927,143.34505,174.01479,149.11313,9.0618,248.53311,627.2202,485.83435
2039-12-17,395.22067,399.58298,25.781895,26.866041,73.74083,72.82359,88.45845,78.98659,8.475919,116.19589,455.01508,304.33017
2039-12-18,353.58353,388.26956,21.889263,26.220781,59.09055,61.684532,68.87561,65.17722,7.775029,93.61568,427.2032,287.78564
2039-12-19,869.732,964.6984,19.994514,25.634756,52.265408,74.30333,62.563206,109.36691,7.7584143,139.57205,879.75525,768.043
2039-12-20,391.71976,426.14438,19.285774,25.27629,48.921673,64.26064,60.34991,77.290115,8.617919,107.99153,462.90887,306.61395
2039-12-21,310.98044,335.9926,18.458387,25.27589,45.345535,55.37645,54.41651,62.865097,8.09798,86.20673,405.2265,244.31523
2039-12-22,461.33502,442.91144,17.74244,24.60369,42.71146,58.440292,49.980785,82.468056,7.5742817,107.05259,549.73724,362.6414
2039-12-23,358.8471,361.47385,18.64636,24.182838,43.149868,60.809868,48.76943,79.13821,8.739493,104.969246,438.59912,273.0621
2039-12-24,264.485,282.04977,18.453089,24.026241,42.142803,52.018303,46.441257,61.850506,8.573922,81.63326,368.3296,202.35576
2039-12-25,228.8654,249.7082,17.460373,23.849052,39.904472,48.3917,43.871704,57.748116,7.812319,75.36563,343.55615,174.39195
2039-12-26,215.09131,236.72174,16.7927,24.236324,38.22553,46.583504,42.260815,55.256165,7.167081,71.945206,334.85925,159.99211
2039-12-27,204.67455,222.18253,16.365837,24.357502,37.124115,45.766113,41.630024,54.28482,6.6837606,67.85316,328.71704,153.39323
2039-12-28,188.50522,205.62053,16.01527,23.86726,36.354465,44.426285,40.64027,51.581676,6.2858734,63.639763,312.44562,140.8092
2039-12-29,176.36713,194.50313,15.758659,23.69916,35.675976,43.214363,39.43918,50.155468,6.017394,60.261894,300.49075,133.50217
2039-12-30,166.09138,184.66254,15.490392,23.807878,35.025517,42.21694,38.440216,49.039234,5.7341433,57.532677,290.14697,126.186844
2039-12-31,159.8469,181.37245,15.153655,23.873672,34.84309,42.010273,38.13925,49.065765,5.5012264,56.30364,322.39874,123.54933
2040-01-01,159.58562,176.79593,15.052769,24.055363,35.06802,44.246765,39.73493,52.083813,5.360813,58.191544,311.4224,126.04195
2040-01-02,164.80702,173.24646,15.152904,24.43035,36.18702,47.203354,42.439537,53.144108,5.1831813,61.609104,354.2802,129.05307
2040-01-03,155.59694,168.16928,15.109144,24.616188,36.820942,46.210175,42.928833,50.827835,4.9610214,61.673576,422.4201,120.21086
2040-01-04,145.2662,160.18169,14.795921,23.571173,35.816082,43.66219,40.705997,48.13931,4.7178264,57.514473,341.94897,111.31349
2040-01-05,155.9567,169.6268,16.86387,25.009357,38.533215,45.394196,42.345398,51.32761,5.166696,61.915443,309.70453,123.29933
2040-01-06,213.66304,243.89725,18.625732,26.176483,48.16668,55.435455,50.88732,58.112637,6.317233,79.835205,351.88574,154.40376
2040-01-07,168.91478,237.09651,17.741016,26.19932,43.753178,48.418106,47.279373,52.166073,6.394305,69.25413,363.8443,140.28403
2040-01-08,222.89276,396.72284,17.20681,26.053967,41.733868,48.671722,45.706867,51.704117,6.344514,70.58342,543.01526,277.55215
2040-01-09,1521.2954,987.4277,17.742102,25.645996,48.20277,84.92378,58.988136,161.52344,6.4100323,208.50667,1251.8859,978.7914
2040-01-10,1304.2863,1312.4232,36.332508,30.381401,124.88343,230.29073,174.59624,314.27155,20.745548,485.34283,1265.2385,879.4723
2040-01-11,497.302,526.48175,30.931139,32.01088,85.918816,99.56751,102.2124,119.9811,20.894361,176.56497,583.4559,361.8919
2040-01-12,858.8952,734.88074,35.165565,31.2682,89.40888,105.144455,111.73053,146.12064,21.992699,210.79027,715.94934,536.3517
2040-01-13,410.4606,428.01956,29.266396,32.14096,70.666565,73.253624,84.276245,96.382744,19.513193,132.71877,497.48987,288.8109
2040-01-14,331.62637,351.47812,23.643177,29.681435,56.3705,61.35569,65.06896,80.60417,14.291453,107.97775,431.9754,237.1122
2040-01-15,283.16315,306.22348,21.246319,28.511917,49.964523,56.38365,58.216377,73.478294,12.338761,96.19214,401.63464,207.17038
2040-01-16,252.95105,277.5379,20.395124,27.563763,47.0441,54.398293,52.33754,68.30522,12.423064,89.05009,382.0125,179.6751
2040-01-17,236.05435,259.13126,19.761581,27.624249,46.828568,52.373337,51.4284,67.05985,11.10401,86.63167,369.8977,167.64702
2040-01-18,222.43303,257.4524,19.830906,26.97507,45.612385,51.77636,51.30454,64.88241,10.843951,86.459656,361.536,158.38223
2040-01-19,206.38988,249.79823,20.261967,27.126472,44.02237,51.40058,50.695312,61.534695,9.458954,81.06348,363.2254,147.94058
2040-01-20,195.03279,245.5915,19.603016,26.534344,42.85404,50.77356,47.865635,59.002674,8.553109,78.215904,368.00293,141.47546
2040-01-21,184.5331,241.13902,19.291822,25.76889,42.694725,49.744926,46.093987,57.547134,7.7276907,74.9658,358.36816,135.1601
2040-01-22,178.44196,249.11714,18.6285,25.01374,43.3418,48.963234,46.29344,57.892296,7.1651316,72.449776,365.79236,133.34505
2040-01-23,170.78366,272.6281,17.717487,24.530922,43.902325,47.909233,45.07649,56.597256,6.787464,70.13491,660.2513,133.82265
2040-01-24,361.34808,635.20917,23.90266,26.100697,60.1012,94.75264,66.83946,82.48351,11.136746,129.54619,691.8934,341.26437
2040-01-25,240.0391,313.67535,29.79558,25.176414,63.81945,73.50582,72.03281,69.644066,19.516068,105.201,458.31146,181.2141
2040-01-26,187.04716,263.49002,23.808075,27.03415,51.669422,58.19494,57.726517,58.540146,14.848715,83.54474,404.21606,144.1504
2040-01-27,181.04082,246.21191,24.193659,26.201893,53.11379,59.28119,57.831345,56.754337,16.82923,80.85161,382.80115,140.11961
2040-01-28,163.26208,225.00066,22.639448,25.822216,48.088085,53.735985,53.752228,52.76931,14.633923,74.454926,356.92523,126.93092
2040-01-29,168.49858,216.3283,20.84723,27.03897,44.86758,50.53887,49.969776,51.033455,12.148635,72.3963,348.32562,128.47307
2040-01-30,166.46365,215.25551,21.45933,28.135935,47.532795,52.044,49.66645,53.063755,13.360926,74.60401,351.6239,129.04443
2040-01-31,225.2166,239.21495,23.351068,29.165146,49.95082,62.009933,58.184742,62.24826,16.234411,94.59874,381.77435,158.9092
2040-02-01,183.50119,214.4668,25.488684,31.484367,50.635956,55.63475,55.48535,57.754456,17.861492,87.05357,341.92712,130.74956
