,FOL_fnf,ORO_fnf,TRR_fnf,ISB_fnf,PNF_fnf,MRC_fnf,MIL_fnf,NML_fnf,TUL_fnf,DPN_fnf,SHA_fnf,YRS_fnf,FOL_pr,ORO_pr,SHA_pr,YRS_pr,FOL_tas,ORO_tas,SHA_tas,FOL_swe,ORO_swe,SHA_swe,YRS_swe,MED_swe,SDF_swe,STL_swe,SNM_swe,BKL_swe,HMB_swe,FOR_swe,RTL_swe,GRZ_swe,GOL_swe,CSL_swe,HYS_swe,SCN_swe,RBB_swe,RBP_swe,CAP_swe
2039-10-01,8.923071,89.01803000000001,8.041443,13.24034,14.1548195,16.963392000000002,12.903894000000001,15.830194,1.7362311000000001,9.747192,419.05518,21.198608,0.011315003,0.01713839,1.6437743e-05,0.007718915,288.95493,290.1234,290.49835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-10-02,9.245121000000001,71.28573,8.033000999999999,13.322135999999999,14.152546,16.982147,12.968546,15.845367000000001,1.7079881000000001,9.7747,209.92476000000002,19.734236,1.9217046e-07,0.00574155,0.0,9.619798e-07,294.71393,295.70342999999997,295.1728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-10-03,8.789076,60.073409999999996,8.034807,13.314948000000001,14.159382,16.986814000000003,12.981973,15.848875,1.7079408999999999,9.781967999999999,168.41188,18.080414,0.029341773999999998,0.002628035,0.0,0.0,296.81708,299.09012,298.82034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-10-04,8.62252,54.191673,8.066425,13.304732999999999,14.320169,17.109037,13.095403,15.946307999999998,1.7078313000000003,10.033388,150.68156000000002,17.134941,0.8534792999999999,0.33753690000000003,0.53624916,0.39771694,300.26977999999997,301.80365,300.8919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-10-05,15.282024,70.15233,8.163248,13.640225,14.870613,22.590252,16.188969,19.47871,1.8258128,18.358936,152.33038,22.252922,10.458039,10.515993,4.4769845,10.6049385,298.89612,302.0221,301.7282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-10-06,12.945732000000001,67.315956,9.466821000000001,14.147054,27.988619,20.948292000000002,28.148090000000003,17.806099,2.25982,15.520773000000002,147.68732,21.187622,2.6962838,1.6957991999999997,0.21952665,2.1345077,297.87976000000003,300.79883,301.39867999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-10-07,16.313156,69.156044,13.166591,15.447347,35.062490000000004,21.031181,27.108763,17.056729999999998,5.6733400000000005,15.722706,142.33731,23.477116,2.7988619999999997,2.5119114,0.7088916000000001,2.7537591,293.98852999999997,298.11246,299.4003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-10-08,11.017683,59.29622,9.864835000000001,21.812222,25.74907,19.708470000000002,23.259653,16.47093,2.297986,13.124537,134.3635,19.43469,0.020017682,1.8420972999999998e-05,0.0018420614000000002,0.0,293.17834,296.66357,297.96445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-10-09,12.531609,55.04135,12.387837,26.685314,31.617268,19.122135,22.162867000000002,16.954342,4.088674,13.003143,129.18706,18.969316,2.734823,0.9057488000000001,0.16178910000000002,1.5945337,293.25327000000004,297.1205,298.36847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-10-10,22.211205,77.42222,29.397667,52.811381999999995,41.663273,21.651161,23.42904,17.519470000000002,11.35051,16.449211,140.04193,40.13365,9.644324000000001,11.796068,5.0970135,17.96213,290.82394,294.9595,296.2041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
