,FOL_swe,ORO_swe,SHA_swe,YRS_swe
2089-10-01,0.0,0.0,0.0,0.0
2089-10-02,0.0,0.0,0.0,0.0
2089-10-03,0.0,0.0,0.0,0.0
2089-10-04,0.0,0.0,0.0,0.0
2089-10-05,0.0,0.0,0.0,0.0
2089-10-06,0.0,0.0,0.0,0.0
2089-10-07,0.0,0.0,0.0,0.0
2089-10-08,0.0,0.0,0.0,0.0
2089-10-09,0.0,0.0,0.0,0.0
2089-10-10,0.0,0.0,0.0,0.0
2089-10-11,0.0,0.0,0.0,0.0
2089-10-12,0.0,0.0,0.0,0.0
2089-10-13,0.0,0.0,0.0,0.0
2089-10-14,0.0,0.0,0.0,0.0
2089-10-15,0.0,0.0,0.0,0.0
2089-10-16,0.0,0.0,0.0,0.0
2089-10-17,0.0,0.0,0.0,0.0
2089-10-18,0.0,0.0,0.0,0.0
2089-10-19,0.0,0.0,0.0,0.0
2089-10-20,0.0,0.0,0.0,0.0
2089-10-21,0.0,0.0,0.0,0.0
2089-10-22,0.0,0.0,0.0,0.0
2089-10-23,0.0,0.0,0.0,0.0
2089-10-24,0.0,0.0,0.0,0.0
2089-10-25,0.0,0.0,0.0,0.0
2089-10-26,0.0,0.0,0.0,0.0
2089-10-27,0.0,0.0,0.0,0.0
2089-10-28,0.0,0.0,0.0,0.0
2089-10-29,0.0,0.0,0.0,0.0
2089-10-30,0.0,0.0,0.0,0.0
2089-10-31,0.0,0.0,0.0,0.0
2089-11-01,0.0,0.0,0.0,0.0
2089-11-02,0.0,0.0,0.0,0.0
2089-11-03,0.0,0.0,0.0,0.0
2089-11-04,0.0,0.0,0.0,0.0
2089-11-05,0.0,0.0,8.360023e-06,0.0
2089-11-06,3.03491e-05,0.0,0.0,0.0
2089-11-07,0.0,0.0,1.6475144e-05,0.0
2089-11-08,0.0,0.0,0.0,0.0
2089-11-09,0.0,0.0,0.0,0.0
2089-11-10,0.0,0.0,0.0,0.0
2089-11-11,0.0,0.0,1.0238516e-05,0.0
2089-11-12,0.05657841,0.0,0.11347815,0.0
2089-11-13,3.8804812,0.0,0.11109381,0.24354662
2089-11-14,4.873965,0.00556629,0.121328905,0.6844422
2089-11-15,7.4583807,1.1746081,0.12146867,4.039807
2089-11-16,8.035355,0.943726,0.12155652,3.5600781
2089-11-17,8.196383,0.63502645,0.12163878,3.0278175
2089-11-18,7.7544513,0.24476081,0.12066947,2.03438
2089-11-19,6.8399816,0.05719589,0.09435533,1.1939322
2089-11-20,5.4209924,0.0,0.06266644,0.48382294
2089-11-21,4.3306265,0.0,0.033261128,0.17185256
2089-11-22,3.7967067,0.0,0.0,0.0
2089-11-23,3.1637328,0.0,0.0,0.0
2089-11-24,2.5642056,0.0,1.05617155e-05,0.0
2089-11-25,1.5958538,0.0,0.0,0.0
2089-11-26,1.0774941,0.0,0.0,0.0
2089-11-27,0.48605245,0.0,0.054788504,0.0
2089-11-28,1.5869018,0.3262804,0.90096986,0.15360935
2089-11-29,3.960763,2.0012133,1.3415716,1.9336766
2089-11-30,4.402139,3.0292633,1.79478,3.490235
2089-12-01,4.42942,3.2655747,1.8621753,3.9127166
2089-12-02,4.3540864,3.3095663,1.8255192,3.9933486
2089-12-03,4.674505,3.4922245,3.1874573,4.603734
2089-12-04,4.868136,5.561047,8.874267,4.9718766
2089-12-05,5.236928,6.6623745,9.410508,5.236614
2089-12-06,5.213278,6.6663194,9.364633,5.1828823
2089-12-07,5.091839,6.4784575,9.115477,5.0395913
2089-12-08,4.9313293,6.3013573,8.842231,4.82647
2089-12-09,4.678878,5.806335,8.078154,4.5701885
2089-12-10,4.2914877,5.3207674,7.1453304,4.250645
2089-12-11,3.8869152,4.54522,5.7438893,3.707142
2089-12-12,3.563094,3.764744,4.777917,3.068043
2089-12-13,3.1756506,3.0337114,4.1755176,2.5174832
2089-12-14,2.5541728,2.3203847,3.6180775,2.1071167
2089-12-15,1.9473133,1.5512109,3.0900817,1.4717853
2089-12-16,2.1664262,1.2201601,2.4853525,1.0671009
2089-12-17,2.131618,0.9110829,2.1660573,0.6816361
2089-12-18,1.9605016,0.6802429,1.7801895,0.3169905
2089-12-19,1.8043644,0.47956577,1.2746087,0.09805181
2089-12-20,1.6032579,0.35629,0.86385494,0.0
2089-12-21,1.2142577,0.16709319,0.54949796,0.0
2089-12-22,0.8536284,0.09234131,0.31217244,0.0
2089-12-23,0.67447144,0.058095593,0.13902509,0.0
2089-12-24,1.1976169,0.0033333392,0.07792577,0.00018587009
2089-12-25,1.4081445,2.0689053e-05,0.07663916,0.0
2089-12-26,1.5575165,0.20638731,0.23687376,0.0
2089-12-27,1.6029437,0.5871129,0.25301936,0.02557568
2089-12-28,1.6083795,0.522439,0.24451134,0.0
2089-12-29,1.5415951,0.53614277,0.2232115,0.0
2089-12-30,1.4958286,0.53362155,0.22027878,0.0
2089-12-31,1.5385225,0.66994035,0.2397711,0.47407728
