,FOL_pr,ORO_pr,SHA_pr,YRS_pr
1994-10-01,0.0,0.0,0.0,0.0
1994-10-02,0.0,0.0,0.0088069085,0.0
1994-10-03,0.07056415,0.0344471,0.46529981,0.13753219
1994-10-04,0.0,0.0019851509,0.56575125,0.0
1994-10-05,0.7244071,1.1098286,6.7250857,1.4715558
1994-10-06,2.4201512,1.5050942,3.9370024,2.5579998
1994-10-07,1.2669286,1.6451088,0.86911696,0.768789
1994-10-08,2.4061003,0.40336692,0.3270266,0.5416308
1994-10-09,0.021083286,0.018284224,0.19850399,0.006374844
1994-10-10,0.24646878,0.5929491,0.49159658,0.28312707
1994-10-11,0.033662423,0.02340668,0.056123838,0.0025788292
1994-10-12,0.005734656,0.20861916,0.66087574,0.029357074
1994-10-13,0.016353954,0.00978545,0.07244196,0.0019263049
1994-10-14,0.00047936963,0.0009144466,0.0064171143,0.0
1994-10-15,0.5274652,2.672805,0.52376366,0.8418323
1994-10-16,0.0016219616,0.46550465,0.06540582,0.23037682
1994-10-17,0.0008009236,0.092543416,0.49502048,0.0048119356
1994-10-18,0.0006236391,0.018675778,0.17035753,0.0021888157
1994-10-19,0.0,0.0,2.8521037e-05,0.0
1994-10-20,0.0,3.8259906e-05,0.0016237815,0.0
1994-10-21,0.0,0.010128677,0.012726235,0.0010685803
1994-10-22,0.008029601,0.0014120435,0.0010930848,0.0005867364
1994-10-23,0.0048938203,0.9535696,5.9626117,0.016466325
1994-10-24,0.0060581523,0.22025746,0.18384868,0.17195575
1994-10-25,0.00094937114,0.2642566,5.7446227,0.08853669
1994-10-26,1.9959087,7.5123806,4.542925,9.058464
1994-10-27,1.6711475,6.612914,15.387602,4.6526647
1994-10-28,47.318497,42.59563,19.460758,59.20379
1994-10-29,0.00039742634,0.039809555,0.017163113,0.006617937
1994-10-30,0.0,3.051758e-05,0.00025149557,0.0
1994-10-31,0.21915041,1.356492,0.9836761,0.74329334
1994-11-01,14.961508,19.708225,23.045042,33.011246
1994-11-02,13.65993,6.3174586,1.9408681,7.280029
1994-11-03,32.294136,15.008611,11.999299,21.066586
1994-11-04,45.351902,29.130407,13.797069,34.766056
1994-11-05,8.728945,3.748248,3.9669743,4.409082
1994-11-06,6.230418,19.383081,24.077433,17.645002
1994-11-07,27.882828,78.96426,44.60057,105.431854
1994-11-08,3.1101904,7.553852,27.251303,8.482801
1994-11-09,0.721723,12.615124,23.526146,5.806
1994-11-10,25.90047,19.563892,16.339415,28.955227
1994-11-11,20.487103,16.026241,4.914709,23.281582
1994-11-12,13.593463,6.464006,0.18464142,12.458372
1994-11-13,2.682453,2.4282343,1.9522564,4.615751
1994-11-14,22.177643,8.675468,10.079028,15.519801
1994-11-15,12.239223,4.430724,5.1148996,12.132002
1994-11-16,25.339075,21.740252,10.226723,23.3553
1994-11-17,9.232862,6.4440627,4.7007113,10.711442
1994-11-18,17.94705,29.705585,23.458773,38.714222
1994-11-19,5.490838,4.056211,1.5310439,6.781791
1994-11-20,0.118717104,0.08883306,0.14178807,0.061051667
1994-11-21,0.0013505889,0.011694255,0.38187495,0.0071611246
1994-11-22,1.3009727,0.6908608,4.0749874,0.52856046
1994-11-23,12.4666395,3.7663558,1.955533,7.181379
1994-11-24,26.791073,13.460282,6.0818424,21.977516
1994-11-25,103.9864,38.10094,12.863309,67.39177
1994-11-26,10.955704,12.322497,23.85829,14.423862
1994-11-27,10.206369,14.839445,22.002514,16.837254
1994-11-28,35.170364,22.571472,16.533104,34.161068
1994-11-29,48.58598,26.651169,14.734819,42.94833
1994-11-30,5.272423,0.99843204,0.8278145,2.2723625
