,FOL_swe,ORO_swe,SHA_swe,YRS_swe
2039-10-01,1.2692818e-09,1.952308e-08,1.7445762e-10,9.939027e-09
2039-10-02,0.0,0.0,0.0,0.0
2039-10-03,0.0,0.0,0.0,0.0
2039-10-04,0.0,0.0,0.0,0.0
2039-10-05,0.0,0.0,0.0,0.0
2039-10-06,0.0,0.0,0.0,0.0
2039-10-07,0.0,0.0,0.0,0.0
2039-10-08,0.0,0.0,7.536207e-06,0.0
2039-10-09,0.0,0.0,0.0,0.0
2039-10-10,0.0,0.0,0.0,0.0
2039-10-11,0.0,0.0,0.0,0.0
2039-10-12,0.0,0.0,0.0,0.0
2039-10-13,0.0,0.0,0.0,0.0
2039-10-14,0.0,0.0,0.0,0.0
2039-10-15,0.0,0.0,0.0,0.0
2039-10-16,0.0,0.0,0.0,0.0
2039-10-17,0.0,0.0,0.0,0.0
2039-10-18,0.0,0.0,0.0,0.0
2039-10-19,0.0,0.0,0.0,0.0
2039-10-20,0.0,0.0,0.00017163143,0.0
2039-10-21,0.0,0.0,0.0,0.0
2039-10-22,0.0,0.0,0.0,0.0
2039-10-23,0.17558715,0.0,0.0,0.0
2039-10-24,0.08679659,0.0,0.0,0.0
2039-10-25,0.082462855,0.0,0.0,0.0
2039-10-26,0.0,0.0,0.0,0.0
2039-10-27,0.0,0.0,0.0,0.0
2039-10-28,0.0,0.0,0.0,0.0
2039-10-29,0.0,0.0,0.0,0.0
2039-10-30,0.0,0.0,0.0,0.0
2039-10-31,0.0,0.0,4.432613e-05,0.0
2039-11-01,0.0,0.0,0.0,0.0
2039-11-02,0.0,0.0,0.0,0.0
2039-11-03,0.0,0.0,0.0,0.0
2039-11-04,0.0,0.0,0.0,0.0
2039-11-05,0.0,0.0,0.0,0.0
2039-11-06,0.0,0.0,0.0,0.0
2039-11-07,0.0,0.0,0.0,0.0
2039-11-08,0.0,0.0,0.0,0.0
2039-11-09,0.0,0.0,0.0,0.0
2039-11-10,0.0,0.0,0.0,0.0
2039-11-11,0.0,0.0,0.0,0.0
2039-11-12,0.0,6.9578906e-05,3.652018e-05,0.0
2039-11-13,0.6471693,0.00027522023,0.07675872,0.00069691107
2039-11-14,0.80571514,0.03287258,0.116740644,0.0
2039-11-15,0.1780199,0.0,0.065103404,0.0
2039-11-16,0.0,0.0,0.039276086,0.0
2039-11-17,0.0,0.0,0.031545036,0.0
2039-11-18,0.0,0.0,0.019647496,0.0
2039-11-19,0.0,0.0,0.0,0.0
2039-11-20,0.0,0.0,0.0,0.0
2039-11-21,0.0,0.0,0.0,0.0
2039-11-22,0.0,0.0,0.0,0.0
2039-11-23,0.0,0.0,0.0,0.0
2039-11-24,0.0,0.0,0.0,0.0
2039-11-25,0.0,0.0,0.008771819,0.0
2039-11-26,0.0,0.0,0.02489844,0.0
2039-11-27,0.0,0.0,0.1044923,0.0
2039-11-28,0.0,0.0,0.035467338,0.0
2039-11-29,0.0,0.0,0.04630635,0.0
2039-11-30,0.0,0.0,0.050800625,0.0
2039-12-01,0.0,0.0,0.021512616,0.0
2039-12-02,0.0,0.0,0.0,0.0
2039-12-03,0.0,0.0,0.0,0.0
2039-12-04,0.0,0.0,0.0,0.0
2039-12-05,0.4026019,0.0,0.12875168,0.003273605
2039-12-06,0.24747509,0.0,0.45226887,0.0
2039-12-07,0.22861941,0.0,0.4548326,0.0
2039-12-08,0.22708686,0.0,0.6167329,0.025967296
2039-12-09,0.21626157,0.0,0.6883342,0.0
2039-12-10,2.2483492,0.29649273,1.1089884,0.86313254
2039-12-11,1.9174691,0.41099444,1.0998261,0.882777
2039-12-12,1.5697072,0.33456773,1.061047,0.67456424
2039-12-13,1.2670922,0.2803717,1.0599486,0.5181029
2039-12-14,0.78201574,0.2632278,1.8360333,0.19840759
2039-12-15,0.4998294,0.22371142,2.9170668,0.043880302
2039-12-16,1.7504319,5.318218,8.036038,7.020196
2039-12-17,0.9118641,6.3270507,19.959639,4.376635
2039-12-18,8.845124,13.302238,29.591839,12.122889
2039-12-19,11.189904,17.362276,34.938396,14.7503605
2039-12-20,10.826546,17.038345,35.02192,14.577407
2039-12-21,10.275529,17.030218,34.82335,14.508122
2039-12-22,8.730392,15.702364,33.28714,13.408299
2039-12-23,7.2210164,13.653114,32.956467,10.8023205
2039-12-24,7.195152,13.084735,32.83976,10.451429
2039-12-25,7.703932,13.234135,33.850327,10.769788
2039-12-26,7.809522,13.166532,33.921482,10.829194
2039-12-27,7.6658707,13.079266,33.798317,10.697467
2039-12-28,7.8387103,13.547575,36.86576,10.880741
2039-12-29,7.6951404,14.05142,35.895058,11.31614
2039-12-30,13.211155,14.650952,31.400183,17.088892
2039-12-31,11.01916,11.877817,27.776487,12.804713
2040-01-01,8.564139,9.399411,24.99758,9.334866
2040-01-02,4.5043125,6.4506087,20.598366,4.5764647
2040-01-03,3.1198075,5.0376635,16.831375,2.5410466
2040-01-04,3.4821713,5.198942,16.619745,2.8580475
2040-01-05,3.001536,4.7314053,15.236574,2.5788383
2040-01-06,2.3623343,4.0733767,13.554993,1.6654956
2040-01-07,2.046506,3.556606,11.818134,1.328632
2040-01-08,1.8291408,3.1344264,10.173478,1.0293207
2040-01-09,1.4539695,2.6931994,8.85175,0.68300396
2040-01-10,1.2497715,2.4372861,8.544037,0.4151749
2040-01-11,1.1465806,2.3061202,8.290493,0.18572557
2040-01-12,1.0459772,2.0465665,7.811534,0.0
2040-01-13,0.9328308,1.6802125,6.629464,0.0
2040-01-14,0.7764757,3.2358057,8.479206,0.0
2040-01-15,1.108336,2.872388,8.045572,0.0039336355
2040-01-16,3.9519303,4.64237,9.84766,1.5109799
2040-01-17,7.0891833,5.3047767,15.138493,2.7338753
2040-01-18,7.1646037,5.254616,16.06969,2.751583
2040-01-19,7.620275,5.2323456,16.176174,2.828733
2040-01-20,14.766682,9.893831,19.059093,5.546638
2040-01-21,15.846099,10.652624,19.30546,6.258662
2040-01-22,15.666248,10.639736,19.515223,6.0973606
2040-01-23,18.823414,11.009168,19.683107,8.544869
2040-01-24,26.68903,9.539258,20.633608,11.765018
2040-01-25,33.564106,15.960552,21.581831,19.311428
2040-01-26,37.91387,19.818724,23.700245,22.204327
2040-01-27,44.37791,23.51854,24.546288,28.688482
2040-01-28,49.79293,28.397606,26.852129,35.456482
2040-01-29,63.534824,32.19621,27.838541,44.96831
2040-01-30,60.374542,27.407984,26.106178,40.59458
2040-01-31,52.963104,20.862701,22.021437,32.36179
2040-02-01,47.90536,17.94834,21.22237,27.811174
2040-02-02,41.11725,14.453498,17.761309,20.940685
2040-02-03,42.072124,13.414662,16.316824,18.89546
2040-02-04,35.495533,13.215496,16.616709,14.963391
2040-02-05,43.91732,20.266409,19.074406,25.517118
2040-02-06,44.50846,21.311115,19.19467,26.143179
2040-02-07,43.052357,19.705774,19.258944,22.350359
2040-02-08,39.895473,16.234562,17.541199,17.824926
2040-02-09,40.50034,14.099478,16.423115,14.929177
2040-02-10,50.18875,15.324365,17.82147,16.539093
2040-02-11,51.421303,15.8256035,18.382565,17.191364
2040-02-12,57.092876,22.08064,24.402699,24.125408
2040-02-13,72.3368,27.185745,29.160465,30.548233
2040-02-14,87.49491,33.12435,31.452135,44.26474
2040-02-15,102.12341,34.94288,32.294987,56.751568
2040-02-16,106.10903,35.28724,32.71177,59.779034
2040-02-17,111.34572,38.292065,32.30191,62.846863
2040-02-18,109.9501,42.17831,33.582462,66.15904
2040-02-19,107.10286,40.942997,33.311886,63.320328
2040-02-20,106.174736,39.28608,32.30877,62.084984
2040-02-21,104.21819,38.331608,32.565384,60.952454
2040-02-22,102.24058,36.803436,31.870605,59.100914
2040-02-23,99.6151,34.87367,30.769749,56.43429
2040-02-24,98.000916,33.432007,29.64047,55.44203
2040-02-25,97.28121,32.60595,29.39507,54.412582
2040-02-26,93.3404,30.308039,28.363281,50.02624
2040-02-27,96.536736,31.143785,29.421148,51.19449
2040-02-28,96.534515,31.203382,29.636648,51.29039
2040-03-01,95.84554,30.636484,29.29879,50.450195
2040-03-02,95.305756,30.98961,29.797,50.178192
2040-03-03,97.976074,31.931463,35.237137,52.15684
2040-03-04,98.467255,32.001915,36.076748,52.225895
2040-03-05,98.15576,31.667364,35.1514,51.991867
2040-03-06,97.2567,31.180105,33.22435,51.458073
2040-03-07,96.57507,30.8427,31.61331,50.843597
2040-03-08,95.78494,30.422186,30.466455,50.02944
2040-03-09,94.872025,29.98645,29.58559,49.1451
2040-03-10,93.291595,29.295551,28.79053,47.761253
2040-03-11,91.38675,28.621353,27.999878,46.254204
2040-03-12,89.34439,27.822546,27.198341,44.484016
2040-03-13,86.66845,26.906818,26.28691,42.402695
2040-03-14,83.4105,25.9307,25.46191,40.133247
2040-03-15,80.14466,25.017622,24.75343,37.90793
2040-03-16,77.239746,24.153404,23.916391,35.785374
2040-03-17,73.6705,23.236715,22.984207,33.503117
2040-03-18,70.63833,22.50922,22.309587,31.807533
2040-03-19,67.96415,21.933367,21.8311,30.33929
2040-03-20,76.90162,23.42173,22.673359,35.945736
2040-03-21,77.32694,23.435898,22.613853,35.67363
2040-03-22,74.62439,22.869778,22.1118,34.138145
2040-03-23,72.45709,22.813574,22.108622,32.941902
2040-03-24,70.05044,22.256392,21.799587,31.606436
2040-03-25,67.77258,21.741821,21.338089,30.765398
2040-03-26,65.16305,21.125902,20.772812,29.625292
2040-03-27,62.74892,20.693552,20.477144,28.54256
2040-03-28,60.376987,19.942211,19.906336,27.450962
2040-03-29,57.483665,19.33338,19.41125,26.18814
2040-03-30,62.037537,20.561823,21.026009,29.550419
2040-03-31,62.59827,20.548016,21.019918,29.458384
2040-04-01,61.66766,20.139956,20.374878,28.357481
2040-04-02,60.198044,19.585634,19.663149,27.411697
2040-04-03,61.367737,19.76725,19.68248,27.510443
2040-04-04,72.5177,28.122677,22.359894,40.739697
2040-04-05,79.98051,28.668695,23.290247,46.17349
2040-04-06,81.85125,29.674837,22.929062,48.82161
2040-04-07,78.54906,26.488773,21.615488,44.963062
2040-04-08,74.45803,23.944899,20.805054,40.281055
2040-04-09,69.86427,21.666395,20.126308,35.400085
2040-04-10,65.07867,19.940937,19.28925,31.046906
2040-04-11,61.454685,18.638199,18.381832,28.396576
2040-04-12,58.89533,17.783983,17.74468,27.135427
2040-04-13,56.293945,16.994728,17.256737,25.803562
2040-04-14,53.205833,16.045374,16.604311,24.234241
2040-04-15,49.745937,15.029742,15.900787,22.583668
2040-04-16,46.76267,14.149997,15.303391,21.093266
2040-04-17,46.82287,13.554511,14.891626,21.561779
2040-04-18,53.54734,15.142616,15.543025,26.259476
2040-04-19,57.8714,16.060633,15.844495,28.565907
2040-04-20,55.239502,14.72467,15.227606,26.019928
2040-04-21,51.89984,13.72856,14.934182,23.477287
2040-04-22,49.478497,13.303004,14.751567,22.152735
2040-04-23,48.591747,12.969041,14.576755,21.655163
2040-04-24,48.09013,12.6663265,14.394754,21.111858
2040-04-25,48.839172,12.637703,15.408091,21.028595
2040-04-26,48.372604,12.181317,15.336802,20.465925
2040-04-27,47.13431,11.59783,14.745602,19.542894
2040-04-28,45.469967,10.917392,14.131464,18.55073
2040-04-29,43.79848,10.386487,13.772249,17.798336
2040-04-30,42.836983,10.001883,13.510456,17.285595
2040-05-01,40.764217,9.193271,12.996632,16.15586
2040-05-02,37.881237,7.8918233,12.115299,14.356782
2040-05-03,34.28663,6.313157,11.094725,12.002986
2040-05-04,30.987299,5.1756053,10.331351,9.761737
2040-05-05,28.519648,4.4746404,9.868586,7.608429
2040-05-06,25.84648,3.597976,9.361707,6.25137
2040-05-07,24.474354,3.2467046,9.149146,5.66316
2040-05-08,22.886835,2.7688644,8.841888,4.98584
2040-05-09,21.052984,2.209411,8.505109,4.2772846
2040-05-10,19.37991,1.7691456,8.2472,3.7618606
2040-05-11,17.646383,1.1934941,7.933425,3.1355622
2040-05-12,16.387346,0.7087,7.6293077,2.3657267
2040-05-13,15.3056555,0.42129588,7.39024,1.3621942
2040-05-14,14.169267,0.2163609,7.2067637,0.18528374
2040-05-15,12.841982,0.0,6.9965844,0.0
2040-05-16,11.3097515,0.0,6.7574315,0.0
2040-05-17,10.08188,0.0,6.5050116,0.0
2040-05-18,8.888432,0.0,6.2691975,0.0
2040-05-19,7.9014106,0.0,6.107229,0.0
2040-05-20,7.2851667,0.0,5.976987,0.0
2040-05-21,6.5821943,0.0,5.8130765,0.0
2040-05-22,5.807932,0.0,5.5905385,0.0
2040-05-23,5.005939,0.0,5.378909,0.0
2040-05-24,4.1755357,0.0,5.1543226,0.0
2040-05-25,3.3686059,0.0,4.9021235,0.0
2040-05-26,2.3665798,0.0,4.6596785,0.0
2040-05-27,1.2994205,0.0,4.432837,0.0
2040-05-28,0.73042476,0.0,4.205631,0.0
2040-05-29,0.2138403,0.0,3.9602437,0.0
2040-05-30,0.0,0.0,3.6892576,0.0
2040-05-31,0.0,0.0,3.4198554,0.0
2040-06-01,0.0,0.0,3.2840638,0.0
2040-06-02,0.0,0.0,3.1715505,0.0
2040-06-03,0.0,0.0,3.0257874,0.0
2040-06-04,0.0,0.0,2.8544214,0.0
