,FOL_fnf,ORO_fnf,TRR_fnf,ISB_fnf,PNF_fnf,MRC_fnf,MIL_fnf,NML_fnf,TUL_fnf,DPN_fnf,SHA_fnf,YRS_fnf
2089-10-01,13.734266,50.61679,4.57306,6.145925,9.459968,12.527155,9.582168,14.011124,0.9394174,8.678738,130.34482,21.318874
2089-10-02,14.021074,51.14118,4.5813103,6.17316,9.50713,12.557065,9.683123,14.059156,0.9409561,8.760359,130.26942,21.592249
2089-10-03,179.03886,161.71143,4.5864825,6.171315,9.588625,13.045222,10.148712,17.180271,0.9414862,10.317637,169.03326,223.38324
2089-10-04,863.3654,1044.4034,12.083165,13.069928,27.46206,29.89184,29.440311,74.79313,5.6333437,75.68826,544.4345,1064.8772
2089-10-05,297.11398,297.1226,6.4519105,6.8471484,25.768587,60.017593,56.323925,89.61477,1.3197272,141.45975,223.02759,211.44347
2089-10-06,105.33859,148.50945,6.056545,6.8011513,20.42707,26.543552,30.442904,35.40906,1.3000591,45.45043,175.80582,90.35181
2089-10-07,66.70623,109.86116,5.6851807,6.712718,16.77161,20.4429,22.358315,26.053038,1.2573493,28.965324,157.93588,61.814438
2089-10-08,50.00941,92.47971,5.4361978,6.628954,14.831746,17.96961,18.666042,22.292618,1.2095487,22.508606,149.88402,49.70746
2089-10-09,41.165627,85.04764,5.265026,6.5598984,13.640161,16.604622,16.510475,20.19412,1.1689689,19.004429,146.09218,44.58075
2089-10-10,38.00489,86.17765,5.144755,6.504734,12.849064,15.863785,15.118054,19.158905,1.1370639,17.5841,142.9694,45.493385
2089-10-11,42.474815,81.76644,11.000401,15.325616,34.803364,27.948318,30.367683,43.082077,3.3107762,58.12905,143.82706,45.292397
2089-10-12,53.444763,78.37627,9.721957,8.474485,37.995075,32.78227,40.26766,43.7917,1.7814192,67.72596,200.04803,48.617226
2089-10-13,40.111637,75.86784,7.586665,8.23406,26.001324,22.90593,28.883858,29.073868,1.676107,36.15724,179.77478,42.240585
2089-10-14,34.211803,72.29495,6.7526255,7.8344812,20.774437,19.72512,22.990904,24.037113,1.5644455,26.90715,160.36343,38.572746
2089-10-15,29.878874,67.75325,6.281301,7.5385313,18.075666,18.046854,19.861677,21.51383,1.4758474,22.34311,149.28061,35.174576
2089-10-16,25.860744,63.88481,5.936231,7.3152604,16.302315,16.932354,17.796314,19.816921,1.3937157,19.328007,142.63528,32.063965
2089-10-17,23.103247,61.0173,5.6754036,7.1364613,15.0094595,16.092787,16.274014,18.630493,1.3188682,17.169247,138.41281,30.16007
2089-10-18,21.383207,59.02264,5.4833193,6.994158,14.069987,15.482347,15.160509,17.798721,1.2591405,15.650015,135.64502,29.03449
2089-10-19,20.039997,57.453865,5.3433776,6.883193,13.386334,15.024944,14.3359,17.181025,1.2138412,14.530392,133.52785,28.126104
2089-10-20,19.025091,56.19419,5.2387533,6.794724,12.874132,14.67951,13.709201,16.707706,1.1784284,13.691938,131.91885,27.43389
