,FOL_fnf,ORO_fnf,TRR_fnf,ISB_fnf,PNF_fnf,MRC_fnf,MIL_fnf,NML_fnf,TUL_fnf,DPN_fnf,SHA_fnf,YRS_fnf
2039-10-01,5.8949585,36.172607,4.2154884,6.794931,8.668263,10.732417,8.862837,11.884272,0.88283545,7.4220557,101.45955,14.131392
2039-10-02,5.9318867,36.275673,4.2292037,6.843549,8.732881,10.780626,8.975444,11.906801,0.88572514,7.4905243,101.601776,14.149109
2039-10-03,5.916914,36.231304,4.220549,6.818363,8.694886,10.746437,8.880024,11.8967285,0.88473237,7.4565372,101.53992,14.142215
2039-10-04,5.951156,36.331917,4.229279,6.859852,8.711055,10.741258,8.852797,11.916389,0.88492155,7.467645,101.47712,14.153722
2039-10-05,6.014272,36.246918,4.235611,6.970519,8.923024,10.801444,9.072284,12.341225,0.8876102,7.724868,101.41553,14.155139
2039-10-06,5.89272,36.123123,4.203162,7.063555,9.995664,11.444681,10.874418,11.969817,0.8819562,8.49973,101.36156,14.124415
2039-10-07,5.879105,36.078377,4.1972904,6.794286,8.855462,10.828224,8.962499,11.929361,0.8811489,7.6443357,101.317245,14.119147
2039-10-08,6.1755433,36.92774,4.2562847,7.145678,9.040299,10.809618,9.009956,11.949118,0.9418832,7.6610174,101.89156,14.504541
2039-10-09,5.972727,36.774494,4.302888,7.1446176,9.329371,10.923108,9.193743,11.939699,0.8987693,7.7801685,103.991234,14.180694
2039-10-10,5.8588133,36.11003,4.269163,7.0529647,9.29218,10.877179,9.117753,11.91224,0.88236815,7.7220607,101.36852,14.114727
2039-10-11,5.8513045,36.109863,4.264639,7.214022,9.215517,10.887956,9.136062,11.90691,0.8806373,7.721701,101.350845,14.112127
2039-10-12,5.8657074,36.09087,5.6851606,13.202913,9.796936,11.211842,9.926881,12.247434,1.1223688,8.494976,101.321236,14.108403
2039-10-13,5.866062,36.07566,12.608193,14.649221,22.039679,11.148981,11.925386,12.020961,10.2961445,8.088849,101.295334,14.105259
2039-10-14,6.135605,36.1002,6.555209,11.323612,16.242651,11.54893,11.4969225,12.246841,1.691247,8.72839,101.28531,14.246235
2039-10-15,13.874599,37.803627,6.57894,10.9657,15.919022,14.239508,14.14149,13.805454,1.8357158,11.612984,101.30279,18.985939
2039-10-16,9.697945,39.886562,8.940464,11.766279,22.626984,15.300279,21.759708,13.838771,3.6224337,13.957579,101.60901,15.83173
2039-10-17,6.766291,36.34576,7.4578705,12.184137,20.686825,14.722705,21.86633,12.85134,2.9157665,11.266019,101.411835,14.431866
2039-10-18,6.741064,36.351692,6.3921494,10.786398,17.384836,13.552485,17.909939,12.963607,2.590239,10.823388,101.25918,14.443012
2039-10-19,6.6442976,36.328083,5.847473,9.970873,15.056808,12.918134,15.520701,12.777037,1.947943,10.223152,101.22927,14.417586
2039-10-20,6.5550637,36.29377,5.4786496,9.393164,13.561809,12.542782,13.964602,12.6609535,1.658728,9.794446,101.20132,14.390156
2039-10-21,6.475181,36.252075,5.246299,8.975431,12.693927,12.372684,13.055981,12.639836,1.4806027,9.600686,101.16962,14.362322
2039-10-22,6.4151864,36.211372,5.210788,8.684802,12.367856,12.338237,12.770972,12.538696,1.3905466,9.39716,101.140594,14.334849
2039-10-23,6.347786,36.176003,5.064205,8.451529,11.863717,12.073784,12.241979,12.46337,1.3218219,9.136765,101.11423,14.311158
2039-10-24,6.2842703,36.139866,4.9357905,8.226872,11.37537,11.81688,11.655536,12.390921,1.2549653,8.887266,101.08598,14.286421
2039-10-25,6.2245073,36.10384,4.811935,8.040021,10.933736,11.594208,11.140478,12.320531,1.1933908,8.656028,101.05771,14.263021
2039-10-26,6.1741786,36.06967,4.7181683,7.8867955,10.590626,11.431708,10.744224,12.260866,1.1463026,8.470049,101.03216,14.242985
2039-10-27,6.1307063,36.03879,4.6483145,7.760804,10.324775,11.308727,10.433618,12.210707,1.1108222,8.319159,101.008575,14.225513
2039-10-28,6.096672,36.102303,4.5944333,7.6535296,10.114049,11.214494,10.187051,12.170237,1.0839525,8.198251,102.6575,14.211675
2039-10-29,18.404917,44.696804,5.1414294,7.565512,11.0675,12.674948,11.033245,14.660971,1.0667601,10.383825,121.160225,16.789816
2039-10-30,32.224327,37.952545,18.401817,16.97514,46.22154,23.238407,53.799835,23.727661,9.592124,21.864956,103.13033,16.211308
2039-10-31,23.261955,37.57616,14.336826,15.923637,47.275158,25.660791,54.168797,19.372124,7.6394353,26.478584,104.62588,16.197287
2039-11-01,16.657991,37.39235,10.315144,13.068285,29.931807,19.360472,34.055157,16.821247,5.1982803,21.226135,102.62613,15.772898
2039-11-02,13.370968,37.204613,9.755635,18.356358,24.558332,16.465454,26.793264,15.422578,3.6401675,18.097183,102.20441,15.407127
2039-11-03,11.658722,37.04177,9.28281,16.596605,22.659735,15.106747,21.680544,14.611398,2.8224669,15.882269,102.07487,15.154833
2039-11-04,10.694195,36.91326,7.7678595,16.759602,21.174019,14.255208,19.099958,14.108293,2.3554919,14.0231495,101.97322,14.978699
2039-11-05,9.976623,36.796444,7.873891,11.451794,20.927366,13.614121,17.273796,13.738831,2.0488727,12.587793,101.86594,14.84326
2039-11-06,9.196235,36.69622,6.4186754,10.243386,17.590164,13.11235,15.988667,13.451763,1.8287282,11.6271925,101.77231,14.73831
2039-11-07,8.681405,36.61335,5.9852514,9.662419,15.821397,12.746128,15.359253,13.234982,1.6690044,10.962588,101.6958,14.658861
2039-11-08,8.325726,36.544106,5.6949177,9.22953,14.58537,12.47937,14.848915,13.06842,1.553779,10.487617,101.63146,14.597862
