,FOL_pr,ORO_pr,SHA_pr,YRS_pr
2039-10-01,0.0,0.0,0.0,0.0
2039-10-02,0.0,0.0,0.0,0.0
2039-10-03,0.0,0.0,0.0,0.0
2039-10-04,0.36958694,0.1187674,4.0832525e-05,0.19995818
2039-10-05,0.9742492,0.2892255,0.0028328286,0.356885
2039-10-06,0.11764315,0.108290896,0.0031736775,0.029442977
2039-10-07,0.0033280777,0.0057768924,0.009867252,0.0004386482
2039-10-08,0.82850105,1.7916183,1.016722,1.1756088
2039-10-09,0.752137,1.9555832,2.6878154,0.6364339
2039-10-10,0.03425027,0.04438505,0.17197643,0.00019919676
2039-10-11,0.02216639,0.09817782,0.05161708,0.021326508
2039-10-12,0.33147702,0.009970981,0.019451782,0.054327074
2039-10-13,0.29622918,0.17540023,0.07850271,0.16848473
2039-10-14,0.97530013,0.25019535,0.10151446,0.73233193
2039-10-15,8.483611,2.4107625,0.22300716,7.4368258
2039-10-16,4.6355634,4.183349,0.8813509,4.3769403
2039-10-17,0.5816849,0.3505474,0.5845035,0.4131461
2039-10-18,0.23293658,0.122774616,0.1184354,0.16816138
2039-10-19,0.10348121,0.040455554,0.03208303,0.087271534
2039-10-20,0.020156918,0.0024456822,0.023911186,0.020898318
2039-10-21,0.25014296,0.014571071,0.0058729546,0.08468672
2039-10-22,0.35100248,0.00025158806,0.040346775,0.028214252
2039-10-23,0.0,0.0,0.0,0.0
2039-10-24,0.0,0.0,0.0,0.0
2039-10-25,0.0,0.0,0.0,0.0
2039-10-26,0.0,0.0,0.0,0.0
2039-10-27,0.0,0.0,0.0,0.0
2039-10-28,0.30446577,0.3874051,1.5012311,0.279628
2039-10-29,19.257347,9.061022,7.62588,9.891447
2039-10-30,14.036425,1.8551803,1.8218414,4.9580054
2039-10-31,0.66375977,0.1141033,0.27304703,0.21218142
2039-11-01,1.3956209e-07,1.5092523e-05,1.3016968e-05,1.2085086e-05
2039-11-02,0.0,0.0,0.0,0.0
2039-11-03,0.040690266,0.026370322,0.076721095,0.046990123
2039-11-04,0.044031866,0.084809706,0.13909999,0.055225708
2039-11-05,0.0,0.0,0.00013166195,0.0
2039-11-06,0.0,0.0,0.01495818,0.0
2039-11-07,0.0,0.00036650896,0.03827108,0.0
2039-11-08,0.00031554993,1.2222089e-05,0.077772245,0.0014049341
2039-11-09,0.0,0.0,6.837982e-05,0.0
2039-11-10,0.0,0.0,0.0040341318,0.0
2039-11-11,0.040597312,0.028528646,0.12599571,0.087281995
2039-11-12,0.45408955,0.4229605,1.0588188,0.3594989
2039-11-13,11.177007,11.129005,6.15961,11.23293
2039-11-14,31.123587,26.685154,5.6727376,43.25281
2039-11-15,51.21276,10.996123,2.0041974,25.667973
2039-11-16,14.628612,8.86792,2.07118,16.422285
2039-11-17,14.745234,10.57877,7.2488184,20.16763
2039-11-18,72.000824,48.41054,23.443811,63.359238
2039-11-19,45.54326,21.216782,10.8592005,35.62006
2039-11-20,8.267336,2.1777372,2.9512808,5.1597404
2039-11-21,2.4858484,0.6020572,0.94294715,1.3571985
2039-11-22,0.6251043,0.26984483,2.7104173,0.37548235
2039-11-23,0.014249848,0.022575203,0.24591655,0.012630275
2039-11-24,0.0,1.0992351e-05,0.6682605,1.2257059e-05
2039-11-25,0.0011948376,0.015263733,0.81028295,0.002732574
2039-11-26,0.003218488,1.0139064e-05,0.0,0.0
2039-11-27,0.00016738147,2.6652688e-05,0.00021702609,4.1086165e-05
2039-11-28,0.0,0.010525954,0.111660235,3.126801e-05
2039-11-29,0.009174626,0.43859217,1.7051809,0.047939174
2039-11-30,0.0,0.00895711,0.0234069,0.0
2039-12-01,0.0,0.03574783,1.0279003,0.017289208
2039-12-02,0.0,0.0062633315,0.013004372,0.0
