,FOL_tas,ORO_tas,SHA_tas
2089-10-01,295.16953,296.27594,293.76025
2089-10-02,296.81757,297.84467,295.0394
2089-10-03,298.58612,299.583,297.73193
2089-10-04,299.06702,300.3178,297.539
2089-10-05,297.5538,298.7793,296.08707
2089-10-06,298.66406,299.62253,296.48026
2089-10-07,299.50296,300.23767,297.52933
2089-10-08,297.08344,298.52866,295.94928
2089-10-09,292.58545,293.12372,292.41458
2089-10-10,294.07394,294.7869,292.56174
2089-10-11,295.91022,297.1369,294.92047
2089-10-12,295.36984,297.23953,294.50226
2089-10-13,293.26196,293.61536,291.64273
2089-10-14,292.35522,291.7375,289.78784
2089-10-15,292.03284,292.44934,288.85727
2089-10-16,293.97223,294.85648,292.35498
2089-10-17,295.85995,295.4527,292.97485
2089-10-18,293.30173,293.5492,290.38547
2089-10-19,295.16544,295.30664,292.39343
2089-10-20,293.5991,294.52686,290.87927
2089-10-21,292.18494,291.7098,287.69675
2089-10-22,289.734,289.27576,286.94342
2089-10-23,286.56708,287.13477,284.38132
2089-10-24,285.73303,286.71384,285.6306
2089-10-25,287.10812,287.79092,287.44107
2089-10-26,287.6901,288.351,285.85355
2089-10-27,287.1208,287.83908,285.637
2089-10-28,287.04047,287.55563,285.77264
2089-10-29,288.092,286.97595,284.20013
2089-10-30,289.921,288.6341,285.60434
2089-10-31,288.92328,288.02295,285.57108
2089-11-01,289.59897,288.32898,284.70853
2089-11-02,287.00842,286.2746,283.01382
2089-11-03,285.41592,285.12207,282.64624
2089-11-04,284.73276,285.59457,282.7231
2089-11-05,284.11755,284.91806,283.2712
2089-11-06,283.86636,285.3131,283.4375
2089-11-07,283.76062,285.9635,285.113
2089-11-08,284.3673,287.9229,286.2312
2089-11-09,286.51367,287.8153,286.0851
2089-11-10,286.26932,287.30386,285.4412
2089-11-11,287.3244,288.00632,287.57028
2089-11-12,288.89706,289.4832,288.88205
2089-11-13,290.45197,290.66745,288.41907
2089-11-14,291.95343,291.24628,288.51953
2089-11-15,289.53333,289.9851,286.66562
2089-11-16,285.5309,287.4732,283.6118
2089-11-17,284.49622,286.9712,287.0993
2089-11-18,285.60104,287.21094,285.97308
2089-11-19,286.8524,287.71628,287.13196
2089-11-20,288.29636,287.61734,284.71634
2089-11-21,287.29208,287.29648,282.61276
2089-11-22,283.51636,283.8006,282.68082
2089-11-23,283.71768,283.42072,280.67615
2089-11-24,282.11267,280.9435,279.7069
2089-11-25,282.45148,282.4704,282.82953
2089-11-26,284.08585,283.98886,282.7685
2089-11-27,284.13812,284.74963,281.2593
2089-11-28,284.35477,284.60825,282.28455
2089-11-29,284.0338,285.38586,284.75293
2089-11-30,282.5078,285.28894,286.1341
2089-12-01,282.65048,285.47998,285.93365
2089-12-02,285.84726,287.47723,286.2018
2089-12-03,284.56085,286.395,287.88834
2089-12-04,283.60272,287.64334,288.03845
2089-12-05,285.63513,286.72275,288.7962
2089-12-06,286.3868,287.88107,287.5155
2089-12-07,286.9249,287.22928,288.9908
2089-12-08,288.1971,288.44208,286.25208
2089-12-09,290.00183,289.92792,285.87268
2089-12-10,288.10464,287.67502,284.75705
2089-12-11,288.11176,287.67682,285.74338
2089-12-12,284.0193,283.64825,280.66785
2089-12-13,281.33258,282.3814,280.24878
2089-12-14,282.44424,282.76117,280.23325
2089-12-15,282.71277,282.01868,279.0387
2089-12-16,285.49103,284.6699,281.65488
2089-12-17,287.67603,286.98782,284.70016
2089-12-18,285.15067,284.8929,281.6648
2089-12-19,284.76776,283.91656,281.89444
2089-12-20,285.9846,284.99597,282.13235
2089-12-21,286.66107,285.47256,283.25797
2089-12-22,284.96805,284.64178,282.61725
2089-12-23,285.9973,285.16553,282.05164
2089-12-24,284.39584,283.75122,280.22244
2089-12-25,280.0996,280.93298,277.07434
2089-12-26,276.97437,278.3908,277.31735
2089-12-27,279.83377,279.90796,277.0407
2089-12-28,280.64963,280.09192,276.58777
2089-12-29,277.71124,279.14474,276.60767
2089-12-30,280.89316,281.1492,277.5127
2089-12-31,283.1344,281.6759,279.0915
2090-01-01,284.16818,283.19086,279.11597
2090-01-02,281.90814,282.5445,278.01767
2090-01-03,281.35345,282.2826,279.6306
2090-01-04,283.30234,283.2674,279.32217
2090-01-05,281.9881,282.8872,280.5954
2090-01-06,283.72424,287.2808,283.7646
2090-01-07,286.0618,288.888,287.64505
2090-01-08,285.51028,287.9906,286.95288
2090-01-09,283.9899,287.1505,286.17532
2090-01-10,281.916,287.4887,287.7659
2090-01-11,282.5686,287.84393,289.58273
2090-01-12,283.72314,289.48553,290.10953
2090-01-13,286.21902,288.88724,289.8465
2090-01-14,288.43533,289.91104,290.1859
2090-01-15,287.82288,289.2481,290.14053
2090-01-16,286.01892,288.90753,287.92664
2090-01-17,286.3643,288.29935,288.0998
2090-01-18,285.5937,285.36237,284.48212
2090-01-19,281.07657,282.71094,282.93958
2090-01-20,281.81525,283.68814,284.6383
2090-01-21,282.07355,284.4494,285.85422
2090-01-22,283.86713,285.13397,286.23495
2090-01-23,283.78317,283.3641,284.7478
2090-01-24,284.87082,284.4167,282.42435
2090-01-25,283.652,283.81265,281.53186
2090-01-26,283.7143,283.6746,281.42654
2090-01-27,281.50394,283.23883,282.301
2090-01-28,282.08478,282.93167,282.68576
2090-01-29,283.37183,284.35968,283.222
2090-01-30,284.6155,284.85428,282.57483
2090-01-31,285.00198,284.99878,283.62964
2090-02-01,285.09674,284.5727,281.93774
2090-02-02,286.15817,285.2941,283.73392
2090-02-03,285.2042,284.08728,282.36932
2090-02-04,281.75543,281.2205,277.90125
2090-02-05,281.80478,280.43228,276.358
2090-02-06,280.19666,278.9096,275.63474
2090-02-07,281.4721,280.04446,275.13318
2090-02-08,280.79324,280.53314,277.53442
2090-02-09,282.08813,281.9742,279.08185
2090-02-10,282.934,282.2478,278.89465
2090-02-11,284.2401,284.00836,279.7945
2090-02-12,284.7139,284.3363,280.0763
2090-02-13,282.4939,282.4187,280.37427
2090-02-14,285.4795,284.17282,281.64517
2090-02-15,284.97345,284.25333,280.1407
2090-02-16,285.76364,284.9475,282.05106
2090-02-17,287.17572,286.57318,284.3684
2090-02-18,287.71957,287.3982,285.50693
2090-02-19,286.21478,287.31818,283.58075
2090-02-20,284.30057,287.08667,286.6477
2090-02-21,286.48016,290.52655,291.60178
2090-02-22,288.6041,290.43262,293.09808
2090-02-23,290.85687,292.35806,293.69373
2090-02-24,292.21564,292.8912,292.681
2090-02-25,292.7619,294.06815,294.2327
2090-02-26,293.00174,295.22375,295.78506
2090-02-27,292.2727,294.53494,294.95337
2090-02-28,292.4662,293.03506,293.26578
2090-03-01,291.54373,294.35895,295.24295
2090-03-02,291.3117,294.5069,294.91724
2090-03-03,292.58844,292.93765,292.61618
2090-03-04,293.1037,292.938,292.0151
2090-03-05,288.94766,291.274,291.5675
2090-03-06,287.36298,287.79672,286.75525
2090-03-07,287.286,287.17798,285.6477
2090-03-08,287.4523,287.08008,284.58755
2090-03-09,286.65967,287.33783,284.72772
2090-03-10,285.5664,286.2805,284.09564
2090-03-11,285.30743,285.28915,283.70032
2090-03-12,286.50723,285.28326,282.81116
2090-03-13,286.49747,285.04428,283.11758
2090-03-14,286.62048,284.6137,282.37314
2090-03-15,284.91678,284.01144,280.91205
2090-03-16,284.6946,283.69095,281.74377
2090-03-17,284.6308,283.46045,279.5449
2090-03-18,283.03918,282.41776,281.096
2090-03-19,281.2275,281.06018,277.6205
2090-03-20,283.45505,283.46252,280.4375
2090-03-21,285.32352,284.36847,281.57016
2090-03-22,285.5329,285.07666,281.50714
2090-03-23,282.86646,283.01788,279.48398
2090-03-24,283.2372,284.75354,282.19867
2090-03-25,284.8181,286.02277,284.52356
2090-03-26,287.3881,288.4146,286.6236
2090-03-27,289.87994,289.9961,289.23325
2090-03-28,291.59378,292.10297,292.54572
2090-03-29,292.30933,292.26434,290.3644
2090-03-30,288.53223,289.648,285.95657
2090-03-31,288.51047,289.7327,287.8219
2090-04-01,289.39087,291.62506,288.6868
2090-04-02,289.46844,290.82422,289.55444
2090-04-03,287.66998,288.90436,287.864
2090-04-04,287.50037,287.48328,285.28592
2090-04-05,286.38742,287.18674,284.53632
2090-04-06,286.48566,286.80923,286.18262
2090-04-07,286.29868,286.99857,285.41525
2090-04-08,287.66882,287.78397,285.20267
2090-04-09,287.7811,286.9424,285.58286
2090-04-10,287.14194,287.32455,285.5504
2090-04-11,288.57166,289.0592,288.04965
2090-04-12,288.19232,288.50894,287.51505
2090-04-13,289.23404,290.30127,288.9309
2090-04-14,290.5851,291.81464,291.06573
2090-04-15,290.60553,292.01532,290.66895
2090-04-16,290.17654,291.17444,289.4937
2090-04-17,291.34082,293.06726,291.7749
2090-04-18,290.02936,291.76056,291.15942
2090-04-19,291.87427,292.17194,290.40216
2090-04-20,293.41736,294.66028,293.473
2090-04-21,292.886,294.32166,293.8951
2090-04-22,292.4399,293.58856,293.37286
2090-04-23,293.42273,294.95865,294.0832
2090-04-24,292.8947,294.53864,293.13846
2090-04-25,292.8173,293.89886,292.63263
2090-04-26,293.36456,294.9039,292.4191
2090-04-27,295.65598,295.50928,292.23743
2090-04-28,295.21262,295.85605,293.2409
2090-04-29,291.57968,292.95068,292.4941
2090-04-30,290.61328,290.94504,288.50677
2090-05-01,292.2133,292.79935,290.447
2090-05-02,294.3605,294.08243,292.67706
2090-05-03,297.2455,298.33755,296.70013
2090-05-04,298.28387,298.72073,297.71704
2090-05-05,297.228,298.27832,297.3195
2090-05-06,297.1944,298.44504,297.46405
2090-05-07,297.1306,298.5273,298.46613
2090-05-08,296.65085,298.8783,298.82227
2090-05-09,295.4133,297.72778,297.01218
2090-05-10,296.31638,298.50928,297.76505
2090-05-11,297.31302,299.18115,297.84943
2090-05-12,296.62015,299.06943,298.46036
2090-05-13,296.50803,298.07938,298.71045
2090-05-14,296.2426,297.55603,297.86853
2090-05-15,295.9401,297.2962,296.7764
2090-05-16,293.21384,295.08414,294.68436
2090-05-17,292.9624,294.03946,293.44067
2090-05-18,293.54086,294.70032,294.0477
2090-05-19,296.53677,297.79523,296.66534
2090-05-20,296.83304,298.1821,296.274
2090-05-21,297.1888,297.85577,295.24634
2090-05-22,299.07227,299.61957,297.02673
2090-05-23,300.93298,302.40515,301.37302
2090-05-24,297.3813,299.14975,299.2818
2090-05-25,299.1465,301.06,300.5898
2090-05-26,300.0727,301.46027,300.70087
2090-05-27,299.74594,300.78714,299.44327
2090-05-28,298.33054,299.937,296.65005
2090-05-29,299.90146,300.23038,297.9544
2090-05-30,302.14014,302.62137,299.6492
2090-05-31,300.33093,302.38577,300.3124
2090-06-01,299.00497,299.54257,299.5731
2090-06-02,296.573,297.38452,297.44156
2090-06-03,294.7057,295.32632,294.77982
2090-06-04,293.50732,294.52338,294.25513
2090-06-05,295.92276,297.34558,295.1196
2090-06-06,295.9856,297.07715,297.38956
2090-06-07,295.77475,296.9682,297.45804
2090-06-08,295.099,296.75543,297.46262
2090-06-09,295.62543,296.8775,297.76776
2090-06-10,296.40845,297.53214,297.54086
2090-06-11,296.15323,296.9738,296.94595
2090-06-12,296.02545,296.8326,297.57068
2090-06-13,296.12357,296.90332,297.373
2090-06-14,295.07135,296.39874,298.5593
2090-06-15,300.2671,301.30017,302.39175
2090-06-16,302.81793,304.51312,304.71057
2090-06-17,300.8322,302.46515,303.14154
2090-06-18,301.11526,302.8811,304.66205
2090-06-19,301.78806,303.21564,305.2401
2090-06-20,300.03363,301.69547,302.90714
2090-06-21,300.7779,302.3178,303.63797
2090-06-22,302.76093,305.20874,305.4889
2090-06-23,303.95917,304.77982,305.51724
2090-06-24,303.97092,306.5049,306.2757
2090-06-25,304.8595,307.4255,309.11057
2090-06-26,303.1017,305.72162,309.15222
2090-06-27,301.6683,303.81018,307.0971
2090-06-28,297.98166,299.553,301.61563
2090-06-29,298.27618,299.17072,302.0893
2090-06-30,299.2063,301.0006,302.69083
2090-07-01,299.52597,301.13702,301.836
2090-07-02,301.58328,303.295,304.29504
2090-07-03,302.80005,305.5621,305.94687
2090-07-04,301.18414,304.2409,305.8791
2090-07-05,299.37784,300.89758,301.45065
2090-07-06,300.74173,301.02765,302.93832
2090-07-07,304.0315,305.72983,306.60767
2090-07-08,303.57977,305.94064,306.76904
2090-07-09,305.70343,308.12833,308.0353
2090-07-10,308.8532,310.98126,309.4163
2090-07-11,307.61694,310.60562,310.6023
2090-07-12,306.5541,309.48975,311.28882
2090-07-13,304.35388,307.4266,309.8848
2090-07-14,304.07578,307.31738,311.27252
2090-07-15,306.43488,310.65445,313.90546
2090-07-16,304.55106,306.2092,308.42392
2090-07-17,303.89893,306.693,307.42383
2090-07-18,305.1984,307.51407,309.43408
2090-07-19,304.377,307.08734,310.40317
2090-07-20,301.7562,303.775,306.51068
2090-07-21,300.68942,302.32678,304.38367
