datetime,KTL_swe,SNM_swe,BND_fnf,ORO_fnf,YRS_fnf,FOL_fnf,NML_fnf,TLG_fnf,MRC_fnf,MIL_fnf,MKM_fnf,NHG_fnf,SHA_fnf,ORO_precip,FOL_precip,SHA_precip,ORO_tas,FOL_tas,SHA_tas,netgains,WY,DOWY,SR_WYI,SR_WYT,SR_WYT_rolling,SJR_WYI,SJR_WYT,8RI,SHA_in_tr,ORO_in_tr,FOL_in_tr,SHA_fci,ORO_fci,FOL_fci,YRS_swe,FOL_swe,ORO_swe,BND_swe,gains_sim,OMR_sim,SHA_snowpack,SHA_cum_flow_to_date,SHA_remaining_flow,SHA_slope,SHA_intercept,SHA_mean,SHA_std,ORO_snowpack,ORO_cum_flow_to_date,ORO_remaining_flow,ORO_slope,ORO_intercept,ORO_mean,ORO_std,FOL_snowpack,FOL_cum_flow_to_date,FOL_remaining_flow,FOL_slope,FOL_intercept,FOL_mean,FOL_std,octmar_flow_to_date,octmar_mean,octmar_std,aprjul_flow_to_date,aprjul_mean,aprjul_std,aprjul_slope,aprjul_intercept,WYI_sim,WYT_sim
2006-10-01,0.0,0.0,,1326.24,555.36,242.83,497.84,703.78,591.44,1048.08,86.31,24.47,3753.68,0.02,0.12,0.0,151.70806,142.79188,156.62348,9.57421486,2007,1,4.818751631216347,C,C,,C,0.2498273053644148,3790.9396631742397,2097.870456846746,883.6161599356597,100000.0,0.0,0.0,,,0.0,0.0,0.0,-226.2,0.0,7.519219153964226,4310.964556691706,0.0,0.0,0.0,0.0,0.0,4.161065361944989,2623.18729470564,0.0,0.0,0.0,0.0,,1.7526270911358348,1764.5096744526563,0.0,0.0,0.0,0.0,,,,,,,,,4.397346948831645,C
2006-10-02,0.0,0.0,,1344.65,560.07,241.5,502.11,1012.71,946.88,1612.14,96.13,25.72,3760.28,0.13,0.22,0.04,145.98136,138.59356,150.53696,10.67305783,2007,2,4.818751631216347,C,C,,C,0.2498273053644148,3797.1056692766156,2108.2122360579,883.0611842434585,98797.10566927661,0.13,0.22,,,0.0,0.0,0.0,-226.2,0.0,15.05066840265637,4303.433107443014,45.082978448642976,5695.865933775664,5802.078247075021,1924.239996729564,0.0,8.342643343778386,2619.0057167238065,61.80407016096985,3717.3616382115993,4006.58403104635,1774.4243842198111,,3.504153404041058,1762.758148139751,370.8428796199138,2550.894904410837,2790.7615269277753,1346.8643556108714,,,,,,,,,4.397346948831645,C
2006-10-03,0.0,0.0,,1324.49,551.04,216.55,460.6,765.97,619.32,1337.63,75.44,22.87,3758.08,0.02,0.05,0.05,143.52706,134.85388,147.27428,11.92264461,2007,3,4.818751631216347,C,C,,C,0.2498273053644148,3795.050333909157,2096.88739798637,872.6501740777289,97652.30071972193,0.14609999999999998,0.2634,,,0.0,0.0,0.0,-226.2,0.0,22.578040953105877,4295.905734892564,45.00923497560343,5689.5871215433435,5795.625700428253,1924.543118003013,0.0,12.501758836912689,2614.846601230672,61.790806178917464,3713.5517571355413,4002.712078967239,1774.2153063263281,,5.235029779462254,1761.0272717643297,370.59550771065847,2549.112172736792,2788.818791468733,1346.843870368881,,,,,,,,,4.397346948831645,C
2006-10-04,0.0,0.0,,1348.41,552.42,234.09,466.88,623.05,418.65,958.41,79.34,25.25,3801.7,0.06,0.1,0.07,140.00014,133.03696,146.64464,19.03140493,2007,4,4.818751631216347,C,C,,C,0.2498273053644148,3835.8020287857657,2110.324408237908,879.9691768154803,96605.48771252159,0.20171699999999998,0.355498,,,0.0,0.0,0.0,-226.2,0.0,30.186243311438986,4288.297532534231,45.00415464565432,5683.136572650094,5789.1631826364355,1924.42719596552,0.0,16.687526251162186,2610.660833816423,61.78105802715828,3709.5478922360708,3998.6625959754588,1774.2340667730402,,6.980423185082642,1759.2818783587095,370.5600038919201,2547.3128741828673,2786.996528523267,1346.818326488666,,,,,,,,,4.397346948831645,C
2006-10-05,0.0,0.0,,1774.94,697.98,862.18,612.39,889.2,529.39,856.36,203.48,164.88,3850.38,0.35,0.76,0.13,138.96388,129.91468,139.66136,8.989090894,2007,5,4.818751631216347,C,C,,C,0.2498273053644148,3881.2809950075293,2349.92674864712,1142.0554042701108,95656.49432190304,0.54566549,1.10483306,,,0.0,0.0,0.0,-226.2,0.0,37.88465188361377,4280.599123962057,44.94476907004985,5676.300404990065,5782.187106754311,1924.7109923155008,0.0,21.348537976166835,2605.999822091418,61.77461840389823,3705.525520242646,3994.610088697363,1774.2178105149014,,9.2456570409773,1757.0166445028149,370.46772237091886,2545.480491473384,2785.104456770312,1346.7902055594388,,,,,,,,,4.397346948831645,C
2006-10-06,0.0,0.0,,1430.13,668.74,278.95,503.14,752.53,450.57,830.63,96.99,23.67,3768.01,0.12,0.15,0.02,141.20002,133.44268,147.27428,10.82181816,2007,6,4.818751631216347,C,C,,C,0.2498273053644148,3804.3273703631858,2156.23044827786,898.6881313659662,94677.99697617107,0.6492955253,1.2216880682,,,0.0,0.0,0.0,-84.3,0.0,45.430425167494825,4273.053350678176,44.90653860635379,5669.463017742587,5775.25965123434,1924.9714698226492,0.0,25.62535869282158,2601.7230013747635,61.76372945466665,3701.6373538158814,3990.670965627386,1774.3465996399646,,11.02817895142869,1755.2341225923633,370.29192227726776,2543.6112027122813,2783.1214579259913,1346.7865911955155,,,,,,,,,4.397346948831645,C
2006-10-07,0.0,0.0,,1364.68,748.84,264.1,599.53,727.59,446.58,830.35,182.92,23.69,3753.13,0.02,0.01,0.0,145.85410000000002,138.15256,153.05552,7.700628086,2007,7,4.818751631216347,C,C,,C,0.2498273053644148,3790.4258293323755,2119.4640468998023,892.4915982613136,93734.52295669488,0.649816659541,1.195037426154,,,0.0,0.0,0.0,-56.6,0.0,52.948625146898394,4265.535150698772,44.91199917885059,5662.1069095748035,5767.916407789713,1924.3952196133635,0.0,29.829254315956703,2597.519105751628,61.74781015888976,3697.7849309903413,3986.744045817995,1774.2281030034674,,12.798410217726259,1753.4638913260658,370.2078272595297,2541.680268931664,2781.136130252479,1346.7690498757652,,,,,,,,,4.397346948831645,C
2006-10-08,0.0,0.0,,1327.45,552.66,242.15,497.64,654.23,375.55,739.59,152.04,23.6,3753.05,0.0,0.0,0.0,159.43456,150.35944,158.9894,6.424066105,2007,8,4.818751631216347,C,C,,C,0.2498273053644148,3790.351089864468,2098.5501718302057,883.3324129652109,92838.14789872461,0.63032215975477,1.15918630336938,,,0.0,0.0,0.0,-143.4,0.0,60.4666768827295,4258.017098962941,44.90955245186508,5655.551062329994,5761.354796228922,1924.4970001870472,0.0,33.99166787290794,2593.356692194677,61.75974503491254,3693.9321512039587,3982.9471172626477,1774.1397187763732,,14.550474504954714,1751.7118270388373,370.03002984077364,2539.8455780573177,2779.1864373956946,1346.7227689541894,,,,,,,,,4.397346948831645,C
2006-10-09,0.0,0.0,,1327.46,552.38,251.88,484.32,566.14,308.94,668.78,98.55,23.49,3753.04,0.0,0.0,0.0,164.83402,153.21712,165.095,7.872793375,2007,9,4.818751631216347,C,C,,C,0.2498273053644148,3790.3417474309795,2098.5557893094083,887.3924982923671,91986.58225121936,0.6114124949621269,1.1244107142682984,,,0.0,0.0,0.0,-339.6,0.0,67.98471008811406,4250.499065757556,44.87116638381102,5648.945584017143,5754.658883050702,1923.6387817245388,0.0,38.154092571966665,2589.194267495618,61.7401647719519,3690.0851347396165,3979.0084717115637,1774.1057089050073,,16.310591853975538,1749.9517096898167,370.0104186073989,2538.017067856982,2777.3452423615063,1346.7595701723408,,,,,,,,,4.397346948831645,C
2006-10-10,0.0,0.0,,1327.41,552.05,233.11,481.63,520.22,267.9,624.23,91.37,23.66,3752.92,0.0,0.01,0.0,156.45304,146.86672000000002,152.42588,10.9360661,2007,10,4.818751631216347,C,C,,C,0.2498273053644148,3790.229638229118,2098.5277019133973,879.5602473580689,91177.48277688751,0.5930701201132631,1.1006783928402495,,,0.0,0.0,0.0,-397.1,0.0,75.50252092813992,4242.98125491753,44.867080157882995,5641.926190861698,5747.629863035553,1923.1281733070145,0.0,42.31646156048794,2585.031898507097,61.752310845238256,3686.037600065616,3975.017776601208,1773.7598001751705,,18.055174159847056,1748.2071273839451,369.7684637972422,2536.168599072965,2775.3402736517714,1346.7504673233937,,,,,,,,,4.397346948831645,C
