datetime,GOL_swe,CSL_swe,HYS_swe,SCN_swe,RBB_swe,CAP_swe,RBP_swe,KTL_swe,HMB_swe,FOR_swe,RTL_swe,GRZ_swe,SDF_swe,SNM_swe,SLT_swe,MED_swe,BND_fnf,ORO_fnf,YRS_fnf,FOL_fnf,NML_fnf,TLG_fnf,MRC_fnf,MIL_fnf,NHG_fnf,SHA_fnf,ORO_precip,FOL_precip,SHA_precip,ORO_tas,FOL_tas,SHA_tas,netgains
2006-10-01,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,2.84,5.89,29.4,54.42,466.92,556.29,863.56,1.78,0.4,0.02,0.12,0.0,65.67,63.17,64.31,9.57421486
2006-10-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.78,26.15,11.39,28.02,60.38,810.86,926.87,1509.13,3.14,11.78,0.13,0.22,0.04,62.52,60.79,61.12,10.67305783
2006-10-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.14,0.66,0.85,1.7,3.39,536.16,585.22,1194.36,0.05,8.14,0.02,0.05,0.05,61.17,58.67,59.41,11.92264461
2006-10-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.62,30.96,2.5,20.24,12.08,377.04,375.91,759.83,2.63,82.62,0.06,0.1,0.07,59.23,57.64,59.08,19.03140493
2006-10-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.86,570.6,172.77,682.74,212.2,673.35,491.38,642.85,154.27,165.86,0.35,0.76,0.13,58.66,55.87,55.42,8.989090894
2006-10-06,0.0,0.35,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.91,134.52,138.64,67.63,62.16,521.19,409.15,613.28,0.92,25.91,0.12,0.15,0.02,59.89,57.87,59.41,10.82181816
2006-10-07,0.0,0.27,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,51.79,232.26,51.99,194.61,493.43,404.96,612.84,0.93,0.77,0.02,0.01,0.0,62.45,60.54,62.44,7.700628086
2006-10-08,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,4.74,2.97,28.87,54.61,411.75,330.86,508.8,0.84,0.77,0.0,0.0,0.0,69.92,67.46,65.55,6.424066105
2006-10-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,4.8,2.67,39.15,36.36,313.68,261.38,427.64,0.72,0.82,0.0,0.0,0.0,72.89,69.08,68.75,7.872793375
2006-10-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,4.77,2.33,19.38,32.72,262.56,218.57,376.58,0.9,0.8,0.0,0.01,0.0,68.28,65.48,62.11,10.9360661
2006-10-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,4.79,2.05,16.42,34.16,292.16,226.25,396.09,0.65,0.8,0.0,0.0,0.0,65.78,62.25,65.93,14.69950411
2006-10-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79,4.22,1.81,14.03,25.95,331.33,195.63,381.67,0.49,0.79,0.0,0.0,0.0,69.37,65.72,68.16,34.30611564
2006-10-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,3.99,1.6,12.05,19.98,270.56,166.28,353.02,0.43,0.78,0.0,0.0,0.0,68.58,63.75,69.69,5.472396685
2006-10-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,3.75,1.42,10.47,22.61,276.66,152.91,336.77,0.42,0.76,0.0,0.0,0.0,62.91,60.75,63.44,-6.34214875
2006-10-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81,3.52,1.28,9.23,16.3,280.51,145.5,321.25,0.35,0.81,0.0,0.0,0.0,61.16,58.58,60.1,4.591735529
2006-10-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.23,5.72,3.01,11.04,14.62,248.72,131.96,296.13,0.34,104.23,0.04,0.08,0.15,57.54,58.07,56.63,3.215206606
2006-10-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.68,7.34,1.8,8.15,13.27,227.6,121.02,273.76,0.31,47.68,0.02,0.01,0.04,58.38,57.79,53.95,8.211570234
2006-10-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.21,3.17,1.05,7.07,12.04,201.3,110.99,257.72,0.27,1.21,0.0,0.0,0.0,62.05,60.16,58.91,10.91107436
2006-10-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.59,3.08,0.99,6.51,10.95,175.31,100.67,234.69,0.25,2.59,0.0,0.0,0.01,64.68,61.9,66.04,3.887603299
2006-10-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.44,2.97,0.92,5.96,9.95,151.92,90.97,215.56,0.23,1.44,0.0,0.0,0.0,68.78,65.71,66.97,5.109421479
2006-10-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.32,2.84,0.85,5.46,9.06,133.2,82.52,197.78,0.21,1.32,0.0,0.0,0.0,71.11,69.12,65.16,0.366942148
2006-10-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,2.72,0.8,5.03,8.29,118.36,75.41,182.28,0.2,1.3,0.0,0.0,0.0,70.34,69.38,64.67,1.311074378
2006-10-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.27,2.6,0.74,4.64,7.62,106.61,69.49,169.15,0.18,1.27,0.0,0.0,0.0,69.83,69.24,65.11,4.306115695
2006-10-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.23,2.48,0.7,4.3,7.04,97.14,64.48,158.09,0.17,1.23,0.0,0.0,0.0,68.13,65.33,63.3,9.494876017000001
2006-10-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,2.38,0.66,4.01,6.55,89.76,60.4,149.56,0.16,1.2,0.0,0.0,0.0,61.88,60.21,56.35,10.75834709
2006-10-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.17,2.29,0.62,3.77,6.12,83.75,56.9,142.31,0.15,1.17,0.0,0.0,0.0,61.84,59.64,57.78,1.711735534
2006-10-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14,2.2,0.59,3.53,5.74,78.55,53.77,135.65,0.14,1.14,0.0,0.0,0.0,64.48,63.53,59.81,-1.7652892530000002
2006-10-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11,2.11,0.55,3.31,5.39,73.91,50.94,129.41,0.13,1.11,0.0,0.0,0.0,64.89,65.0,61.69,3.423471069
2006-10-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08,2.03,0.52,3.11,5.07,69.61,48.24,123.43,0.12,1.08,0.0,0.0,0.0,63.1,60.45,58.66,1.57487603
2006-10-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05,1.95,0.5,2.94,4.8,65.89,45.9,118.28,0.12,1.05,0.0,0.0,0.0,57.06,52.82,54.51,2.505123963
2006-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03,1.88,0.48,2.79,4.56,62.94,43.95,114.07,0.11,1.03,0.0,0.0,0.0,54.11,52.51,51.54,8.584462795
2006-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.52,2.3,0.53,2.66,4.35,60.63,42.33,110.77,0.11,12.52,0.01,0.0,0.04,53.87,53.02,51.25,10.73851238
2006-11-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.03,63.69,31.73,35.58,6.61,62.27,42.38,111.31,3.91,173.03,0.25,0.24,0.21,55.71,59.8,48.27,-1.733553716
2006-11-03,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,767.56,289.41,57.73,43.4,11.35,90.1,48.35,123.86,9.51,767.56,0.47,0.23,0.48,58.11,58.29,49.5,4.659173546
2006-11-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.83,27.29,42.33,12.33,4.74,95.89,51.58,124.16,0.11,71.83,0.07,0.06,0.1,55.3,56.89,51.84,4.028429745
