datetime,GOL_swe,CSL_swe,HYS_swe,SCN_swe,RBB_swe,CAP_swe,RBP_swe,KTL_swe,HMB_swe,FOR_swe,RTL_swe,GRZ_swe,SDF_swe,SNM_swe,SLT_swe,MED_swe,BND_fnf,ORO_fnf,YRS_fnf,FOL_fnf,NML_fnf,TLG_fnf,MRC_fnf,MIL_fnf,MKM_fnf,NHG_fnf,SHA_fnf,ORO_precip,FOL_precip,SHA_precip,ORO_tas,FOL_tas,SHA_tas,netgains
2006-10-01,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1326.24,555.36,242.83,497.84,703.78,591.44,1048.08,86.31,24.47,3753.68,0.02,0.12,0.0,65.67,63.17,64.31,9.57421486
2006-10-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1344.65,560.07,241.5,502.11,1012.71,946.88,1612.14,96.13,25.72,3760.28,0.13,0.22,0.04,62.52,60.79,61.12,10.67305783
2006-10-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1324.49,551.04,216.55,460.6,765.97,619.32,1337.63,75.44,22.87,3758.08,0.02,0.05,0.05,61.17,58.67,59.41,11.92264461
2006-10-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1348.41,552.42,234.09,466.88,623.05,418.65,958.41,79.34,25.25,3801.7,0.06,0.1,0.07,59.23,57.64,59.08,19.03140493
2006-10-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1774.94,697.98,862.18,612.39,889.2,529.39,856.36,203.48,164.88,3850.38,0.35,0.76,0.13,58.66,55.87,55.42,8.989090894
2006-10-06,0.0,0.35,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1430.13,668.74,278.95,503.14,752.53,450.57,830.63,96.99,23.67,3768.01,0.12,0.15,0.02,59.89,57.87,59.41,10.82181816
2006-10-07,0.0,0.27,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1364.68,748.84,264.1,599.53,727.59,446.58,830.35,182.92,23.69,3753.13,0.02,0.01,0.0,62.45,60.54,62.44,7.700628086
2006-10-08,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1327.45,552.66,242.15,497.64,654.23,375.55,739.59,152.04,23.6,3753.05,0.0,0.0,0.0,69.92,67.46,65.55,6.424066105
2006-10-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1327.46,552.38,251.88,484.32,566.14,308.94,668.78,98.55,23.49,3753.04,0.0,0.0,0.0,72.89,69.08,68.75,7.872793375
2006-10-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1327.41,552.05,233.11,481.63,520.22,267.9,624.23,91.37,23.66,3752.92,0.0,0.01,0.0,68.28,65.48,62.11,10.9360661
2006-10-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1327.38,551.77,230.28,482.63,546.81,275.27,641.29,87.55,23.43,3752.73,0.0,0.0,0.0,65.78,62.25,65.93,14.69950411
2006-10-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1326.9,551.53,227.99,476.6,581.99,245.91,628.73,85.28,23.28,3752.6,0.0,0.0,0.0,69.37,65.72,68.16,34.30611564
2006-10-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1326.38,551.15,225.98,472.05,527.41,217.74,603.59,83.52,23.23,3751.89,0.0,0.0,0.0,68.58,63.75,69.69,5.472396685
2006-10-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1325.36,550.3,224.04,473.31,532.89,204.79,588.84,82.2,23.21,3750.87,0.0,0.0,0.0,62.91,60.75,63.44,-6.34214875
2006-10-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1324.91,549.94,222.66,468.42,536.34,197.65,575.19,81.15,23.14,3750.23,0.0,0.0,0.0,61.16,58.58,60.1,4.591735529
2006-10-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1326.23,550.83,223.72,466.65,507.79,184.62,553.12,80.39,23.13,3810.38,0.04,0.08,0.15,57.54,58.07,56.63,3.215206606
2006-10-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1327.23,549.53,220.7,465.31,488.82,174.04,533.34,79.83,23.1,3776.64,0.02,0.01,0.04,58.38,57.79,53.95,8.211570234
