,FOL_swe,ORO_swe,SHA_swe,YRS_swe
2089-10-01,0.0,0.0,0.0,0.0
2089-10-02,0.0,0.0,0.0,0.0
2089-10-03,0.0,0.0,0.0,0.0
2089-10-04,0.0,0.0,0.0,0.0
2089-10-05,0.0,7.758488e-06,0.0073823794,0.0
2089-10-06,0.0,0.0,0.0,0.0
2089-10-07,0.0,0.0,0.0,0.0
2089-10-08,0.0,0.0,0.0,0.0
2089-10-09,0.0,0.0,0.0,0.0
2089-10-10,0.0,0.0,0.004498146,0.0
2089-10-11,0.0,0.0,0.05737535,0.042858202
2089-10-12,0.0,0.0,0.013366842,0.0
2089-10-13,0.0,0.0,0.0,0.0
2089-10-14,0.0,0.0,0.0,0.0
2089-10-15,0.0,0.0,0.0,0.0
2089-10-16,0.0,0.0,0.0,0.0
2089-10-17,0.0,0.0,0.0,0.0
2089-10-18,0.0,0.0,0.0,0.0
2089-10-19,0.25260183,0.0,0.13652141,0.0
2089-10-20,0.0,7.845653e-06,0.29989487,0.0
2089-10-21,0.0,0.0,0.33273143,0.0
2089-10-22,1.1240159,0.22038111,0.54141176,0.8425676
2089-10-23,6.7921925,1.0994217,1.2910805,2.9871302
2089-10-24,6.6245756,1.2126036,1.2990663,2.8566606
2089-10-25,4.655089,0.7919262,0.8620026,1.8436924
2089-10-26,2.586828,0.42135936,0.68250376,0.9975896
2089-10-27,1.8163149,0.84683126,1.3516856,0.7659771
2089-10-28,0.343636,0.5615873,1.054207,0.18532054
2089-10-29,0.102957785,0.3991425,0.88041925,0.0
2089-10-30,0.0,0.34586757,0.8410944,0.0
2089-10-31,0.0,0.21387364,0.75323445,0.0
2089-11-01,0.0,0.10739114,0.6603982,0.0
2089-11-02,0.0,0.088048,1.2806199,0.0
2089-11-03,15.244202,7.021926,8.94403,9.285967
2089-11-04,15.847683,7.926187,10.657804,10.022463
2089-11-05,39.95871,31.914066,30.30394,36.757175
2089-11-06,53.75799,41.903084,40.354755,47.60699
2089-11-07,55.35884,43.965473,42.648876,49.953228
2089-11-08,54.452415,44.81541,42.481335,49.289696
2089-11-09,53.58477,44.26681,40.91854,48.52636
2089-11-10,51.775295,41.381546,38.20942,46.24591
2089-11-11,48.142433,36.206757,33.62016,41.97155
2089-11-12,54.3579,36.103687,37.868824,45.31972
2089-11-13,57.214844,37.92474,38.53494,48.020905
2089-11-14,88.12073,65.60146,47.108643,86.11942
2089-11-15,112.012924,79.283554,50.051983,101.72992
2089-11-16,114.53097,81.464455,53.086548,103.71867
2089-11-17,117.23572,84.38137,54.85006,107.36907
2089-11-18,132.94203,96.5369,62.817585,119.03986
2089-11-19,149.5056,109.62325,70.645294,135.03883
2089-11-20,151.39433,113.31769,74.212425,139.57484
2089-11-21,180.0749,139.82768,83.4646,169.9872
2089-11-22,182.5734,144.48486,85.31748,174.68712
2089-11-23,195.4162,152.67943,92.270966,191.18689
2089-11-24,212.53143,164.86716,98.49792,205.94806
2089-11-25,212.24724,164.91254,98.46284,205.82976
2089-11-26,208.98178,163.26228,96.89114,202.98427
2089-11-27,206.95927,162.05096,96.151054,201.02748
2089-11-28,205.14534,160.54799,95.36262,199.32115
2089-11-29,204.28355,159.62033,95.11956,198.53717
2089-11-30,213.60034,164.52058,99.72663,207.33113
2089-12-01,252.05493,188.21202,109.34005,239.12616
2089-12-02,254.12555,190.07086,111.219894,241.448
2089-12-03,287.43298,224.53136,137.95712,277.19922
2089-12-04,304.95715,247.20831,172.2524,286.19122
2089-12-05,336.9022,283.6893,193.18225,320.38803
2089-12-06,339.61423,286.81763,197.25366,324.61325
2089-12-07,351.87933,291.01505,198.45474,332.47906
2089-12-08,358.7746,293.50723,199.47534,336.18365
2089-12-09,379.72397,310.63455,214.3392,356.93417
2089-12-10,391.47675,318.16956,221.96255,363.93924
2089-12-11,395.04126,319.42337,225.54124,365.25208
2089-12-12,395.72687,320.28198,226.10986,365.91327
2089-12-13,409.6967,327.4155,230.07709,377.69855
2089-12-14,413.63025,330.33792,232.12172,380.89072
2089-12-15,414.5861,325.0303,229.15663,377.85684
2089-12-16,411.98267,314.19354,216.7196,370.03647
2089-12-17,423.34937,316.82315,219.2974,377.248
2089-12-18,423.22412,316.34216,218.52292,376.88623
2089-12-19,421.4053,314.9931,220.22623,374.8542
2089-12-20,447.89014,338.18515,228.74304,396.83273
2089-12-21,455.41483,344.2656,231.55435,403.2178
2089-12-22,495.38135,373.35495,247.77103,436.98712
2089-12-23,501.08228,376.68564,251.42732,442.4047
2089-12-24,501.67282,378.62485,258.64624,444.13962
2089-12-25,522.45233,400.47318,284.33994,467.63275
2089-12-26,528.8856,405.4094,288.73544,472.8932
2089-12-27,529.1878,406.12637,289.12357,473.70126
2089-12-28,528.75354,409.6332,294.43567,473.79477
2089-12-29,538.61774,417.88858,297.91876,484.02402
2089-12-30,538.61597,417.97147,297.8325,483.90128
2089-12-31,536.7092,417.00848,297.14478,482.05328
