,FOL_tas,ORO_tas,SHA_tas
2089-10-01,284.46362,287.1486,288.3459
2089-10-02,284.53625,286.0238,286.14526
2089-10-03,287.77228,290.3575,290.22238
2089-10-04,282.4975,286.05908,286.6484
2089-10-05,280.44867,284.5404,285.44717
2089-10-06,285.6972,288.30493,287.1146
2089-10-07,290.7654,293.95087,293.6693
2089-10-08,293.34192,296.81076,297.1963
2089-10-09,289.19614,292.39447,292.4958
2089-10-10,284.46912,286.9469,288.51382
2089-10-11,283.31403,286.22922,286.30466
2089-10-12,285.97885,289.72125,289.99863
2089-10-13,282.16556,287.50842,288.37878
2089-10-14,285.6788,287.76376,285.98395
2089-10-15,290.59158,292.8021,292.40543
2089-10-16,292.23187,295.25916,296.13916
2089-10-17,290.8245,293.6374,294.74875
2089-10-18,287.59314,290.63638,292.15753
2089-10-19,283.84332,286.98553,289.00098
2089-10-20,284.52228,286.53653,289.57306
2089-10-21,284.54614,287.80576,290.48013
2089-10-22,277.9621,281.94952,283.31024
2089-10-23,280.12103,282.04565,281.28064
2089-10-24,282.99823,285.84555,285.24255
2089-10-25,282.88803,287.36786,288.02167
2089-10-26,279.84634,284.16107,285.5229
2089-10-27,282.7918,284.77322,284.30533
2089-10-28,284.34048,288.52612,288.82462
2089-10-29,280.2027,283.4145,284.47888
2089-10-30,282.08688,285.57852,284.287
2089-10-31,282.67767,286.12784,286.49713
2089-11-01,282.8969,286.38422,287.94208
2089-11-02,279.38174,283.18713,284.8712
2089-11-03,278.22906,281.61478,281.6363
2089-11-04,279.30374,282.3005,283.37677
2089-11-05,278.68942,281.37796,282.16708
2089-11-06,276.29166,278.73492,279.2347
2089-11-07,280.205,282.73907,283.39597
2089-11-08,280.52856,283.972,284.98636
2089-11-09,282.04965,284.3629,283.99673
2089-11-10,281.54584,285.69003,286.06555
2089-11-11,280.9822,284.6452,286.0014
2089-11-12,277.24152,280.85052,282.41858
2089-11-13,277.99033,281.69217,282.8593
2089-11-14,275.9096,279.46997,280.72876
2089-11-15,276.6995,279.85385,280.49457
2089-11-16,279.42072,284.10263,285.88873
2089-11-17,281.2725,283.31653,284.33923
2089-11-18,279.72287,281.6994,282.11765
2089-11-19,278.3101,282.0215,282.25436
2089-11-20,279.3592,282.68176,283.99817
2089-11-21,277.12262,280.37793,280.4411
2089-11-22,278.69012,282.62338,283.5115
2089-11-23,275.66248,279.0304,280.1941
2089-11-24,279.2981,280.1218,278.2132
2089-11-25,281.06882,281.10983,281.01132
2089-11-26,280.1705,282.51678,283.39868
2089-11-27,279.0887,281.5674,281.12988
2089-11-28,277.00232,278.6705,279.60538
2089-11-29,278.25964,280.27106,280.9776
2089-11-30,275.2685,278.42944,279.60638
2089-12-01,272.3269,275.28015,276.08765
2089-12-02,274.69003,279.03467,279.70877
2089-12-03,276.71732,281.5288,283.74472
2089-12-04,274.92377,279.4838,280.27737
2089-12-05,273.10214,275.75763,276.61557
2089-12-06,273.66705,276.3815,277.52695
2089-12-07,273.28754,278.02325,279.17093
2089-12-08,275.57758,279.86307,281.1108
2089-12-09,276.9447,280.15097,281.00314
2089-12-10,274.04547,277.68765,278.60672
2089-12-11,276.0648,278.57065,279.2617
2089-12-12,276.7762,279.56302,280.61316
2089-12-13,275.93304,279.778,281.2329
2089-12-14,278.98062,282.84354,283.6105
2089-12-15,281.90247,284.39792,285.31384
2089-12-16,274.39783,279.8457,280.928
2089-12-17,276.52148,279.5108,278.82278
2089-12-18,278.69302,282.6643,284.0481
2089-12-19,277.67664,281.71036,282.83893
2089-12-20,272.70734,276.376,277.7375
2089-12-21,274.56677,279.14984,280.6677
2089-12-22,271.4657,274.6963,275.68024
2089-12-23,273.29227,276.44946,276.41022
2089-12-24,273.50122,278.27997,279.60742
2089-12-25,273.21332,276.91492,277.65945
2089-12-26,273.61017,277.59756,277.76358
2089-12-27,276.90106,281.5313,283.07727
2089-12-28,271.62534,276.67526,278.06915
2089-12-29,274.26895,276.06458,274.23187
2089-12-30,276.92313,278.47516,278.7622
2089-12-31,277.19095,280.57715,280.69595
2090-01-01,275.19885,277.7636,275.24622
2090-01-02,278.56006,278.74518,276.46405
2090-01-03,280.42313,282.03177,281.63922
2090-01-04,277.18845,281.60214,281.5994
2090-01-05,272.41367,274.33383,273.69275
2090-01-06,276.77777,275.42908,274.83636
2090-01-07,278.27206,280.28445,280.06924
2090-01-08,279.17993,280.48776,279.86563
2090-01-09,284.13614,283.04874,283.1444
2090-01-10,282.68,285.02795,283.14252
2090-01-11,284.5834,284.0453,283.28256
2090-01-12,284.15723,285.43378,284.8005
2090-01-13,285.8678,287.1839,285.08334
2090-01-14,284.55838,286.82663,286.72433
2090-01-15,282.1436,285.47623,285.8169
2090-01-16,281.62888,284.54846,284.11316
2090-01-17,281.34198,284.29395,284.82724
2090-01-18,281.57925,284.1202,283.90845
2090-01-19,282.78305,284.58557,284.788
2090-01-20,277.20755,279.62378,279.39212
2090-01-21,276.1751,276.8536,276.22925
2090-01-22,274.00858,274.80527,275.57623
2090-01-23,272.67422,274.87958,275.64053
2090-01-24,278.59055,280.99255,281.01672
2090-01-25,283.19,286.71588,287.21564
2090-01-26,284.75412,287.3528,287.69763
2090-01-27,283.35632,285.0295,285.496
2090-01-28,283.91873,285.35297,285.10748
2090-01-29,282.0428,283.09814,283.23218
2090-01-30,282.31168,284.61954,283.58588
2090-01-31,281.99377,284.15045,284.67844
2090-02-01,283.52844,284.7349,283.60803
2090-02-02,276.2271,281.01282,282.2077
2090-02-03,267.29285,271.32788,271.88403
2090-02-04,266.31912,269.16797,269.1034
2090-02-05,268.2277,270.5638,269.76532
2090-02-06,271.89304,273.6181,273.0251
2090-02-07,270.0144,271.99347,272.69354
2090-02-08,271.07297,273.52142,274.9415
2090-02-09,273.66522,276.29898,278.48096
2090-02-10,274.78622,278.81955,280.72397
2090-02-11,268.5716,273.5209,275.75385
2090-02-12,269.65332,273.81793,275.5023
2090-02-13,273.065,277.34705,278.88135
2090-02-14,275.9505,280.5355,281.7411
2090-02-15,278.30545,282.1117,283.63516
2090-02-16,276.31052,279.39246,280.3312
2090-02-17,278.85007,280.25793,280.6274
2090-02-18,279.96442,282.65256,284.48154
2090-02-19,274.88626,279.15558,280.2764
2090-02-20,274.62195,278.1797,279.17462
2090-02-21,271.28754,275.6109,276.60992
2090-02-22,272.84943,276.34756,277.22766
2090-02-23,274.48798,277.34473,278.32632
2090-02-24,278.17255,280.2238,281.10388
2090-02-25,277.9812,281.00525,281.3548
2090-02-26,273.25433,277.66867,277.9535
2090-02-27,274.3228,277.31125,278.36667
2090-02-28,274.6216,277.68845,277.97433
2090-03-01,273.885,277.77798,278.48413
2090-03-02,271.2844,275.26312,276.2895
2090-03-03,273.8385,276.7916,277.63547
2090-03-04,273.6604,276.7599,277.95593
2090-03-05,275.8242,278.01157,278.04593
2090-03-06,275.79303,279.18042,279.18622
2090-03-07,274.38916,279.74252,280.30362
2090-03-08,277.27676,280.1545,280.92557
2090-03-09,276.2724,280.35913,281.23364
2090-03-10,272.8098,277.68228,278.2813
2090-03-11,275.3501,278.56076,278.04596
2090-03-12,277.83234,280.37927,281.22516
2090-03-13,279.36322,282.0876,283.01074
2090-03-14,280.8495,282.93716,283.96045
2090-03-15,275.02856,278.8794,279.7959
2090-03-16,270.6614,273.0683,273.6245
2090-03-17,273.70016,275.42142,275.22473
2090-03-18,275.71695,278.59686,279.3332
2090-03-19,278.55905,279.84726,279.74628
2090-03-20,282.75882,284.2542,284.33102
2090-03-21,284.44464,286.77017,286.52634
2090-03-22,279.82608,284.02823,284.22504
2090-03-23,282.24088,283.2174,283.14273
2090-03-24,285.57977,287.04578,286.94452
2090-03-25,280.5479,285.7278,286.14325
2090-03-26,281.32925,284.76218,284.54996
2090-03-27,280.96878,284.24857,283.9134
2090-03-28,284.76825,287.19168,286.82706
2090-03-29,284.90082,288.15375,288.43655
2090-03-30,282.0779,285.67838,285.50113
2090-03-31,277.26352,281.1893,281.91016
2090-04-01,276.28082,279.99615,280.41025
2090-04-02,279.69144,281.90344,283.25052
2090-04-03,283.30048,286.04932,286.53284
2090-04-04,283.69308,286.76486,287.29767
2090-04-05,284.9285,287.5144,287.5564
2090-04-06,279.0844,282.48428,283.38525
2090-04-07,278.33423,280.3714,281.80783
2090-04-08,278.47473,281.1925,281.49387
2090-04-09,281.32108,282.82263,283.2354
2090-04-10,279.2506,282.25836,282.39536
2090-04-11,283.05994,285.93356,287.52267
2090-04-12,287.69235,291.03357,292.23865
2090-04-13,281.85345,285.67822,287.02856
2090-04-14,279.8306,284.06522,283.55493
2090-04-15,280.3235,283.5468,283.77106
2090-04-16,283.49344,287.1551,286.6579
2090-04-17,286.33844,289.65833,290.49518
2090-04-18,288.66095,292.14133,292.44754
2090-04-19,291.02277,292.86633,293.2157
2090-04-20,293.2219,296.31464,296.53278
2090-04-21,294.28796,297.3393,296.9079
2090-04-22,293.25403,297.29733,295.98712
2090-04-23,291.79584,296.55353,296.6438
2090-04-24,294.4651,296.4463,296.2575
2090-04-25,291.43622,292.80008,292.8629
2090-04-26,291.28625,293.3136,293.1648
2090-04-27,290.99146,294.6467,293.2647
2090-04-28,290.9181,294.57153,293.60165
2090-04-29,289.5026,292.425,292.90198
2090-04-30,289.45813,292.6167,292.83365
