,FOL_tas,ORO_tas,SHA_tas
1994-10-01,289.90927,291.48627,288.9618
1994-10-02,290.29477,291.87494,288.42786
1994-10-03,289.14008,289.23203,285.5038
1994-10-04,288.5879,289.51,286.87393
1994-10-05,287.6219,287.63776,284.75845
1994-10-06,285.21936,285.36703,281.86243
1994-10-07,283.70245,283.7808,281.67175
1994-10-08,284.72342,284.03992,282.58777
1994-10-09,284.598,284.44885,282.21808
1994-10-10,284.61243,285.50085,284.0686
1994-10-11,286.0321,287.64835,285.19977
1994-10-12,285.361,286.08957,282.52213
1994-10-13,287.4911,286.13782,282.55884
1994-10-14,285.93103,286.95715,285.15097
1994-10-15,286.6528,288.06866,286.757
1994-10-16,285.82175,286.73068,282.826
1994-10-17,285.45392,286.4785,284.0506
1994-10-18,287.23907,288.43503,285.57108
1994-10-19,290.20016,291.55777,288.3316
1994-10-20,291.4715,292.00656,288.63196
1994-10-21,290.0791,290.30923,287.0121
1994-10-22,291.04245,290.4374,285.2198
1994-10-23,288.30768,289.8359,286.77814
1994-10-24,288.24554,289.33716,286.30023
1994-10-25,287.06738,287.20685,284.61066
1994-10-26,287.593,286.55164,283.90564
1994-10-27,287.90848,287.2215,284.5838
1994-10-28,287.03058,286.44336,282.79855
1994-10-29,284.89923,286.50336,285.40903
1994-10-30,284.86618,285.73694,283.95316
1994-10-31,283.44962,283.7645,283.5523
1994-11-01,287.44754,286.4559,283.51172
1994-11-02,286.03006,285.44794,280.79822
1994-11-03,283.7988,283.0906,280.34515
1994-11-04,282.8857,282.04358,279.47495
1994-11-05,280.43484,279.93445,277.36185
1994-11-06,280.78076,281.1025,278.31448
1994-11-07,284.49368,283.3018,280.29065
1994-11-08,284.59366,284.3077,282.09412
1994-11-09,284.51144,284.39557,281.66644
1994-11-10,285.14996,284.56036,281.57175
1994-11-11,285.86813,285.58948,284.52332
1994-11-12,286.0813,286.00742,285.45538
1994-11-13,284.76215,284.06177,281.11084
1994-11-14,282.58368,281.6611,279.37848
1994-11-15,279.98364,278.6742,274.97504
1994-11-16,282.22955,281.20285,277.2414
1994-11-17,283.69406,283.59277,279.98804
1994-11-18,283.29233,283.00958,281.35443
1994-11-19,281.0285,280.32776,276.94608
1994-11-20,278.30917,279.707,276.97363
1994-11-21,279.7265,281.1599,280.36057
1994-11-22,282.27716,281.24176,279.45187
1994-11-23,280.0357,279.84515,277.698
1994-11-24,281.8881,280.85117,277.55957
1994-11-25,283.93134,282.76886,279.82092
1994-11-26,284.74768,284.3508,281.92435
1994-11-27,283.51123,283.0371,280.69092
1994-11-28,282.4637,281.3529,278.96576
1994-11-29,283.3098,282.11917,278.64056
1994-11-30,282.35513,281.3215,278.36823
1994-12-01,283.3325,282.63873,278.31604
1994-12-02,284.39618,283.09863,278.9404
1994-12-03,285.24466,283.72104,281.64285
1994-12-04,285.60803,284.70874,281.79538
1994-12-05,283.90826,283.2,281.00815
1994-12-06,283.2826,282.526,279.31287
1994-12-07,283.65027,282.89383,280.996
1994-12-08,285.50253,284.77478,282.84796
1994-12-09,280.56818,279.86084,276.81934
1994-12-10,279.9443,279.59183,277.5768
1994-12-11,283.4653,282.32364,278.58472
1994-12-12,284.12323,284.40768,282.26614
1994-12-13,282.0484,282.48584,282.89444
1994-12-14,282.0622,280.11765,281.5826
1994-12-15,283.74084,282.93115,279.56836
1994-12-16,282.0474,281.66193,279.2556
1994-12-17,281.7355,281.90283,278.80682
1994-12-18,283.6329,283.40906,280.29468
1994-12-19,282.52502,284.41327,282.75717
1994-12-20,283.52237,283.5742,283.41183
1994-12-21,283.39948,285.33218,282.5497
1994-12-22,284.1027,286.35895,283.47702
1994-12-23,284.27094,285.8939,284.92398
1994-12-24,283.14447,283.6309,281.6199
1994-12-25,281.3458,281.9118,280.12112
1994-12-26,283.7513,283.45172,279.92172
1994-12-27,283.84222,283.24924,280.17212
1994-12-28,282.03442,283.08603,280.52948
1994-12-29,282.4184,284.61578,283.95215
1994-12-30,283.64838,284.87836,283.27853
1994-12-31,282.6087,284.314,283.03918
1995-01-01,282.76584,284.08914,284.73596
1995-01-02,284.86038,284.49927,283.22964
1995-01-03,284.89172,284.49026,282.7259
1995-01-04,284.74487,285.7963,284.5658
1995-01-05,284.59863,285.57126,285.25006
1995-01-06,284.87756,285.76285,282.30182
1995-01-07,281.36075,281.02048,278.60986
1995-01-08,277.42755,277.06982,274.71887
1995-01-09,277.7968,279.2752,277.59192
1995-01-10,278.43024,279.5479,279.0413
1995-01-11,280.57056,280.12308,279.11945
1995-01-12,276.31696,277.19678,274.7519
1995-01-13,276.17444,276.50122,275.84454
1995-01-14,274.1927,275.35193,272.89563
1995-01-15,274.38174,275.15326,273.56476
1995-01-16,275.1634,275.18353,272.90848
1995-01-17,277.84976,277.10178,272.72116
1995-01-18,280.51685,278.9415,275.58774
1995-01-19,283.56387,281.85272,276.7017
1995-01-20,280.8197,280.16937,277.281
1995-01-21,279.85748,278.9486,275.24222
1995-01-22,277.9209,277.55774,274.93997
1995-01-23,272.91318,273.59464,271.47327
1995-01-24,271.8785,271.23102,267.51645
1995-01-25,268.44504,269.35956,264.5986
1995-01-26,269.91162,270.2631,266.5065
1995-01-27,271.01572,270.1421,266.46887
1995-01-28,270.563,270.8186,267.1696
1995-01-29,271.69876,272.13303,269.26404
1995-01-30,272.36148,272.62622,270.09528
1995-01-31,272.36273,273.1631,269.81473
1995-02-01,273.59845,274.65363,273.56885
1995-02-02,274.55347,278.69702,276.83957
1995-02-03,275.95276,282.04697,280.331
1995-02-04,279.5299,283.9285,282.9158
1995-02-05,281.72617,283.29123,281.8202
1995-02-06,281.75024,283.8268,280.77493
1995-02-07,282.87454,283.81766,280.29892
1995-02-08,282.4469,282.46548,279.54913
1995-02-09,280.12503,278.8942,275.43185
1995-02-10,275.39557,275.93866,272.5376
1995-02-11,273.27777,274.15924,272.26294
1995-02-12,276.6719,278.8108,278.32596
1995-02-13,278.91486,281.10782,276.97348
1995-02-14,278.5905,279.23737,276.35272
1995-02-15,279.03253,278.57617,278.39404
1995-02-16,281.88712,281.84412,281.37085
1995-02-17,282.99585,285.86688,284.75684
1995-02-18,285.28262,285.77277,284.08084
1995-02-19,285.64096,285.26892,282.9537
1995-02-20,284.80927,286.51422,283.43777
1995-02-21,283.98657,286.20862,285.82855
1995-02-22,284.91364,285.4701,285.3056
1995-02-23,283.28552,283.10712,280.688
1995-02-24,283.32645,282.21393,279.5581
1995-02-25,282.95596,281.96094,278.59628
1995-02-26,282.6493,282.0859,279.43866
1995-02-27,282.4951,281.4673,278.59457
1995-02-28,279.08423,278.87024,275.35342
1995-03-01,280.97583,280.87854,277.53833
1995-03-02,283.52435,283.343,279.74866
1995-03-03,282.43787,285.56665,283.48267
1995-03-04,288.404,288.89395,287.70145
1995-03-05,289.371,289.1863,284.63672
1995-03-06,287.6936,288.17844,284.39386
1995-03-07,283.32245,283.4124,282.6463
1995-03-08,281.1466,280.0291,278.64923
1995-03-09,280.13388,279.16895,276.3279
1995-03-10,279.59286,278.516,276.76718
1995-03-11,281.49255,280.5616,279.03516
1995-03-12,283.1364,281.49838,278.60657
1995-03-13,281.35056,280.51672,276.43726
1995-03-14,280.88724,280.05524,277.02637
1995-03-15,278.83994,278.18588,275.82758
1995-03-16,278.1399,279.11328,278.22632
1995-03-17,280.51157,280.5282,278.78207
1995-03-18,280.5422,281.3194,280.54382
1995-03-19,283.7023,284.63568,281.9861
1995-03-20,284.9636,286.36066,284.4604
1995-03-21,286.5914,287.54922,284.59515
1995-03-22,286.55463,287.1205,286.40924
1995-03-23,284.69086,285.32053,283.8565
1995-03-24,281.08368,281.70712,279.7176
1995-03-25,282.00766,282.61325,281.07037
1995-03-26,281.42258,282.25742,280.87146
1995-03-27,282.34384,281.5787,280.2602
1995-03-28,280.5664,280.074,277.443
1995-03-29,282.15518,281.78265,279.3615
1995-03-30,283.50406,284.33777,281.9469
1995-03-31,284.61063,285.0834,282.696
1995-04-01,287.33456,288.0697,285.10242
1995-04-02,289.3198,289.5168,287.115
1995-04-03,286.94592,287.3388,285.7036
1995-04-04,284.39746,285.3232,284.06223
1995-04-05,284.90564,285.48895,284.29593
1995-04-06,284.8446,285.1527,282.59686
1995-04-07,284.23053,285.57278,282.9018
1995-04-08,285.4135,287.366,286.8396
1995-04-09,285.8616,286.5705,284.49896
1995-04-10,283.6717,284.22998,283.13455
1995-04-11,283.91846,283.89215,283.25745
1995-04-12,282.75912,282.8064,281.42935
1995-04-13,285.45648,285.22607,284.2219
1995-04-14,286.4675,287.23257,286.64255
1995-04-15,286.68503,287.7504,286.82474
1995-04-16,287.33194,288.24097,286.55096
1995-04-17,294.1767,295.1601,292.58582
1995-04-18,294.07437,295.527,294.03836
1995-04-19,292.325,292.00623,289.00378
1995-04-20,289.39282,289.50647,287.75745
1995-04-21,284.75085,285.43597,281.0421
1995-04-22,283.22702,283.75888,281.09305
1995-04-23,283.66284,284.38202,281.5574
1995-04-24,283.1228,283.36417,281.17334
1995-04-25,284.0423,284.57153,282.43802
1995-04-26,286.26218,287.302,283.7316
1995-04-27,288.2329,289.1838,285.9985
1995-04-28,287.4015,288.1174,284.72772
1995-04-29,286.99063,288.3582,286.20407
1995-04-30,287.34106,288.63248,286.51083
1995-05-01,287.26202,287.23132,286.2349
1995-05-02,285.4529,284.68433,281.7729
1995-05-03,286.2174,286.80472,284.6738
1995-05-04,287.81104,289.0952,287.8449
1995-05-05,285.9405,286.1991,284.77823
1995-05-06,285.42502,285.03137,283.49854
1995-05-07,287.84613,287.7787,286.14453
1995-05-08,289.42087,289.98486,288.5316
1995-05-09,294.70572,296.33936,293.73676
1995-05-10,298.8206,298.7454,296.26562
1995-05-11,299.4997,299.73798,298.26465
1995-05-12,300.0513,301.05328,299.20023
1995-05-13,297.55206,299.90918,298.6257
1995-05-14,293.78876,296.4054,295.73096
1995-05-15,290.17468,291.57297,291.747
1995-05-16,289.44058,290.13837,289.89594
1995-05-17,289.82123,290.40106,286.10696
1995-05-18,290.0081,290.02087,286.37076
1995-05-19,289.83136,290.8006,288.5636
1995-05-20,284.57993,285.40613,285.55655
1995-05-21,285.79703,286.11005,285.71368
1995-05-22,291.3657,291.78607,292.05478
1995-05-23,292.78714,293.17972,292.81012
1995-05-24,293.78772,295.03406,294.233
1995-05-25,298.41568,298.2396,295.53552
1995-05-26,298.2148,298.193,294.4453
