,FOL_fnf,ORO_fnf,TRR_fnf,ISB_fnf,PNF_fnf,MRC_fnf,MIL_fnf,NML_fnf,TUL_fnf,DPN_fnf,SHA_fnf,YRS_fnf,FOL_pr,ORO_pr,SHA_pr,YRS_pr,FOL_tas,ORO_tas,SHA_tas,FOL_swe,ORO_swe,SHA_swe,YRS_swe,BKL_swe,CAP_swe,CSL_swe,FOR_swe,GOL_swe,GRZ_swe,HMB_swe,HYS_swe,MED_swe,RBB_swe,RBP_swe,RTL_swe,SCN_swe,SDF_swe,STL_swe,SNM_swe
2039-10-01,8.719992,46.394024,5.437397,9.243742,10.827513,12.594837,10.789786,13.976582999999998,1.2676101999999998,8.703721,130.0825,17.367183999999998,0.022872346,0.049158663,2.1908286,0.029989887000000003,294.33367999999996,295.06647000000004,293.66217,1.2692818e-09,1.952308e-08,1.7445762e-10,9.939027000000001e-09,2.4406845e-09,0.0,1.8578305e-08,0.0,2.2887114e-08,3.1079615e-08,0.0,5.638854999999999e-09,0.0,0.0,0.0,1.22436346e-08,0.0,0.0,0.0,0.0
2039-10-02,8.896591,46.75027,5.4551387,9.296965,10.924468,12.637349,10.938064,14.015329000000001,1.2725799999999998,8.789746000000001,133.00433,17.489117,0.032575276,0.05891143,1.8075153000000002,0.028709622,293.2321,294.68286,290.83347000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-10-03,8.6573715,46.468655,5.4431367,9.269437,10.871961,12.608504,10.812583,13.983498,1.2704787,8.732539,126.889206,17.368813,0.0,0.0,0.0,0.0,297.36672999999996,296.38925,293.50818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-10-04,8.402907,46.16285,5.4310355,9.240853999999999,10.817103,12.576471000000002,10.685538000000001,13.949776000000002,1.2683026000000002,8.669233,125.19731000000002,17.231623000000003,0.0,0.0,0.0,0.0,298.2716,299.45203,296.41794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-10-05,8.200368,45.884712,5.419506500000001,9.21362,10.764535,12.545733,10.568353,13.918589,1.2661976000000001,8.609508,123.968864,17.120548,0.0,0.0,0.0,0.0,297.15033,297.78403,294.4889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-10-06,8.032387,45.642807,5.409154,9.188744,10.716502,12.51807,10.463853,13.890768,1.2642799999999998,8.557,123.064125,17.029015,0.013095332,4.6375969999999996e-05,0.0,0.0015346281,297.6022,297.131,293.40552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-10-07,10.117182000000001,45.791717999999996,5.4002365999999995,9.1684,10.682761,12.518585,10.387739999999999,13.998531,1.2627115,8.686519,123.642784,18.235435,4.0957685,0.9307235,1.2816173,3.9167821000000003,293.67303,295.5564,290.02402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-10-08,12.192964,72.131,5.579973000000001,9.149973,11.696541999999999,13.008074,11.521207,13.982798,1.3204143,9.266788,200.24571,27.454947999999998,7.692716000000001,13.296753,13.105561999999999,14.653407999999999,292.69965,291.7918,288.0298,0.0,0.0,7.536207000000001e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-10-09,10.263273,50.84635,5.402819999999999,9.129678,10.941108,12.5874405,11.003461999999999,13.930320000000002,1.2595503000000001,8.842903,138.95073,20.405476,0.0357519,0.020045761000000002,0.0009987353999999999,0.079676785,294.66582999999997,294.86697000000004,291.87683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-10-10,10.018809,49.538166,5.399018,9.112722999999999,10.934538,12.593333,10.952363,13.929813000000001,1.258032,8.843092,133.14896000000002,19.604689,0.0,1.2576580000000001e-05,0.0,0.0,294.4928,295.66656,293.2254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
