datetime,SHA_in,SHA_out,SHA_storage,SHA_evap,SHA_tocs_obs,SHA_precip,SHA_in_fix,ORO_in,ORO_out,ORO_storage,ORO_evap,ORO_tocs_obs,ORO_precip,ORO_in_fix,FOL_in,FOL_out,FOL_storage,FOL_evap,FOL_tocs_obs,FOL_precip,FOL_in_fix,SHA_tas,SHA_tasmax,SHA_tasmin,ORO_tas,ORO_tasmax,ORO_tasmin,FOL_tas,FOL_tasmax,FOL_tasmin,BND_fnf,ORO_fnf,YRS_fnf,FOL_fnf,NML_fnf,TLG_fnf,MRC_fnf,MIL_fnf,MKM_fnf,NHG_fnf,SHA_fnf,DeltaOut,SNL_storage,HRO_pump,TRP_pump,FMD_storage,UNV_storage,HHL_storage,GOL_swe,CSL_swe,HYS_swe,SCN_swe,RBB_swe,CAP_swe,RBP_swe,KTL_swe,HMB_swe,FOR_swe,RTL_swe,GRZ_swe,SDF_swe,SNM_swe,SLT_swe,MED_swe
1996-01-01,6528.0,4801.0,3271.046,28.0,,0.0,,3661.0,433.0,2708.225,27.0,,0.0,,3470.0,2510.0,319.648,0.0,,,,,,,,,,,,,,4941.0,2500.0,5081.0,835.0,1192.0,1508.0,614.0,825.0,95.0,6294.0,,1653.39,372.0,4179.0,,159.461,,5.28,1.9,,0.0,3.3,6.24,0.45,2.4,0.0,3.0,1.92,3.24,0.89,5.22,3.64,6.0
1996-01-02,6881.0,4912.0,3274.896,28.0,,0.0,6881.041669935565,3661.0,4352.0,2707.179,28.0,,0.0,3852.641665778685,2695.0,2417.0,320.184,8.0,,,2695.233333788407,,,,,,,,,,,4492.0,2500.0,3914.0,307.0,1228.0,548.0,700.0,678.0,98.0,6738.0,25011.0,1657.535,2149.0,4177.0,,159.461,,5.28,3.9,,0.0,3.22,6.36,0.31,2.52,0.0,2.76,1.92,3.36,0.89,5.22,3.64,6.12
1996-01-03,5811.0,4805.0,3276.821,35.0,,0.0,5810.520834967553,4248.0,3627.0,2707.832,33.0,,0.0,3989.2208338876367,2932.0,2442.0,321.136,10.0,,,2931.9666674749296,,,,,,,,,,,3792.0,2495.0,3286.0,935.0,1041.0,434.0,1194.0,558.0,82.0,5318.0,27564.0,1670.945,6193.0,4169.0,,160.224,,5.28,3.7,,,,6.36,,-9.24,0.0,2.52,1.92,3.36,0.89,5.22,3.64,6.12
1996-01-04,4975.0,4712.0,3277.302,21.0,,0.0,4975.504167075155,3998.0,3887.0,2707.963,8.0,,0.0,3961.045833444712,2563.0,2287.0,321.671,6.0,,,2562.7291671208745,,,,,,,,,,,3470.0,2824.0,2865.0,627.0,320.0,428.0,608.0,584.0,77.0,5683.0,17942.0,1684.629,6258.0,4157.0,,160.385,,5.28,,3.44,0.0,3.15,6.36,0.19,,0.24,2.28,1.92,3.24,0.89,5.02,3.64,6.0
1996-01-05,5716.0,4366.0,3279.95,14.0,,0.0,5715.03333558137,3502.0,3418.0,2707.571,4.0,,0.0,3224.366666333711,2380.0,2048.0,322.326,2.0,,,2380.2291672227875,,,,,,,,,,,3178.0,1401.0,2533.0,581.0,538.0,430.0,312.0,250.0,66.0,5910.0,16335.0,1697.396,6269.0,4161.0,,160.385,,5.28,3.7,,0.0,3.07,6.0,0.23,-9999.0,0.36,2.16,1.92,3.24,0.89,4.82,3.44,6.0
1996-01-06,4147.0,4390.0,3279.468,0.0,,0.0,4146.991666257455,3723.5,3970.0,2714.245,20.0,,0.0,7354.808338999659,1675.0,2179.0,321.314,6.0,,,1674.7833324741282,,,,,,,,,,,7311.0,1405.0,2001.0,356.0,787.0,384.0,769.0,425.0,65.0,4339.0,14042.0,1706.484,6316.0,4185.0,,160.37,,5.28,3.7,,,,6.24,,,0.36,2.16,1.92,3.24,0.49,4.63,3.44,6.12
1996-01-07,5422.0,4315.0,3281.635,14.0,,0.0,5421.529168506673,3945.0,3631.0,2722.504,12.0,,0.0,2715.9125070120363,1930.0,2134.0,320.898,6.0,,,1930.2666663134773,,,,,,,,,,,3880.0,1250.0,2240.0,518.0,890.0,381.0,554.0,361.0,50.0,6519.0,12471.0,1723.87,6301.0,4194.0,,160.365,,5.28,3.7,,,,6.36,,2.64,0.36,2.16,1.92,3.36,0.49,4.63,3.44,6.12
1996-01-08,4725.0,4091.0,3282.838,28.0,,0.0,4725.512501021354,2972.0,3292.0,2721.979,8.0,,0.0,3035.3124995542203,2052.0,2076.0,320.838,6.0,,,2051.749999949058,,,,,,,,,,,2649.0,839.0,2141.0,547.0,624.0,384.0,608.0,378.0,49.0,4635.0,10559.0,1731.203,6682.0,4193.0,,160.506,,5.28,4.0,,,,6.48,,2.64,0.48,2.04,1.92,3.36,0.49,4.63,3.44,6.12
1996-01-09,6092.0,4123.0,3286.688,0.0,,0.26,6064.041669935335,2561.0,4196.0,2719.355,4.0,,0.16,2877.0666644389494,2282.0,2128.0,321.136,4.0,,,2282.2416669196746,,,,,,,,,,,3071.0,1564.0,2241.0,615.0,761.0,359.0,783.0,362.0,62.0,5977.0,10701.0,1740.473,6755.0,4259.0,,160.345,,5.28,3.9,,0.0,3.15,6.48,0.12,2.52,0.48,1.8,1.92,3.24,0.49,4.63,3.25,6.12
1996-01-10,6745.0,3558.0,3292.954,28.0,,0.54,6745.10833865331,3274.0,3667.0,2717.389,0.0,,0.0,2675.8083316642196,2422.0,1968.0,322.028,4.0,,,2421.7166674239875,,,,,,,,,,,2797.0,1212.0,2204.0,401.0,1009.0,408.0,513.0,339.0,63.0,6979.0,11361.0,1752.297,6305.0,4327.0,,159.903,,5.28,3.9,,0.0,3.2,6.48,0.05,,0.48,1.68,1.92,3.24,0.49,4.63,3.25,6.12
1996-01-11,5134.0,3691.0,3295.604,106.0,,0.0,5133.041668916378,3028.0,4237.0,2715.161,37.0,,0.0,3150.7166647750246,2033.0,2061.0,321.969,2.0,,,2033.2541666165616,,,,,,,,,,,3181.0,1303.0,2350.0,374.0,242.0,334.0,576.0,497.0,50.0,4566.0,10127.0,1759.671,6299.0,4396.0,,159.883,,5.28,3.6,,9.6,3.12,6.6,0.16,2.4,0.48,1.56,1.92,3.24,0.49,4.63,3.25,6.12
1996-01-12,7737.0,4043.0,3302.833,50.0,,0.0,7737.62083947101,3059.25,4093.0,2710.71,20.0,,0.0,1868.9541628876823,1763.0,1993.0,321.493,10.0,,,1763.0166662625352,,,,,,,,,,,2305.0,1098.0,1746.0,895.0,641.0,333.0,565.0,457.0,49.0,7175.0,8661.0,1768.994,5585.0,4356.0,,159.883,,5.4,3.8,,9.58,3.13,6.84,0.13,2.64,0.48,1.44,1.92,3.24,0.49,4.82,3.25,6.12
1996-01-13,6438.0,4350.0,3306.931,21.0,,0.0,6437.075003479248,3090.5,692.0,2714.768,4.0,,0.0,2741.9083367786393,1882.0,2182.0,320.898,0.0,,,1882.0208328281833,,,,,,,,,,,3418.0,1453.0,2052.0,256.0,903.0,359.0,460.0,205.0,63.0,5120.0,11493.0,1775.057,3660.0,4275.0,,159.261,,5.4,3.1,3.44,,,6.6,,2.64,0.72,1.2,2.04,3.36,0.29,4.82,3.25,6.12
1996-01-14,5437.0,4073.0,3309.581,28.0,,0.0,5437.041668916607,3121.75,959.0,2716.734,4.0,,0.04,1954.1916683357804,1600.0,2140.0,319.827,0.0,,,1600.0374990906898,,,,,,,,,,,2504.0,1269.0,1656.0,379.0,934.0,359.0,662.0,413.0,2.0,5308.0,9067.0,1789.759,6234.0,4249.0,,159.161,,5.4,3.3,3.44,9.5,3.19,6.72,0.16,2.52,0.84,0.96,2.04,3.36,0.1,4.82,3.05,6.12
1996-01-15,6457.0,4263.0,3313.934,0.0,,0.57,6457.6375036958025,3153.0,3176.0,2715.554,8.0,,0.72,2589.0833323315765,2100.0,2100.0,319.827,0.0,,,2100.0,,,,,,,,,,,4465.0,1321.0,1986.0,683.0,580.0,454.0,667.0,426.0,93.0,6285.0,8116.0,1799.99,6401.0,4244.0,,159.141,,5.4,3.2,,9.25,3.05,6.72,0.07,2.52,0.84,0.84,2.04,3.36,0.1,308.76,2.85,6.36
1996-01-16,14037.0,3534.0,3334.766,0.0,,1.37,14036.800017686655,11567.0,3498.0,2731.702,0.0,,1.32,11639.283347043325,4589.0,2101.0,324.733,14.0,,,4588.441670831946,,,,,,,,,,,16887.0,6885.0,7964.0,3232.0,4491.0,1957.0,1727.0,1342.0,1051.0,15504.0,7095.0,1811.218,6401.0,4284.0,,162.286,,5.76,3.5,3.44,10.63,3.66,7.2,0.2,2.52,0.96,0.84,2.4,3.6,-0.1,4.82,3.44,6.6
1996-01-17,14748.0,2599.0,3358.864,0.0,,0.92,14748.408353792915,10276.5,1043.0,2743.824,8.0,,0.0,7162.508343625034,9934.0,1990.0,340.491,0.0,,,9934.658346712129,,,,,,,,,,,9391.0,11396.0,12663.0,2104.0,4059.0,1451.0,2946.0,2149.0,1026.0,16762.0,9096.0,1818.921,6401.0,4287.0,,164.675,,7.56,6.2,4.82,13.26,3.78,9.72,0.2,,2.04,0.72,3.24,4.56,-0.1,6.2,5.02,7.56
1996-01-18,13443.0,3207.0,3379.168,0.0,,0.42,13443.60001723848,8986.0,5676.0,2750.428,8.0,,0.92,9013.51667227348,5984.0,1934.0,348.498,13.0,,,5983.862506798079,,,,,,,,,,,12554.0,7074.0,9268.0,2218.0,3253.0,1293.0,1460.0,847.0,426.0,12173.0,13219.0,1827.126,6394.0,4265.0,,166.013,,7.68,6.2,4.82,13.34,3.34,9.84,0.15,,2.16,0.6,3.12,4.68,-0.1,6.2,5.02,7.8
1996-01-19,8458.0,3139.0,3389.718,0.0,,1.73,8457.958342290322,8590.666666666666,5640.0,2755.322,8.0,,0.0,8115.391670821871,7264.0,1912.0,359.113,0.0,,,7263.729175678984,,,,,,,,,,,11496.0,9837.0,9487.0,2168.0,3827.0,1543.0,1791.0,1069.0,810.0,8357.0,30792.0,1834.975,6936.0,4284.0,,167.318,,9.72,7.8,5.41,15.05,5.49,10.92,0.93,,3.12,3.0,4.8,6.12,,6.59,7.58,8.64
1996-01-20,14698.0,3282.0,3412.363,0.0,,0.05,14698.85418589264,8195.333333333334,3240.0,2763.934,17.0,,0.64,7598.883340645105,5471.0,1983.0,366.018,7.0,,,5471.27083919578,,,,,,,,,,,9436.0,6596.0,6792.0,879.0,1963.0,989.0,1164.0,610.0,800.0,16170.0,37838.0,1845.171,7224.0,4245.0,,168.233,,10.68,8.5,,16.21,6.19,11.4,1.4,,3.84,3.0,5.04,6.84,-0.1,6.99,7.97,9.0
1996-01-21,14373.0,2655.0,3435.606,0.0,,0.83,14373.345853067227,7800.0,754.0,2777.885,4.0,,0.08,7791.629178511309,5543.0,1937.0,373.138,16.0,,,5542.666672711668,,,,,,,,,,,9132.0,4803.0,7025.0,1395.0,2590.0,1090.0,1354.0,813.0,721.0,14289.0,40661.0,1860.688,7131.0,4271.0,,168.881,,12.24,,7.38,17.21,7.08,12.24,2.28,,4.8,5.64,6.6,8.04,-0.1,7.97,9.35,9.72
1996-01-22,10621.0,2857.0,3451.006,0.0,,0.02,10621.16667974134,6329.0,7107.0,2776.288,12.0,,0.2,6313.845831977349,4535.0,2238.0,377.693,0.0,,,4534.479170533941,,,,,,,,,,,9110.0,4812.272727272727,5162.0,1075.0,1281.0,682.0,918.0,684.0,389.0,10149.0,37958.0,1869.575,7094.0,4271.0,,169.341,,13.32,10.7,8.37,17.89,8.68,12.72,3.23,,5.52,6.36,6.84,8.76,-0.1,8.56,9.74,10.2
1996-01-23,9796.0,3395.0,3463.701,0.0,,0.09,9795.395844111683,900.0,7472.0,2770.704,12.0,,0.24,4668.733328592509,3866.0,2098.0,381.146,27.0,,,3865.8875029316705,,,,,,,,,,,6986.0,4821.545454545455,4632.0,935.0,1833.0,656.0,913.0,616.0,259.0,9814.0,40321.0,1879.59,7095.0,4382.0,,169.74,,13.56,10.8,8.56,17.89,8.8,12.72,3.27,,6.0,6.36,6.96,9.36,-0.1,9.15,9.94,10.44
