Timestep       Daily        Weekly       Monthly      Water Year   
DEL_HRO_pump   0.222        0.260        0.332        0.397        
DEL_TRP_pump   -0.34        -0.31        -0.25        0.085        
Combined_pump  0.273        0.314        0.385        0.331        
SHA_storage    0.654        0.655        0.655        0.437        
SHA_out        0.499        0.613        0.776        0.867        
FOL_storage    0.347        0.347        0.358        -0.88        
FOL_out        0.720        0.793        0.866        0.958        
ORO_storage    0.666        0.667        0.670        0.657        
ORO_out        0.604        0.680        0.758        0.891        
DEL_in         0.860        0.909        0.945        0.923        
DEL_out        0.859        0.908        0.946        0.927        
DEL_X2         -0.81        -0.81        -0.82        -0.83        
