,C,D,BN,AN,W
01-01,1200.0,3334.5,1405.5,1520.0,1634.5
01-02,193.5,4082.0,1039.75,1834.375,2629.0
01-03,813.0,3042.5,640.0,2063.75,3487.5
01-04,1183.5,1810.5,957.0,2371.5,3786.0
01-05,260.5,1847.0,1114.75,3096.875,5079.0
01-06,1064.5,1126.5,1574.75,3920.375,6266.0
01-07,1790.5,2082.0,1266.25,3835.375,6404.5
01-08,815.0,1298.5,977.25,3420.625,5864.0
01-09,1557.5,823.5,972.25,3447.875,5923.5
01-10,1509.0,1069.5,1057.0,3447.5,5838.0
01-11,-220.0,1476.5,1159.75,4014.625,6869.5
01-12,966.0,2690.0,1563.0,4291.75,7020.5
01-13,858.5,2274.5,730.25,4445.625,8161.0
01-14,1000.0,1279.0,1194.0,4400.0,7606.0
01-15,509.5,1844.5,1717.75,4512.875,7308.0
01-16,-123.5,1573.5,821.25,4062.125,7303.0
01-17,-315.0,1354.0,1301.25,4389.125,7477.0
01-18,124.0,1885.0,1187.75,4287.375,7387.0
01-19,242.0,1729.0,691.25,4282.125,7873.0
01-20,279.0,648.5,833.5,3910.5,6987.5
01-21,493.5,-45.0,1671.0,4809.0,7947.0
01-22,1171.5,557.5,928.5,3474.0,6019.5
01-23,931.0,964.0,2399.25,5118.125,7837.0
01-24,398.5,1237.5,2480.75,5078.375,7676.0
01-25,502.5,1170.0,2583.0,4893.5,7204.0
01-26,574.0,1429.0,2125.25,4870.625,7616.0
01-27,484.5,1896.5,1808.75,4791.625,7774.5
01-28,10.0,2112.5,2535.5,5231.75,7928.0
01-29,865.0,2434.0,2374.5,5271.25,8168.0
01-30,344.0,1533.5,1700.75,4975.625,8250.5
01-31,326.0,715.0,-1829.0,2891.75,7612.5
02-01,183.5,1522.5,1055.5,4799.25,8543.0
02-02,593.5,1779.0,1693.75,4600.875,7508.0
02-03,703.0,1501.0,1626.0,4600.0,7574.0
02-04,108.5,946.0,1208.25,4025.375,6842.5
02-05,435.0,577.0,1065.75,4013.625,6961.5
02-06,495.0,815.5,862.25,3941.125,7020.0
02-07,1080.0,1270.5,1281.0,3680.75,6080.5
02-08,1234.5,1668.0,525.0,3366.5,6208.0
02-09,1906.5,1464.0,1046.25,3954.375,6862.5
02-10,951.5,1770.0,1260.5,4680.5,8100.5
02-11,3733.0,2496.0,1127.25,4003.125,6879.0
02-12,3494.5,2189.5,914.5,4091.5,7268.5
02-13,2254.0,2291.0,438.0,4400.25,8362.5
02-14,411.0,2459.0,2096.75,5895.625,9694.5
02-15,485.5,1998.5,2184.5,6381.25,10578.0
02-16,1108.0,1376.0,1333.75,6577.375,11821.0
02-17,687.5,905.5,1332.5,5551.0,9769.5
02-18,1490.0,1283.0,401.25,5517.625,10634.0
02-19,769.0,2585.5,129.0,4815.25,9501.5
02-20,746.0,2430.5,1089.75,6916.375,12743.0
02-21,429.5,2033.5,1464.75,7413.375,13362.0
02-22,37.5,927.0,1020.25,6962.625,12905.0
02-23,-920.0,1570.0,1090.25,7689.375,14288.5
02-24,-200.5,3611.0,1254.5,8345.5,15436.5
02-25,307.0,2955.5,1097.5,8484.25,15871.0
02-26,851.5,3878.0,932.25,7526.375,14120.5
02-27,825.5,2814.5,1561.25,6730.625,11900.0
02-28,-298.0,2248.5,1774.5,8599.0,15423.5
03-01,687.5,2216.0,1761.5,8623.0,15484.5
03-02,2063.5,-638.5,1912.25,9068.375,16224.5
03-03,1498.0,423.5,1422.0,7683.5,13945.0
03-04,1991.0,-63.0,1732.75,7372.875,13013.0
03-05,1366.0,324.0,1401.75,7409.875,13418.0
03-06,1851.0,583.0,1928.5,7681.5,13434.5
03-07,2253.5,1804.0,1222.75,7462.375,13702.0
03-08,1274.5,3583.5,1212.75,6883.625,12554.5
03-09,708.0,1748.5,1698.75,7137.125,12575.5
03-10,553.5,2328.0,1832.25,6970.125,12108.0
03-11,465.0,2523.5,907.0,6253.25,11599.5
03-12,654.5,1146.5,960.0,5978.0,10996.0
03-13,837.0,1237.5,970.25,6408.125,11846.0
03-14,-230.5,1748.5,1022.25,6016.125,11010.0
03-15,413.5,1852.5,1790.0,5713.0,9636.0
03-16,-13.0,1513.5,2665.5,6283.5,9901.5
03-17,-198.5,1645.5,1777.75,7232.875,12688.0
03-18,-559.0,1488.5,1996.5,6890.5,11784.5
03-19,-181.0,1006.5,1878.75,5995.875,10113.0
03-20,-463.0,686.5,2533.5,6483.75,10434.0
03-21,-974.0,1559.0,2264.5,5947.5,9630.5
03-22,-880.5,1673.0,1906.5,5892.75,9879.0
03-23,-60.5,442.0,677.75,5161.875,9646.0
03-24,410.5,2305.5,1551.75,4527.875,7504.0
03-25,78.5,1054.5,1127.75,5703.625,10279.5
03-26,214.0,259.0,1576.75,7431.375,13286.0
03-27,-156.5,892.0,2089.25,8281.125,14473.0
03-28,-20.0,1594.5,2502.0,8483.75,14465.5
03-29,326.5,1781.5,1469.5,8604.75,15740.0
03-30,141.0,1131.5,3121.5,8191.75,13262.0
03-31,417.5,1279.0,2228.75,9420.625,16612.5
04-01,925.0,-1178.0,-1920.0,7613.25,17146.5
04-02,2076.5,-509.5,-243.25,7944.875,16133.0
04-03,1099.0,1095.0,1540.5,8353.5,15166.5
04-04,1291.5,1153.5,998.75,8448.625,15898.5
04-05,314.5,1456.0,1122.25,7820.625,14519.0
04-06,636.5,504.5,1461.25,7661.375,13861.5
04-07,862.5,510.0,1894.5,8014.25,14134.0
04-08,-610.5,710.0,1493.75,7656.375,13819.0
04-09,286.5,1314.5,1176.5,7895.25,14614.0
04-10,-114.0,2057.0,555.5,7845.0,15134.5
04-11,-203.0,1619.0,-163.75,6962.625,14089.0
04-12,-284.5,1037.5,1183.0,7357.75,13532.5
04-13,-641.5,1572.0,1425.5,7090.25,12755.0
04-14,-290.5,413.5,1763.25,6898.625,12034.0
04-15,-589.5,119.5,2137.5,8062.0,13986.5
04-16,162.5,694.5,2456.5,8557.5,14658.5
04-17,-611.5,1473.5,1222.0,8228.5,15235.0
04-18,-1032.0,2022.0,1120.0,7837.0,14554.0
04-19,-357.5,1652.5,1157.25,7278.125,13399.0
04-20,-444.0,1341.0,988.5,7586.5,14184.5
04-21,6.5,1437.5,1209.5,7149.5,13089.5
04-22,81.5,1201.5,1595.75,7605.125,13614.5
04-23,288.0,938.0,769.25,7493.625,14218.0
04-24,-69.5,596.0,995.5,6734.25,12473.0
04-25,-285.5,280.0,1422.75,5528.125,9633.5
04-26,-153.5,382.5,1087.25,5654.875,10222.5
04-27,366.5,1177.5,409.75,6989.375,13569.0
04-28,42.0,1599.0,978.5,8301.0,15623.5
04-29,-385.5,1211.0,772.0,7285.75,13799.5
04-30,243.5,3977.0,910.5,6293.5,11676.5
05-01,-439.5,2166.0,1546.25,6516.125,11486.0
05-02,-634.5,2717.5,871.5,6879.25,12887.0
05-03,-373.0,2257.5,561.75,5365.125,10168.5
05-04,-1058.0,1140.5,1144.0,6366.0,11588.0
05-05,-755.0,1352.5,1153.0,6235.0,11317.0
05-06,-533.0,110.5,993.25,5577.625,10162.0
05-07,-203.0,734.0,1613.25,5637.125,9661.0
05-08,230.0,1066.0,1090.5,6140.25,11190.0
05-09,-377.0,748.0,512.25,4983.125,9454.0
05-10,-499.0,1139.5,611.75,6337.375,12063.0
05-11,-228.5,1446.5,1246.0,6136.75,11027.5
05-12,141.5,700.5,1229.75,5243.875,9258.0
05-13,-139.5,1450.5,1727.75,5210.875,8694.0
05-14,-417.5,1312.0,68.0,4261.5,8455.0
05-15,-793.0,568.0,864.5,3234.75,5605.0
05-16,-908.0,1100.0,599.5,3792.25,6985.0
05-17,-934.5,1240.5,-153.5,3870.5,7894.5
05-18,-675.0,1571.5,-232.5,3506.5,7245.5
05-19,-595.5,649.0,223.5,3655.75,7088.0
05-20,-307.5,357.0,790.5,3677.5,6564.5
05-21,-181.0,681.5,932.5,3567.75,6203.0
05-22,-382.5,-885.5,731.5,3894.75,7058.0
05-23,-352.5,-324.5,146.5,3407.25,6668.0
05-24,-208.0,-84.0,-473.25,3142.625,6758.5
05-25,-570.0,-170.5,-1208.75,2625.875,6460.5
05-26,-517.0,-146.5,-50.75,3128.125,6307.0
05-27,-562.0,-317.5,1035.25,3455.625,5876.0
05-28,536.5,-465.5,669.0,3121.25,5573.5
05-29,109.5,104.5,2035.25,3829.375,5623.5
05-30,-277.5,5283.5,1085.5,3809.0,6532.5
05-31,-204.0,-1637.5,-17.25,3086.625,6190.5
06-01,-881.5,1140.5,626.75,5846.875,11067.0
06-02,-866.0,115.5,544.5,5519.0,10493.5
06-03,-517.5,-595.0,339.0,3735.5,7132.0
06-04,-636.0,-1245.0,241.5,3137.75,6034.0
06-05,-556.5,-1246.0,419.75,3116.625,5813.5
06-06,-1038.5,-1672.5,-189.5,2579.5,5348.5
06-07,-988.0,2277.5,1411.0,3776.75,6142.5
06-08,-676.5,-1205.0,784.0,3735.5,6687.0
06-09,-40.0,-824.0,533.5,3268.5,6003.5
06-10,-501.5,-871.5,241.0,3188.5,6136.0
06-11,-649.5,1522.5,293.5,3077.0,5860.5
06-12,-1076.0,1000.0,-149.75,2628.125,5406.0
06-13,-741.0,-888.5,-554.25,3396.375,7347.0
06-14,-1010.5,-87.5,-751.5,2346.25,5444.0
06-15,-797.5,38.0,-606.5,2472.25,5551.0
06-16,-1551.5,-1177.5,-13.5,2966.5,5946.5
06-17,-1290.0,-1535.5,192.75,3041.125,5889.5
06-18,-399.5,-1160.0,640.25,3136.375,5632.5
06-19,-508.0,-1355.0,130.5,2794.25,5458.0
06-20,-861.0,-1316.0,142.25,3327.625,6513.0
06-21,-819.0,-753.5,115.25,3100.625,6086.0
06-22,-898.5,-2133.5,384.5,3117.25,5850.0
06-23,-912.0,-1561.0,-396.0,2408.75,5213.5
06-24,-964.0,-899.5,-680.75,2418.875,5518.5
06-25,-1139.0,1012.5,-896.25,2350.625,5597.5
06-26,-1193.0,1140.5,-402.5,2787.5,5977.5
06-27,-1100.5,-589.5,-56.0,3327.5,6711.0
06-28,-1549.5,446.5,-330.0,3001.5,6333.0
06-29,-740.5,481.5,-6.25,3434.875,6876.0
06-30,-829.5,-43.5,139.25,3504.125,6869.0
07-01,-996.0,2138.5,2001.25,4676.375,7351.5
07-02,-1987.5,1787.5,875.5,3438.0,6000.5
07-03,-586.0,290.5,-498.0,2472.75,5443.5
07-04,-978.0,-393.0,261.75,3270.875,6280.0
07-05,-1354.0,-315.0,-122.25,3068.125,6258.5
07-06,-1062.0,-698.5,-161.25,1697.375,3556.0
07-07,-88.5,293.0,-443.25,979.375,2402.0
07-08,-855.5,-517.5,-384.25,2053.625,4491.5
07-09,-1551.5,526.5,-634.25,3326.125,7286.5
07-10,-1810.0,192.0,-601.75,2206.625,5015.0
07-11,-954.5,79.0,-995.5,1533.75,4063.0
07-12,-798.5,166.5,-783.5,1684.75,4153.0
07-13,-1022.5,-55.5,-83.5,1940.0,3963.5
07-14,-677.5,142.0,-146.5,1795.75,3738.0
07-15,-164.0,-643.5,-87.5,1677.25,3442.0
07-16,-1597.0,-1358.0,-1574.75,1238.625,4052.0
07-17,-821.5,-558.0,-1569.0,923.5,3416.0
07-18,-402.0,-174.0,-1213.25,771.125,2755.5
07-19,-1184.0,-68.5,-457.5,1340.0,3137.5
07-20,-63.5,-789.5,-437.25,1389.625,3216.5
07-21,-76.0,-332.5,-72.75,1473.375,3019.5
07-22,-1078.0,-873.0,190.0,1519.25,2848.5
07-23,-929.0,173.0,-558.75,510.875,1580.5
07-24,-415.0,-961.0,-820.25,594.625,2009.5
07-25,-520.0,-648.0,-546.5,753.75,2054.0
07-26,-997.5,-560.5,-550.5,1025.75,2602.0
07-27,-769.5,-328.5,-796.0,704.25,2204.5
07-28,-1185.0,794.0,-324.25,580.625,1485.5
07-29,-588.0,1089.0,-185.0,605.75,1396.5
07-30,-778.0,-921.5,49.25,647.875,1246.5
07-31,-1163.5,-1753.5,-87.5,668.75,1425.0
08-01,-995.0,-845.0,450.25,1086.875,1723.5
08-02,-776.5,-362.5,20.0,693.75,1367.5
08-03,-1284.5,-1056.0,-261.25,467.875,1197.0
08-04,-789.5,-1168.5,51.25,578.875,1106.5
08-05,-315.5,-1496.0,-588.5,430.25,1449.0
08-06,-1035.5,-519.0,-729.5,90.25,910.0
08-07,-924.5,-150.5,98.25,650.125,1202.0
08-08,-1464.5,-427.0,-433.0,826.5,2086.0
08-09,-1130.0,283.5,-201.25,828.125,1857.5
08-10,-515.5,-539.5,-182.75,450.125,1083.0
08-11,-535.0,-481.0,-971.3333333333334,223.58333333333331,1418.5
08-12,-876.5,-1031.0,-533.0,581.25,1695.5
08-13,-543.0,-194.0,-116.66666666666667,795.9166666666666,1708.5
08-14,-512.0,-106.5,51.666666666666664,823.5833333333334,1595.5
08-15,-1251.0,-449.5,-339.6666666666667,936.1666666666666,2212.0
08-16,-733.5,-806.0,288.3333333333333,1168.9166666666667,2049.5
08-17,-655.5,-440.0,-24.333333333333332,818.0833333333334,1660.5
08-18,-1053.0,-942.5,130.66666666666666,725.0833333333334,1319.5
08-19,-1665.0,-203.5,-526.6666666666666,450.6666666666667,1428.0
08-20,-562.0,-125.0,-341.3333333333333,499.08333333333337,1339.5
08-21,-1014.0,-371.0,-525.3333333333334,354.5833333333333,1234.5
08-22,-678.0,-631.0,243.66666666666666,1100.0833333333333,1956.5
08-23,-174.5,266.5,436.6666666666667,1553.3333333333333,2670.0
08-24,-806.0,1782.5,-149.0,904.5,1958.0
08-25,-748.5,597.0,-620.3333333333334,576.0833333333333,1772.5
08-26,305.5,230.0,-816.6666666666666,638.1666666666667,2093.0
08-27,-8.5,92.5,-302.6666666666667,876.6666666666666,2056.0
08-28,290.0,3.5,313.0,1290.0,2267.0
08-29,637.5,-550.0,9.333333333333334,1280.6666666666667,2552.0
08-30,-185.0,-1111.5,-118.0,1013.0,2144.0
08-31,652.0,-647.0,847.0,1435.25,2023.5
09-01,-684.0,1861.5,136.33333333333334,1233.9166666666667,2331.5
09-02,-1711.5,-822.0,353.3333333333333,1149.4166666666667,1945.5
09-03,-1147.0,-452.0,517.3333333333334,921.4166666666667,1325.5
09-04,-927.0,-402.5,164.66666666666666,1091.8333333333333,2019.0
09-05,-765.0,-90.0,360.6666666666667,976.8333333333334,1593.0
09-06,36.0,195.5,190.66666666666666,1285.8333333333333,2381.0
09-07,567.0,557.0,592.0,1218.5,1845.0
09-08,-2089.0,-20.5,785.3333333333334,1332.9166666666667,1880.5
09-09,-1709.5,-617.0,-701.6666666666666,541.4166666666667,1784.5
09-10,-140.5,-803.5,-338.3333333333333,338.58333333333337,1015.5
09-11,-532.5,-1251.0,842.6666666666666,1181.0833333333333,1519.5
09-12,-682.0,-1401.5,2134.3333333333335,1410.9166666666667,687.5
09-13,-416.0,-1040.5,-262.3333333333333,468.83333333333337,1200.0
09-14,-358.0,-963.5,47.0,353.75,660.5
09-15,-73.5,-869.0,172.66666666666666,862.0833333333334,1551.5
09-16,-282.5,566.5,493.6666666666667,1011.8333333333334,1530.0
09-17,-706.0,342.5,146.33333333333334,777.9166666666666,1409.5
09-18,-586.5,1351.5,-172.66666666666666,1260.9166666666667,2694.5
09-19,-1449.0,663.0,-46.0,1599.75,3245.5
09-20,-782.0,552.0,-781.3333333333334,1354.3333333333333,3490.0
09-21,-634.5,-511.5,-484.0,1278.0,3040.0
09-22,-507.0,-189.5,-342.3333333333333,549.8333333333334,1442.0
09-23,-152.0,320.0,198.33333333333334,906.1666666666666,1614.0
09-24,196.0,692.5,955.3333333333334,1705.1666666666667,2455.0
09-25,161.5,-1.0,1074.6666666666667,1361.3333333333335,1648.0
09-26,1493.0,-146.5,570.3333333333334,1285.9166666666667,2001.5
09-27,-402.0,-228.5,-780.3333333333334,963.5833333333333,2707.5
09-28,-420.5,1115.0,10.0,1224.75,2439.5
09-29,-254.0,-750.0,285.3333333333333,774.1666666666666,1263.0
09-30,-1099.0,114.33333333333333,3190.0,1800.3333333333333,410.6666666666667
10-01,-1183.5,1238.0,382.0,1681.75,2981.5
10-02,-460.0,778.0,956.75,1561.375,2166.0
10-03,-173.0,440.0,-403.25,-202.875,-2.5
10-04,382.0,258.0,-862.75,-212.625,437.5
10-05,303.5,124.0,486.75,475.125,463.5
10-06,-474.0,1080.0,2088.5,1199.25,310.0
10-07,-321.5,1100.0,968.5,838.0,707.5
10-08,-607.0,1098.0,-111.0,-44.75,21.5
10-09,-599.0,1155.0,404.25,673.125,942.0
10-10,16.0,1487.0,1074.25,342.375,-389.5
10-11,127.5,1892.0,527.0,151.25,-224.5
10-12,-720.5,1.0,627.5,-80.25,-788.0
10-13,-47.0,-147.0,1261.25,477.375,-306.5
10-14,208.5,534.0,785.5,401.25,17.0
10-15,-383.5,-670.0,979.75,423.125,-133.5
10-16,574.0,110.0,1513.5,802.0,90.5
10-17,911.5,182.0,1262.25,848.625,435.0
10-18,-255.0,437.0,1003.0,1060.0,1117.0
10-19,76.5,705.0,845.75,1066.625,1287.5
10-20,541.0,514.0,546.5,923.25,1300.0
10-21,-87.0,1345.0,738.0,1163.25,1588.5
10-22,474.0,1821.0,1395.25,1177.125,959.0
10-23,410.0,2314.0,1883.0,970.0,57.0
10-24,-146.5,2410.0,2102.75,1120.625,138.5
10-25,316.5,3218.0,1216.0,1072.75,929.5
10-26,978.5,5681.0,1042.75,1149.875,1257.0
10-27,915.0,4447.0,1553.75,1863.125,2172.5
10-28,400.0,298.0,1150.75,2067.125,2983.5
10-29,25.5,207.0,1566.75,1805.875,2045.0
10-30,1538.0,473.0,390.0,722.5,1055.0
10-31,2795.0,1276.0,558.5,941.0,1323.5
11-01,2358.5,963.0,1168.75,1530.125,1891.5
11-02,2553.0,1484.0,768.25,1062.125,1356.0
11-03,2546.5,2230.0,1378.25,1748.625,2119.0
11-04,1262.0,2038.0,1171.25,1248.875,1326.5
11-05,1648.0,142.0,503.75,648.125,792.5
11-06,963.5,1567.0,1356.5,-1057.0,-3470.5
11-07,1214.0,1425.0,2118.25,1917.125,1716.0
11-08,459.5,1798.0,1804.5,1880.25,1956.0
11-09,589.0,1123.0,1368.75,1198.375,1028.0
11-10,1070.5,1398.0,824.0,817.0,810.0
11-11,-50.5,1525.0,1240.75,1349.625,1458.5
11-12,462.0,2638.0,738.0,1372.5,2007.0
11-13,886.5,-814.0,1043.5,368.5,-306.5
11-14,1565.5,-2544.0,1168.0,1621.25,2074.5
11-15,474.0,2209.0,2308.75,1507.375,706.0
11-16,-41.5,1687.0,845.25,606.625,368.0
11-17,1694.5,715.0,1437.25,1064.875,692.5
11-18,2293.0,1028.0,1497.5,1118.75,740.0
11-19,1335.0,6959.0,1302.25,683.625,65.0
11-20,-317.0,5750.0,1188.25,629.125,70.0
11-21,-251.5,1241.0,828.25,1151.625,1475.0
11-22,501.0,976.0,694.75,1607.625,2520.5
11-23,1145.5,2254.0,658.0,2802.5,4947.0
11-24,2453.5,851.0,724.75,1731.375,2738.0
11-25,1279.0,816.0,855.0,1677.75,2500.5
11-26,988.0,815.0,1305.75,1607.375,1909.0
11-27,1598.5,1630.0,390.25,1022.375,1654.5
11-28,234.0,2548.0,1132.25,1262.375,1392.5
11-29,-835.5,2470.0,1433.0,1869.0,2305.0
11-30,94.0,2126.0,1038.25,1795.875,2553.5
12-01,717.5,1927.0,2443.5,2280.25,2117.0
12-02,861.5,2298.0,3972.5,2769.0,1565.5
12-03,1481.0,1525.0,2150.25,2758.375,3366.5
12-04,23.0,2433.5,565.0,2085.0,3605.0
12-05,-855.5,2039.5,1198.5,2542.75,3887.0
12-06,-328.0,1000.0,1445.5,2284.5,3123.5
12-07,1601.5,2214.5,1164.75,1018.625,872.5
12-08,1874.0,-568.0,1148.25,2039.375,2930.5
12-09,2930.0,-542.5,1291.25,2037.375,2783.5
12-10,2827.5,1047.0,1455.0,1967.5,2480.0
12-11,1122.5,2950.5,915.75,1244.125,1572.5
12-12,37.0,2345.5,110.0,1664.75,3219.5
12-13,2060.5,470.5,426.25,1520.625,2615.0
12-14,2577.0,1033.5,796.75,1502.625,2208.5
12-15,2194.5,2168.0,1810.25,1849.625,1889.0
12-16,438.5,2260.0,1656.0,1177.25,698.5
12-17,-443.0,1674.0,1206.25,675.125,144.0
12-18,-319.0,1819.0,1476.5,1543.75,1611.0
12-19,1221.0,-1562.5,1259.0,952.75,646.5
12-20,748.0,259.0,965.75,1571.875,2178.0
12-21,1512.0,2424.5,461.75,1450.125,2438.5
12-22,1498.5,407.5,717.5,1626.0,2534.5
12-23,1756.5,-637.0,616.75,1753.375,2890.0
12-24,1421.5,1710.0,1540.75,2827.875,4115.0
12-25,607.5,1090.0,1327.75,2577.875,3828.0
12-26,1741.5,1007.0,1041.25,2422.875,3804.5
12-27,1614.0,2657.5,1285.0,2476.0,3667.0
12-28,985.5,3569.5,1354.5,2931.75,4509.0
12-29,957.0,2622.5,1214.75,2349.875,3485.0
12-30,1314.0,2870.0,1091.25,1455.875,1820.5
12-31,322.5,2805.0,870.0,2687.25,4504.5
