Timestep       Daily        Weekly       Monthly      Water Year   
DEL_HRO_pump   0.320        0.365        0.438        0.773        
DEL_TRP_pump   0.183        0.216        0.261        0.604        
Combined_pump  0.428        0.480        0.565        0.751        
SHA_storage    0.823        0.824        0.824        0.768        
SHA_out        0.611        0.701        0.822        0.867        
FOL_storage    0.725        0.726        0.738        0.627        
FOL_out        0.745        0.809        0.874        0.985        
ORO_storage    0.760        0.761        0.764        0.810        
ORO_out        0.614        0.690        0.763        0.908        
DEL_in         0.917        0.944        0.981        0.993        
DEL_out        0.912        0.941        0.979        0.992        
DEL_X2         0.106        0.106        0.105        0.216        
