         5404811 function calls (5345084 primitive calls) in 5.299 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       34    0.541    0.016    0.541    0.016 {built-in method gc.collect}
       11    0.384    0.035    0.384    0.035 {pandas._libs.lib.write_csv_rows}
     1254    0.317    0.000    0.317    0.000 {method 'astype' of 'numpy.ndarray' objects}
    35152    0.127    0.000    0.274    0.000 _strptime.py:321(_strptime)
        1    0.116    0.116    0.117    0.117 {method 'read' of 'pandas._libs.parsers.TextReader' objects}
591781/591779    0.105    0.000    0.147    0.000 {built-in method builtins.isinstance}
    52620    0.093    0.000    0.155    0.000 parser.py:68(get_token)
     2218    0.088    0.000    0.088    0.000 {built-in method numpy.linalg.lapack_lite.dgelsd}
     4717    0.081    0.000    1.131    0.000 datetimes.py:1401(get_loc)
      756    0.075    0.000    0.075    0.000 {built-in method marshal.loads}
48145/41554    0.065    0.000    0.097    0.000 {built-in method numpy.core.multiarray.array}
     4420    0.065    0.000    0.486    0.000 {pandas._libs.tslib.parse_datetime_string_with_reso}
   132/88    0.065    0.000    0.120    0.001 {built-in method _imp.create_dynamic}
161845/161801    0.057    0.000    0.077    0.000 {built-in method builtins.getattr}
596519/570978    0.056    0.000    0.066    0.000 {built-in method builtins.len}
     8788    0.055    0.000    0.500    0.000 parser.py:622(_parse)
    39139    0.052    0.000    0.141    0.000 {built-in method builtins.min}
    10389    0.052    0.000    0.052    0.000 {method 'reduce' of 'numpy.ufunc' objects}
5716/5214    0.051    0.000    0.219    0.000 datetimelike.py:259(__getitem__)
81649/72904    0.042    0.000    1.149    0.000 {built-in method builtins.hasattr}
     5883    0.041    0.000    0.041    0.000 {built-in method posix.stat}
   219700    0.039    0.000    0.052    0.000 parser.py:320(<genexpr>)
   1056/1    0.034    0.000    5.301    5.301 {built-in method builtins.exec}
     9186    0.034    0.000    0.213    0.000 series.py:139(__init__)
28304/28273    0.033    0.000    1.136    0.000 generic.py:3067(__getattr__)
    35498    0.033    0.000    0.052    0.000 common.py:1722(_get_dtype_type)
2228/2204    0.032    0.000    0.119    0.000 {built-in method builtins.__build_class__}
     9085    0.032    0.000    0.032    0.000 {method 'get_loc' of 'pandas._libs.index.DatetimeEngine' objects}
   131820    0.029    0.000    0.037    0.000 parser.py:312(<genexpr>)
