,BND_fnf,SHA_fnf,ORO_fnf,YRS_fnf,FOL_fnf,NML_fnf,TLG_fnf,MRC_fnf,MIL_fnf,MKM_fnf,NHG_fnf,SHA_pr,ORO_pr,FOL_pr,BND_swe,ORO_swe,YRS_swe,FOL_swe,SHA_tas,ORO_tas,FOL_tas
1950-10-01,376.03,315.51,115.6,48.68,84.28,32.69,60.42,41.63,62.23,20.71,22.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.41,13.81,13.09
1950-10-02,370.33,309.35,115.42,48.66,83.87,32.64,60.13,41.44,61.59,20.71,22.57,0.01527777777777778,0.0,0.0,0.0,0.0,0.0,0.0,12.79,15.66,13.76
1950-10-03,366.4,307.99,115.39,48.66,83.82,32.62,60.07,41.36,61.28,20.7,22.55,1.336631944444444,0.0,0.0,0.0,0.0,0.0,0.0,12.82,18.72,16.89
1950-10-04,377.5,328.86,115.58,48.65,83.78,32.62,60.02,41.29,61.18,20.7,22.51,4.746006944444444,0.9705645161290318,0.0,0.0,0.0,0.0,0.0,14.56,20.22,19.78
1950-10-05,438.71,421.18,122.01,50.89,84.34,32.61,59.93,41.22,61.12,20.71,22.49,12.496527777777775,5.652822580645161,2.6219696969696966,0.0,0.0,0.0,0.0,13.35,17.080000000000002,19.28
1950-10-06,669.31,689.82,161.27,105.06,99.74,32.61,59.84,41.16,61.05,20.9,22.47,3.0713541666666635,5.173790322580646,5.615151515151515,0.0,0.0,0.0,0.0,13.11,15.22,15.01
1950-10-07,1113.45,997.12,249.47,173.05,141.02,32.69,59.75,41.13,60.98,21.38,22.47,0.0,0.0,0.006060606060606061,0.0,0.0,0.0,0.0,15.19,19.11,16.73
1950-10-08,1330.98,1147.47,310.31,170.21,174.87,32.76,59.7,41.11,60.92,21.66,22.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.77,20.49,19.65
1950-10-09,1344.27,1180.4,278.7,130.89,160.46,32.7,59.67,41.09,60.86,21.44,22.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.43,19.04,19.74
1950-10-10,1225.44,993.75,215.53,94.36,128.02,32.58,59.64,41.04,60.81,21.1,22.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.47,20.73,18.79
1950-10-11,893.38,705.79,169.24,69.84,107.64,32.49,59.59,40.94,60.78,20.86,22.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.24,22.8,21.42
1950-10-12,656.12,525.74,139.2,57.49,93.32,32.43,59.52,40.87,60.76,20.7,22.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,23.02,23.11
1950-10-13,518.05,421.52,126.54,53.75,87.74,32.41,59.45,40.83,60.72,20.64,22.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.99,22.98,22.96
1950-10-14,455.33,379.45,123.1,53.18,86.34,32.4,59.38,40.8,60.63,20.61,22.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.65,21.83,23.57
1950-10-15,432.83,365.28,122.71,53.16,86.26,32.39,59.32,40.79,60.55,20.59,22.34,0.013194444444444446,0.008064516129032258,0.0303030303030303,0.0,0.0,0.0,0.0,17.900000000000006,20.34,19.56
1950-10-16,429.39,365.79,122.51,53.14,86.22,32.39,59.26,40.78,60.48,20.57,22.32,2.900173611111111,0.21572580645161285,0.07878787878787881,0.0,0.0,0.0,0.0,14.71,19.54,18.52
