,FOL_fnf,ORO_fnf,TRR_fnf,ISB_fnf,PNF_fnf,MRC_fnf,MIL_fnf,NML_fnf,TUL_fnf,DPN_fnf,SHA_fnf,YRS_fnf
2089-10-01,6.028494,34.86373,4.548458,5.646798,8.040941,10.334399,7.675903,11.187687,0.9264129,6.821904,98.846855,14.370798
2089-10-02,6.064036,34.957634,4.5534754,5.6635365,8.063208,10.35927,7.7329383,11.20344,0.92708576,6.865421,98.97157,14.38937
2089-10-03,6.0457673,34.90181,4.552395,5.660356,8.058712,10.351661,7.710982,11.198043,0.9269325,6.8505397,98.89188,14.38014
2089-10-04,6.027231,34.84507,4.551077,5.656812,8.054051,10.343293,7.6872315,11.192669,0.926769,6.838966,98.81303,14.370501
2089-10-05,6.009847,34.791332,4.549671,5.653988,8.050491,10.334359,7.6646886,11.18725,0.9266196,6.826374,98.74368,14.361307
2089-10-06,5.994555,34.743046,4.548237,5.649974,8.044381,10.326692,7.64106,11.182659,0.9264786,6.8156343,98.68271,14.353197
2089-10-07,5.9805093,34.699814,4.68819,5.6926713,8.947282,10.500179,8.0872345,11.17978,0.97554755,6.9237885,98.62674,14.346073
2089-10-08,6.0150185,34.66173,4.7272305,5.756084,11.357035,10.628586,8.8278055,11.35061,1.0602251,7.7124267,98.57894,14.349113
2089-10-09,6.038864,34.626446,4.562799,5.6549306,8.149721,10.3783455,7.7335567,11.198111,0.92781585,6.9015765,98.53327,14.364089
2089-10-10,5.953289,34.599075,4.5511274,5.6401143,8.14327,10.321532,7.7302055,11.17205,0.9260784,6.8366013,98.49709,14.331779
2089-10-11,5.9460006,34.57389,4.5508904,5.639389,8.144317,10.319224,7.723406,11.170403,0.92598253,6.838118,98.46523,14.327991
2089-10-12,5.9381223,34.549213,4.550102,5.634852,8.138076,10.31532,7.7067337,11.168152,0.9258913,6.832728,98.54559,14.323896
2089-10-13,5.9460297,34.538197,4.54899,5.6324396,8.130546,10.310812,7.6862974,11.1657295,0.9257873,6.8253784,101.29047,14.324337
2089-10-14,5.924406,34.508118,4.5479646,5.6302085,8.123158,10.306164,7.665951,11.163263,0.925754,6.8176303,98.90247,14.317425
2089-10-15,5.9177456,34.488956,4.5469036,5.6278954,8.115711,10.301683,7.6471343,11.160927,0.92563206,6.8098407,98.52566,14.313733
2089-10-16,5.911392,34.47391,4.5458674,5.625784,8.108311,10.297405,7.6294284,11.1587715,0.92554116,6.8020554,98.536156,14.31061
2089-10-17,5.904621,34.457626,4.5447955,5.6236296,8.101159,10.293005,7.6121492,11.156462,0.9254541,6.793905,98.51796,14.307143
2089-10-18,5.898843,34.44164,4.543749,5.6215963,8.094461,10.289098,7.5958085,11.15453,0.92537993,6.786647,98.49312,14.304142
2089-10-19,5.893128,34.42899,4.542769,5.6196136,8.088103,10.28534,7.5799227,11.152645,0.9253029,6.77983,98.46636,14.301189
