,FOL_swe,ORO_swe,SHA_swe,YRS_swe
2089-10-01,0.0,0.0,0.0,0.0
2089-10-02,0.0,0.0,0.0,0.0
2089-10-03,0.0,0.0,0.0,0.0
2089-10-04,0.0,0.0,0.0,0.0
2089-10-05,0.0,0.0,0.0,0.0
2089-10-06,0.0,0.0,0.0,0.0
2089-10-07,0.0,0.0,0.0,0.0
2089-10-08,0.0,0.0,0.0,0.0
2089-10-09,0.0,0.0,0.0,0.0
2089-10-10,0.0,0.0,0.0,0.0
2089-10-11,0.0,0.0,0.0,0.0
2089-10-12,0.0,0.0,0.0,0.0
2089-10-13,0.0,0.0,0.0,0.0
2089-10-14,0.0,0.0,0.0,0.0
2089-10-15,0.0,0.0,0.0,0.0
2089-10-16,0.0,0.0,0.0,0.0
2089-10-17,0.0,0.0,0.0,0.0
2089-10-18,0.0,0.0,0.0,0.0
2089-10-19,0.0,0.0,0.0,0.0
2089-10-20,0.0,0.0,0.0,0.0
2089-10-21,0.0,0.0,0.0,0.0
2089-10-22,1.376449e-05,0.0,0.0,3.93413e-05
2089-10-23,0.0,0.0,0.0,0.0
2089-10-24,0.0,0.0,0.0,0.0
2089-10-25,0.0,0.0,0.0,0.0
2089-10-26,0.0,0.0,0.0,0.0
2089-10-27,0.0,0.0,0.0,0.0
2089-10-28,0.0,0.0,0.0,0.0
2089-10-29,0.0,0.0,0.0,0.0
2089-10-30,0.27552143,0.0,0.0,0.0
2089-10-31,0.0,0.0,0.0,0.0
2089-11-01,5.7379373e-05,0.0,0.0,0.0
2089-11-02,0.0,0.0,0.0,0.0
2089-11-03,0.012150917,0.0,0.0,0.0
2089-11-04,0.0,0.0,0.0,0.0
2089-11-05,0.0,0.0,0.0,0.0
2089-11-06,0.0,0.0,0.0,0.0
2089-11-07,0.0,0.0,0.0,0.0
2089-11-08,0.0,0.0,0.0,0.0
2089-11-09,0.0,0.0,0.0,0.0
2089-11-10,0.0,0.0,0.0,0.0
2089-11-11,0.0,0.0,0.0,0.0
2089-11-12,0.0,0.0,0.0,0.0
2089-11-13,0.0,0.0,0.0,0.0
2089-11-14,0.0,0.0,0.0,0.0
2089-11-15,0.0,0.0,0.0,0.0
2089-11-16,0.0,0.0,0.0,0.0
2089-11-17,0.0,0.0,0.0,0.0
2089-11-18,0.0,0.0,0.0,0.0
2089-11-19,0.0,0.0,0.0,0.0
2089-11-20,0.0,0.0,0.0,0.0
2089-11-21,0.0,0.0,0.0,0.0
2089-11-22,0.0,0.0,0.0,0.0
2089-11-23,0.0,0.0,0.0,0.0
2089-11-24,0.08334182,0.0,0.0,0.0
2089-11-25,0.15170428,0.0028498145,0.0073048384,0.0
2089-11-26,0.16558741,0.00031494244,0.0013423556,0.0001558688
2089-11-27,2.2481656,0.0,0.0,0.002280461
2089-11-28,2.3636844,0.0,0.0,0.0
2089-11-29,2.225471,0.0,0.0,0.0
2089-11-30,1.8719099,0.0,0.0,0.0
2089-12-01,1.3399385,0.0,0.0,0.0
2089-12-02,0.86636615,0.0,0.0,0.0
2089-12-03,0.570182,0.0,0.0,0.0
2089-12-04,0.31062165,0.0,0.0,0.0
2089-12-05,0.15683389,0.0,0.0,0.0
2089-12-06,0.0,0.0,0.0,0.0
2089-12-07,0.0,0.0,0.0,0.0
2089-12-08,0.0,0.0,0.0,0.0
2089-12-09,0.0,0.0,0.0,0.0
2089-12-10,0.0,0.0,0.0,0.0
2089-12-11,0.0,0.0,0.0,0.0
2089-12-12,0.0,0.0003738297,0.010517936,0.0
2089-12-13,0.061557095,7.2193216e-06,0.3890013,9.016786e-05
2089-12-14,0.0,0.0,0.5206049,0.0
2089-12-15,0.0,0.1214577,1.4096317,0.00012151368
2089-12-16,9.446634,10.120679,7.8046927,13.149156
2089-12-17,11.406649,6.1222863,6.6626945,8.370405
2089-12-18,5.938169,3.3297799,4.215591,2.677856
2089-12-19,8.7522745,4.6014237,4.84726,3.1177256
2089-12-20,10.618068,5.278354,4.447194,5.2750573
2089-12-21,10.118812,4.2681475,3.9896188,4.5597234
2089-12-22,13.864637,4.409767,4.042165,6.385016
2089-12-23,20.986765,8.348493,5.898469,14.928789
2089-12-24,19.067814,7.494926,5.8196654,12.242394
2089-12-25,28.89053,11.23932,11.741568,20.840445
2089-12-26,33.492683,18.83698,20.032637,29.59302
2089-12-27,33.524815,19.7462,20.901869,30.248224
2089-12-28,36.5637,24.078968,27.447311,34.27343
2089-12-29,40.593914,27.032799,30.210804,38.59512
2089-12-30,40.31111,27.302317,30.574991,38.358475
2089-12-31,43.442646,38.137825,41.5318,43.582096
2090-01-01,52.92907,48.166992,43.515213,53.540752
2090-01-02,54.849533,47.129383,42.478966,53.26721
2090-01-03,55.25191,47.85547,42.580944,54.03086
2090-01-04,60.121273,52.418015,43.447758,60.967606
2090-01-05,60.865307,48.98424,42.60071,58.04918
2090-01-06,60.441685,49.3616,41.594566,58.32701
