datetime,BND_fnf,ORO_fnf,YRS_fnf,FOL_fnf,NML_fnf,TLG_fnf,MRC_fnf,MIL_fnf,SHA_in,SHA_out,SHA_storage,SHA_evap,SHA_tocs_obs,SHA_precip,SHA_in_fix,ORO_in,ORO_out,ORO_storage,ORO_evap,ORO_tocs_obs,ORO_precip,ORO_in_fix,FOL_in,FOL_out,FOL_storage,FOL_evap,FOL_tocs_obs,FOL_precip,FOL_in_fix,DeltaOut,HRO_pump,TRP_pump,DeltaIn,SAC_in,SAC_gains,Delta_gains,FMD_storage,UNV_storage,HHL_storage,THA_out,WY,SR_WYI,SR_WYT,SR_WYT_rolling,SJR_WYT,8RI,SHA_fci,ORO_fci,FOL_fci,ORO_snowpack,SHA_snowpack,FOL_snowpack,OMR,SL_storage,SLS_storage,SLF_storage,SLS_out,SLF_out,netgains,WYT
1999-10-01,6183,1199.0,1676.0,1183.0,777.0,477.0,11,138.0,4015.0,4871.0,3325.561,121,,0.0,4015.0,1916.0,4438.0,2422.221,164.0,,0.0,1916.0,2236.0,2494.0,720.941,84,,0.0,2236.0,4796.0,6503.0,4169.0,15468.0,14733,2930.0,3665.0,92.345,149.155,136.278,3500,2000,8.79525589097,AN,AN,AN,0.63163041216,100000.0,0.0,195.377,0.0,0.0,0.0,0,702.4,591.8,110.61,10.378,4.6495,4210.0,AN
1999-10-02,4164,799.0,820.0,1137.0,833.0,477.0,56,300.0,2454.0,5379.0,3319.505,128,,0.0,2453.766662,1173.0,2168.0,2419.924,162.0,,0.0,1171.929165,1680.0,2786.0,718.613,68,,0.0,1680.299998,4407.0,6670.0,4131.0,15208.0,14340,4007.0,4875.0,91.772,148.166,136.448,3500,2000,8.79525589097,AN,AN,AN,0.63163041216,97453.766662,0.0,195.78,0.0,0.0,0.0,0,710.42,591.8,110.61,10.378,4.6495,4210.0,AN
1999-10-03,3551,1168.0,799.0,370.0,616.0,317.5,0,462.0,2022.0,5543.0,3312.238,142,,0.0,2021.220827,1752.0,2522.0,2418.111,83.0,,0.0,1690.945832,718.0,2773.0,714.453,42,,0.0,717.6666631,4157.0,6627.0,4129.0,14913.0,14472,3634.0,4075.0,91.772,147.181,136.448,3500,2000,8.79525589097,AN,AN,AN,0.63163041216,94602.2991559,0.0,195.78,0.0,0.0,0.0,0,718.55,591.8,110.61,10.378,4.6495,4210.0,AN
1999-10-04,5683,915.0,778.0,275.0,422.0,158.0,81,380.5,4385.0,5861.0,3309.099,107,,0.0,4385.420831,1168.0,3576.0,2413.161,87.0,,0.0,1167.374996,1098.0,2750.0,711.081,48,,0.0,1097.949997,4307.0,6627.0,4196.0,15130.0,14096,1909.0,2943.0,91.772,146.314,136.355,3500,2000,8.79525589097,AN,AN,AN,0.63163041216,94257.6050291,0.0,195.873,0.0,0.0,0.0,0,726.89,591.8,110.61,10.378,4.6495,4210.0,AN
1999-10-05,5485,201.0,128.0,530.0,784.0,258.0,0,299.0,4237.0,6153.0,3305.002,149,,0.0,4236.429163,512.0,3940.0,2406.291,96.0,,0.0,572.3749942,1315.0,2769.0,708.094,51,,0.0,1314.054164,4576.0,6604.0,4181.0,15361.0,13988,1126.0,2499.0,91.772,145.732,136.263,3500,2000,8.79525589097,AN,AN,AN,0.63163041216,93781.1539406,0.0,195.965,0.0,0.0,0.0,0,735.09,591.8,110.61,10.378,4.6495,4210.0,AN
1999-10-06,7686,1648.0,850.0,785.0,887.0,358.0,0,218.0,5373.0,4809.0,3305.966,78,,0.22,5373.016667,1019.0,5270.0,2397.632,52.0,,0.0,956.420826,1495.0,2756.0,705.499,48,,0.0,1495.687498,3812.0,6285.0,4275.0,14372.0,13864,1029.0,1537.0,91.772,144.48,136.263,4000,2000,8.79525589097,AN,AN,AN,0.63163041216,94465.1129106,0.0,195.965,0.09,0.27,0.14,0,743.15,591.8,110.61,10.378,4.6495,4210.0,AN
1999-10-07,6664,1310.0,5021.0,848.0,870.0,458.0,68,267.0,4304.0,4904.0,3304.761,36,,0.01,4332.479166,1422.0,5577.0,2389.234,78.0,,0.0,1421.008326,1306.0,2766.0,702.532,35,,0.01,1305.137497,3925.0,6561.0,4312.0,14798.0,14131,884.0,1551.0,91.658,143.07,136.171,4500,2000,8.79525589097,AN,AN,AN,0.63163041216,94074.3364311,0.0,196.171,0.21,0.28,0.14,0,746.76,591.8,110.61,10.378,4.6495,3087.0,AN
1999-10-08,5856,1272.0,710.0,512.0,834.0,314.0,59,635.3333333,4525.0,5427.0,3302.352,192,,0.0,4404.462498,1014.0,8352.0,2374.528,134.0,,0.0,1071.724988,1317.0,2633.0,699.852,35,,0.01,1316.833331,4134.0,6574.0,4251.0,14959.0,14269,-2143.0,-1453.0,91.544,142.056,136.263,4500,2000,8.79525589097,AN,AN,AN,0.63163041216,93775.0821075,0.0,196.193,0.21,0.28,0.14,0,750.66,591.8,110.61,10.378,4.6495,2710.0,AN
1999-10-09,6456,704.0,365.0,552.0,647.0,102.0,19,1003.666667,4933.0,5398.0,3301.148,142,,0.0,4932.983332,562.0,2296.0,2370.832,129.0,,0.0,561.5999969,1328.0,2616.0,697.172,63,,0.0,1327.833331,4199.0,6555.0,4230.0,14984.0,14388,4078.0,4674.0,90.8,140.937,136.911,4500,2000,8.79525589097,AN,AN,AN,0.63163041216,94019.3113342,0.0,195.689,0.21,0.28,0.14,0,754.76,591.8,110.61,10.378,4.6495,1220.0,AN
1999-10-10,5848,1395.0,817.0,686.0,585.0,265.0,98,1372.0,4221.0,5280.0,3298.737,156,,0.0,4220.454165,1189.0,4280.0,2364.139,150.0,,0.0,1055.612494,1393.0,2612.0,694.603,76,,0.0,1392.795831,4320.0,6555.0,4227.0,15102.0,14349,2177.0,2930.0,90.065,139.662,137.468,4500,2000,8.79525589097,AN,AN,AN,0.63163041216,93538.7999324,0.0,195.132,0.21,0.28,0.14,0,762.87,591.8,110.61,10.378,4.6495,756.0,AN
1999-10-11,6260,1828.0,418.0,240.0,902.0,205.0,7,29.0,4976.0,5392.0,3297.291,107,,0.0,4769.974999,1037.0,5296.0,2355.73,111.0,,0.0,1167.462493,1647.0,2686.0,692.417,63,,0.0,1646.891665,4345.0,6550.0,4222.0,15117.0,14093,719.0,1743.0,89.386,138.81,138.121,4500,2000,8.79525589097,AN,AN,AN,0.63163041216,93631.8349348,0.0,194.479,0.21,0.28,0.14,0,771.47,591.8,110.61,10.378,4.6495,-656.0,AN
1999-10-12,4741,2261.0,685.0,83.0,664.0,145.0,9,252.0,3552.0,5597.0,3292.954,142,,0.0,3552.429163,1352.0,4194.0,2349.802,146.0,,0.0,1351.299995,1348.0,2474.0,690.041,73,,0.0,1349.099998,6486.0,3360.0,4229.0,14075.0,13916,1651.0,1810.0,88.823,138.431,138.683,3750,2000,8.79525589097,AN,AN,AN,0.63163041216,92502.6723511,0.0,193.917,0.21,0.28,0.14,0,775.42,591.8,110.61,10.378,4.6495,4189.0,AN
1999-10-13,4964,1665.0,155.0,469.0,738.0,287.5,68,475.0,3769.0,5535.0,3289.098,199,,0.0,3789.93333,1868.0,3997.0,2345.186,197.0,,0.0,1866.766663,1237.0,2649.0,687.095,72,,0.0,1235.724998,4690.0,6635.0,4231.0,15556.0,13188,1007.0,3375.0,88.037,137.46,139.246,3000,2000,8.79525589097,AN,AN,AN,0.63163041216,91667.4720635,0.0,193.354,0.21,0.28,0.14,0,779.28,591.8,110.61,10.378,4.6495,3375.0,AN
1999-10-14,4058,472.0,343.0,327.0,893.0,430.0,72,406.5,2540.0,5398.0,3283.079,177,,0.0,2540.420828,541.0,5859.0,2334.204,158.0,,0.0,480.2416573,987.0,2628.0,683.697,72,,0.0,986.8416638,3473.0,6559.0,4207.0,14239.0,12204,-1681.0,354.0,87.255,136.386,139.718,2500,2000,8.79525589097,AN,AN,AN,0.63163041216,89624.5192884,0.0,192.882,0.21,0.28,0.14,0,783.14,591.8,110.61,10.378,4.6495,896.0,AN
1999-10-15,5199,371.5,350.0,784.0,861.0,100.0,0,338.0,3861.0,5275.0,3279.95,198,,0.0,3895.462497,911.0,2709.0,2330.551,102.0,,0.0,969.2791636,948.0,2652.0,680.205,56,,0.0,947.449997,1793.0,6571.0,4261.0,12625.0,11509,873.0,1989.0,86.587,136.404,139.718,2300,2000,8.79525589097,AN,AN,AN,0.63163041216,89038.7558209,0.0,192.882,0.21,0.28,0.14,0,783.61,591.8,110.61,10.378,4.6495,523.0,AN
1999-10-16,5499,271.0,707.0,580.0,289.0,561.0,36,143.0,4689.0,5834.0,3277.062,248,,0.0,4625.966664,2782.0,3778.0,2328.079,191.0,,0.0,2722.699998,1427.0,2645.0,677.658,66,,0.0,1426.887498,2184.0,5908.0,4280.0,12372.0,11046,-1211.0,115.0,85.81,136.404,138.778,2300,2000,8.79525589097,AN,AN,AN,0.63163041216,89212.7846939,0.0,193.822,0.21,0.28,0.14,0,787.39,591.8,110.61,10.378,4.6495,331.0,AN
1999-10-17,8998,1450.0,1064.0,562.0,559.0,386.5,43,349.0,7905.0,5644.0,3281.153,198,,0.0,7904.545837,3282.0,2225.0,2329.844,225.0,,0.0,3339.854168,1529.0,2651.0,675.314,59,,0.0,1528.233331,2717.0,5007.0,4239.0,11963.0,10597,77.0,1443.0,85.037,136.529,138.027,2300,2000,8.79525589097,AN,AN,AN,0.63163041216,92656.6912962,0.0,194.573,0.21,0.28,0.14,0,791.27,591.8,110.61,10.378,4.6495,-2138.0,AN
1999-10-18,5723,1028.0,345.0,445.6666667,471.0,212.0,0,18.0,4332.0,5518.0,3278.506,149,,0.0,4332.470831,3032.0,3154.0,2328.903,115.0,,0.0,2794.579166,1048.0,2653.0,672.034,50,,0.0,1049.333331,4355.0,3177.0,4241.0,11773.0,10625,-700.0,448.0,84.377,136.672,137.003,2300,2000,8.79525589097,AN,AN,AN,0.63163041216,92356.3275624,0.0,195.597,0.21,0.28,0.14,0,795.16,591.8,110.61,10.378,4.6495,878.0,AN
1999-10-19,4563,1673.0,474.0,329.3333333,383.0,357.5,0,272.0,3215.0,5600.0,3273.452,155,,0.0,3206.941662,2991.0,4507.0,2325.608,85.0,,0.0,2930.770831,1130.0,2646.0,668.941,44,,0.0,1130.612497,4572.0,2975.0,4238.0,11785.0,10689,-2064.0,-968.0,83.5,137.012,136.171,2450,2000,8.79525589097,AN,AN,AN,0.63163041216,90945.4528463,0.0,196.429,0.21,0.28,0.14,0,796.45,591.8,110.61,10.378,4.6495,-44.0,AN
1999-10-20,5199,238.0,812.0,213.0,708.0,503.0,31,230.0,3851.0,5573.0,3269.602,134,,0.0,3765.95833,2677.0,4247.0,2322.435,89.0,,0.0,2736.279164,1075.0,2575.0,665.866,50,,0.0,1074.687497,4070.0,3418.0,4243.0,11731.0,10817,-1578.0,-664.0,82.845,137.316,135.526,2450,2000,8.79525589097,AN,AN,AN,0.63163041216,90164.138534,0.0,197.074,0.21,0.28,0.14,0,796.45,591.8,110.61,10.378,4.6495,1585.0,AN
1999-10-21,5478,1493.0,679.5,214.0,650.0,426.0,21,188.0,4478.0,5572.0,3267.194,120,,0.0,4477.966665,3020.0,6283.0,2315.862,110.0,,0.0,3079.112494,1068.0,2555.0,662.795,62,,0.0,1068.704164,4101.0,3432.0,4255.0,11788.0,10866,-3544.0,-2622.0,82.084,137.406,135.159,2450,2000,8.79525589097,AN,AN,AN,0.63163041216,90133.8982723,0.0,197.441,0.21,0.28,0.14,0,795.9,591.8,110.61,10.378,4.6495,225.0,AN
1999-10-22,6202,1839.0,547.0,256.0,472.0,349.0,36,358.0,4723.0,4846.0,3266.712,120,,0.0,4722.991666,3666.0,5134.0,2312.581,127.0,,0.0,3606.829164,982.0,2556.0,659.537,68,,0.0,981.4249972,4062.0,3463.0,4294.0,11819.0,10597,-1939.0,-717.0,81.327,137.711,134.61,2450,2000,8.79525589097,AN,AN,AN,0.63163041216,90350.1950246,0.0,197.99,0.21,0.28,0.14,0,793.4,591.8,110.61,10.378,4.6495,-887.0,AN
1999-10-23,6286,786.0,547.0,382.0,327.0,298.5,85,403.5,4784.0,5292.0,3265.509,99,,0.0,4784.487499,3018.0,5525.0,2307.431,89.0,,0.0,3017.541662,918.0,2553.0,656.208,43,,0.0,917.6291638,3379.0,3477.0,4301.0,11157.0,10423,-2947.0,-2213.0,80.573,137.927,133.61,2450,2000,8.79525589097,AN,AN,AN,0.63163041216,90617.1727724,0.0,198.99,0.21,0.28,0.14,0,787.66,591.8,110.61,10.378,4.6495,-1164.0,BN
1999-10-24,5971,937.0,252.0,508.0,560.0,248.0,55,449.0,4492.0,5334.0,3263.824,7,,0.0,4491.479165,2673.0,1464.0,2309.771,89.0,,0.0,2732.750002,1377.0,2604.0,653.713,31,,0.0,1377.104165,3764.0,3524.0,4286.0,11574.0,10881,1479.0,2172.0,79.822,138.395,132.976,2450,2000,8.79525589097,AN,AN,AN,0.63163041216,90577.7932988,0.0,199.624,0.21,0.28,0.14,0,783.14,591.8,110.61,10.378,4.6495,-2862.0,BN
1999-10-25,5742,570.0,392.0,184.0,288.0,270.0,0,452.0,4985.0,6387.0,3260.946,49,,0.0,4985.008331,2521.0,4635.0,2305.327,68.0,,0.0,2462.48333,1059.0,2647.0,650.479,43,,0.0,1059.524997,4134.0,3402.0,4276.0,11812.0,10831,-2838.0,-1857.0,79.076,138.792,132.256,2450,2000,8.79525589097,AN,AN,AN,0.63163041216,91033.9119648,0.0,200.0,0.21,0.28,0.14,0,793.58,591.8,110.61,10.378,4.6495,-1499.0,BN
1999-10-26,5898,1200.0,514.0,199.0,456.0,193.5,0,360.5,4542.0,4820.0,3260.229,99,,0.0,4557.512499,2866.0,5006.0,2300.0,97.0,,0.0,2417.304162,990.0,2660.0,647.082,43,,0.0,990.3458304,4037.0,3444.0,4288.0,11769.0,10923,-1563.0,-717.0,78.331,139.118,131.897,2450,2000,8.79525589097,AN,AN,AN,0.63163041216,91039.7288656,0.0,200.0,0.21,0.35,0.14,0,794.41,591.8,110.61,10.378,4.6495,-1975.0,BN
1999-10-27,7382,5225.0,1053.0,575.0,208.0,117.0,54,269.0,5319.0,5234.0,3260.229,85,,0.0,5319.0,4515.0,7110.0,2295.99,50.0,,0.0,5138.291663,1110.0,2546.0,644.147,43,,0.0,1109.270831,4127.0,3418.0,4285.0,11830.0,11117,-3773.0,-3060.0,77.696,139.844,131.45,2450,2000,8.79525589097,AN,AN,AN,0.63163041216,91806.7424223,0.0,200.0,3.93,1.3,2.5,0,798.59,591.8,110.61,10.378,4.6495,2860.0,BN
1999-10-28,10620,3480.0,1930.0,1665.0,337.0,684.0,31,1441.0,8441.0,5393.0,3266.232,21,,1.75,8440.512505,5030.0,5357.0,2295.057,25.0,,2.04,4911.612499,1588.0,2676.0,641.946,21,,0.34,1587.329165,4281.0,3448.0,4294.0,12023.0,11281,-2145.0,-1403.0,77.274,140.901,131.45,2450,2000,8.79525589097,AN,AN,AN,0.63163041216,95656.9178062,2.04,200.0,7.83,3.8,5.45,0,797.75,591.8,110.61,10.378,4.6495,-450.0,AN
